'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2009,6.2,0.0, ,33.8,20.0,87,39,1.89,28.56
BRISBANE,02/03/2009,5.6,0.0, ,32.2,23.0,91,48,1.94,25.55
BRISBANE,03/03/2009,5.1,0.2, ,30.5,24.0,87,58,2.34,22.87
BRISBANE,04/03/2009,5.6,0.2, ,31.1,23.3,85,56,2.55,26.04
BRISBANE,05/03/2009,7.2,0.0, ,31.5,20.5,77,18,3.19,29.27
BRISBANE,06/03/2009,5.2,0.0, ,28.8,20.4,72,50,2.50,24.15
BRISBANE,07/03/2009,5.5,0.0, ,29.8,20.2,83,51,2.29,27.30
BRISBANE,08/03/2009,5.5,0.0, ,30.2,20.2,88,46,2.80,25.18
BRISBANE,09/03/2009,3.6,0.0, ,26.4,20.7,84,56,3.02,13.19
BRISBANE,10/03/2009,3.9,3.4, ,27.4,21.9,88,56,4.00,13.97
BRISBANE,11/03/2009,3.2,4.4, ,25.8,20.6,93,68,2.90,14.29
BRISBANE,12/03/2009,4.1,5.6, ,27.7,19.9,90,53,2.72,18.28
BRISBANE,13/03/2009,3.0,3.0, ,25.3,20.4,91,70,1.49,15.20
BRISBANE,14/03/2009,4.1,6.0, ,28.0,19.2,89,60,1.82,20.59
BRISBANE,15/03/2009,5.1,3.0, ,29.6,19.8,92,50,1.81,26.33
BRISBANE,16/03/2009,5.1,0.0, ,30.5,20.2,92,53,2.03,25.57
BRISBANE,17/03/2009,5.3,13.2, ,30.3,18.2,93,49,2.35,26.41
BRISBANE,18/03/2009,4.5,0.0, ,28.8,21.1,90,55,2.49,20.98
BRISBANE,19/03/2009,3.3,0.0, ,26.9,21.2,81,65,2.08,14.56
BRISBANE,20/03/2009, ,0.0, ,29.1,19.8,88,54,2.61, 
BRISBANE,21/03/2009, ,0.2, ,29.3,20.8,83,38,3.22, 
BRISBANE,22/03/2009, ,0.0, ,28.6,19.3,82,46,2.98, 
BRISBANE,23/03/2009,5.0,0.0, ,28.6,18.3,88,40,2.44,24.39
BRISBANE,24/03/2009,5.3,0.0, ,28.4,18.1,85,40,2.71,25.65
BRISBANE,25/03/2009,4.8,0.0, ,28.5,18.0,78,43,2.66,22.26
BRISBANE,26/03/2009,4.7,0.0, ,28.6,17.7,84,40,2.30,22.92
BRISBANE,27/03/2009, ,0.0, ,29.4,17.3,85,44,2.46, 
BRISBANE,28/03/2009, ,0.0, ,28.7,19.9,86,46,3.64, 
BRISBANE,29/03/2009, ,3.2, ,28.6,19.0,87,45,3.47, 
BRISBANE,30/03/2009,3.2,2.2, ,27.2,20.1,87,61,2.59,13.38
BRISBANE,31/03/2009,4.6,3.0, ,30.0,19.4,87,43,2.77,19.38
Totals:,,118.7,47.6, ,,,,,, 
