'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2009,4.3,0.2, ,30.5,19.0,94,49,1.95,20.69
BRISBANE,02/04/2009,1.9,13.0, ,24.8,21.1,95,79,3.98,6.25
BRISBANE,03/04/2009,3.7,66.2, ,28.1,20.1,95,64,2.38,18.99
BRISBANE,04/04/2009,3.7,41.0, ,28.1,21.9,95,61,1.91,18.87
BRISBANE,05/04/2009,3.1,0.8, ,28.1,20.8,92,64,1.88,14.77
BRISBANE,06/04/2009,4.2,1.0, ,29.2,21.4,89,55,2.36,20.17
BRISBANE,07/04/2009,3.1,1.2, ,25.7,20.0,90,62,3.06,13.69
BRISBANE,08/04/2009,4.4,1.8, ,26.6,18.1,81,44,3.17,19.93
BRISBANE,09/04/2009,3.4,0.0, ,25.6,17.0,93,59,2.55,17.61
BRISBANE,10/04/2009,3.3,5.6, ,25.8,17.7,94,67,1.99,18.90
BRISBANE,11/04/2009,2.7,2.2, ,25.8,18.3,93,62,1.82,13.36
BRISBANE,12/04/2009,2.9,14.6, ,26.5,19.3,95,64,1.90,14.28
BRISBANE,13/04/2009,1.8,1.4, ,25.5,19.7,95,84,1.58,8.39
BRISBANE,14/04/2009,2.8,43.8, ,27.5,21.2,95,64,1.37,14.07
BRISBANE,15/04/2009,4.1,0.4, ,30.7,20.3,94,42,1.71,20.40
BRISBANE,16/04/2009,4.1,0.0, ,29.5,19.8,93,36,1.64,21.16
BRISBANE,17/04/2009,4.2,0.0, ,29.7,15.6,89,33,1.91,21.33
BRISBANE,18/04/2009,3.9,0.6, ,27.9,16.5,88,40,1.91,21.09
BRISBANE,19/04/2009,4.1,0.2, ,27.2,16.7,79,38,2.40,20.81
BRISBANE,20/04/2009,4.5,0.0, ,27.3,18.6,64,41,2.76,20.83
BRISBANE,21/04/2009,3.8,0.0, ,26.4,17.9,80,51,2.83,18.46
BRISBANE,22/04/2009,4.0,1.0, ,27.2,16.5,84,43,2.59,20.44
BRISBANE,23/04/2009,4.0,0.2, ,26.9,17.0,83,38,2.27,20.42
BRISBANE,24/04/2009,3.8,0.0, ,27.2,14.7,86,43,2.21,20.48
BRISBANE,25/04/2009,3.8,0.0, ,30.3,15.8,93,41,1.91,19.65
BRISBANE,26/04/2009,4.3,0.0, ,28.9,17.9,88,28,2.36,20.15
BRISBANE,27/04/2009,3.9,0.0, ,26.5,14.3,82,30,2.31,20.09
BRISBANE,28/04/2009,3.7,0.0, ,26.1,12.6,81,24,1.73,20.47
BRISBANE,29/04/2009,3.2,0.0, ,25.5,12.1,88,37,1.67,19.15
BRISBANE,30/04/2009,3.9,0.0, ,26.4,13.3,87,26,2.29,20.00
Totals:,,108.6,195.2, ,,,,,, 
