'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2009,3.0,0.0, ,24.6,13.1,76,52,2.35,15.90
BRISBANE,02/05/2009,2.9,0.0, ,24.8,15.6,82,49,1.96,15.38
BRISBANE,03/05/2009,3.0,0.0, ,24.8,14.2,90,42,2.11,16.04
BRISBANE,04/05/2009,3.2,0.0, ,24.9,14.9,84,48,2.52,16.77
BRISBANE,05/05/2009,3.1,0.0, ,24.4,13.4,90,44,2.41,16.82
BRISBANE,06/05/2009,3.1,0.0, ,24.4,14.0,81,49,2.31,17.28
BRISBANE,07/05/2009,2.6,1.4, ,24.4,16.6,92,53,1.48,15.55
BRISBANE,08/05/2009,3.0,2.2, ,25.8,14.4,93,37,1.64,17.59
BRISBANE,09/05/2009,2.9,0.2, ,25.4,12.5,90,38,1.54,17.97
BRISBANE,10/05/2009,3.2,0.0, ,25.4,12.4,89,37,2.11,18.14
BRISBANE,11/05/2009,3.0,0.0, ,23.6,14.1,83,46,2.56,15.42
BRISBANE,12/05/2009,2.0,0.0, ,21.5,13.8,93,56,1.31,12.13
BRISBANE,13/05/2009,2.7,0.0, ,24.3,12.0,93,37,1.76,16.53
BRISBANE,14/05/2009,2.9,0.0, ,25.4,12.5,91,27,1.57,17.65
BRISBANE,15/05/2009,3.1,0.0, ,24.9,10.2,81,20,1.61,18.11
BRISBANE,16/05/2009,3.6,0.0, ,26.2,9.0,74,21,2.18,17.95
BRISBANE,17/05/2009,3.0,0.0, ,26.2,12.6,77,42,2.02,15.99
BRISBANE,18/05/2009,2.6,0.0, ,24.5,15.6,92,52,2.66,12.93
BRISBANE,19/05/2009,1.8,56.6, ,21.4,17.0,94,63,2.32,7.84
BRISBANE,20/05/2009,1.2,89.0, ,19.1,16.7,95,86,3.77,4.72
BRISBANE,21/05/2009,2.5,76.2, ,23.2,14.7,92,54,2.38,13.98
BRISBANE,22/05/2009,2.2,0.0, ,23.0,13.2,96,56,1.38,15.33
BRISBANE,23/05/2009,2.3,5.4, ,22.8,15.1,94,64,3.10,13.55
BRISBANE,24/05/2009,2.5,2.2, ,22.7,16.8,86,59,2.84,14.01
BRISBANE,25/05/2009,2.6,2.2, ,23.7,14.8,91,46,2.32,14.88
BRISBANE,26/05/2009,2.1,0.0, ,22.3,15.3,85,59,1.74,12.24
BRISBANE,27/05/2009,2.1,0.0, ,24.1,13.8,93,55,1.21,15.08
BRISBANE,28/05/2009,2.3,0.0, ,25.1,14.6,94,46,1.22,15.58
BRISBANE,29/05/2009,2.2,0.0, ,24.6,14.6,94,53,1.36,15.42
BRISBANE,30/05/2009,2.4,5.2, ,23.5,14.5,90,52,2.04,15.37
BRISBANE,31/05/2009,2.4,0.2, ,22.4,12.8,90,52,2.52,14.07
Totals:,,81.5,240.8, ,,,,,, 
