'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2009,2.1,2.0, ,21.7,13.6,92,60,2.41,12.89
BRISBANE,02/06/2009,1.7,4.2, ,21.2,14.5,94,71,1.58,11.52
BRISBANE,03/06/2009,1.7,6.0, ,21.3,14.1,94,71,1.91,11.77
BRISBANE,04/06/2009,1.8,1.4, ,22.7,15.2,95,64,1.26,12.35
BRISBANE,05/06/2009,2.0,1.2, ,24.4,14.8,97,60,1.34,14.30
BRISBANE,06/06/2009,2.4,0.0, ,24.3,12.4,93,31,1.59,15.57
BRISBANE,07/06/2009,2.4,0.2, ,23.4,12.7,94,43,2.24,13.44
BRISBANE,08/06/2009,2.5,1.2, ,22.0,8.6,90,38,2.12,15.76
BRISBANE,09/06/2009,2.4,0.0, ,21.6,7.7,95,35,2.01,15.48
BRISBANE,10/06/2009,2.9,0.0, ,20.4,8.2,78,35,3.23,15.64
BRISBANE,11/06/2009,2.5,0.0, ,16.5,7.6,86,28,2.56,16.17
BRISBANE,12/06/2009,2.0,0.0, ,19.9,5.5,89,40,1.59,15.63
BRISBANE,13/06/2009,2.1,0.0, ,22.0,7.8,94,44,1.48,15.43
BRISBANE,14/06/2009,2.2,0.0, ,24.1,8.6,96,39,1.66,14.96
BRISBANE,15/06/2009,1.7,0.0, ,22.5,11.7,94,56,1.06,13.30
BRISBANE,16/06/2009,2.1,0.4, ,22.4,9.6,96,34,1.34,15.44
BRISBANE,17/06/2009,2.2,0.0, ,22.3,8.9,88,39,1.66,15.08
BRISBANE,18/06/2009,2.1,0.0, ,21.1,12.0,85,55,2.32,12.60
BRISBANE,19/06/2009,2.5,0.0, ,22.8,12.9,85,47,2.43,14.57
BRISBANE,20/06/2009,2.1,0.0, ,22.1,13.5,93,54,2.24,12.52
BRISBANE,21/06/2009,1.3,0.4, ,20.0,14.7,95,84,1.66,9.79
BRISBANE,22/06/2009,1.2,24.4, ,19.8,16.8,95,87,1.69,8.10
BRISBANE,23/06/2009,2.1,31.2, ,23.1,14.8,95,59,2.18,13.51
BRISBANE,24/06/2009, ,0.0, ,23.2,11.3, , , ,13.44
BRISBANE,25/06/2009, ,0.2, ,19.3,10.9, , , ,9.21
BRISBANE,26/06/2009, ,0.0, ,19.8,12.7, , , ,7.87
BRISBANE,27/06/2009,1.8,14.8, ,20.3,13.7,94,59,2.06,11.02
BRISBANE,28/06/2009,1.9,0.0, ,20.4,8.8,96,49,1.81,12.87
BRISBANE,29/06/2009,2.1,0.0, ,21.4,8.2,92,37,1.60,15.39
BRISBANE,30/06/2009,1.7,0.0, ,22.5,7.2,95,43,0.99,14.00
Totals:,,55.5,87.6, ,,,,,, 
