'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2009,1.7, , ,23.8,10.4,95,50,0.74,14.64
BRISBANE,02/07/2009,2.9,0.0, ,23.2,12.5,95,21,2.63,14.63
BRISBANE,03/07/2009,4.3,0.0, ,20.8,12.7,50,33,5.28,15.38
BRISBANE,04/07/2009,3.6,0.0, ,19.1,10.6,59,34,4.40,15.69
BRISBANE,05/07/2009,1.9,0.0, ,18.3,7.4,92,42,1.67,15.04
BRISBANE,06/07/2009, ,0.0, ,20.6,7.2,90,51,1.73, 
BRISBANE,07/07/2009, ,0.0, ,16.4,11.6,92,79,1.40, 
BRISBANE,08/07/2009, ,3.4, ,19.1,11.9,89,46,3.08, 
BRISBANE,09/07/2009,2.6,0.0, ,20.7,11.1,80,44,3.02,14.36
BRISBANE,10/07/2009,2.5,0.0, ,20.4,13.0,77,50,2.94,14.12
BRISBANE,11/07/2009,2.4,0.0, ,21.7,11.2,85,48,2.27,14.68
BRISBANE,12/07/2009,2.2,0.0, ,22.5,8.9,93,44,1.57,15.60
BRISBANE,13/07/2009,2.2,0.0, ,25.5,7.9,96,35,1.15,15.57
BRISBANE,14/07/2009,2.0,0.0, ,19.4,11.3,88,54,2.32,10.75
BRISBANE,15/07/2009,2.2,0.0, ,19.7,6.2,87,29,1.58,15.70
BRISBANE,16/07/2009,2.7,0.0, ,17.1,10.9,70,49,3.86,15.45
BRISBANE,17/07/2009,2.5,0.0, ,19.9,8.2,81,37,2.37,15.99
BRISBANE,18/07/2009,2.1,0.0, ,21.7,8.6,93,45,1.52,15.16
BRISBANE,19/07/2009,2.1,0.0, ,22.5,11.0,94,39,1.01,16.01
BRISBANE,20/07/2009,2.2,0.0, ,22.9,8.1,93,42,1.27,15.99
BRISBANE,21/07/2009,2.4,0.0, ,23.5,10.0,96,47,1.72,15.79
BRISBANE,22/07/2009,2.6,0.0, ,24.4,10.6,92,42,2.01,15.11
BRISBANE,23/07/2009,3.1,0.0, ,25.8,14.7,83,35,2.33,15.86
BRISBANE,24/07/2009,2.8,0.0, ,21.7,9.9,68,33,2.10,16.91
BRISBANE,25/07/2009,2.4,0.0, ,20.9,10.6,88,46,2.14,15.64
BRISBANE,26/07/2009,2.2,0.0, ,21.7,11.5,92,53,1.96,14.10
BRISBANE,27/07/2009,2.8,0.2, ,23.1,11.6,93,29,2.04,16.90
BRISBANE,28/07/2009,2.4,0.0, ,22.2,9.7,92,32,1.35,17.06
BRISBANE,29/07/2009,2.4,0.0, ,22.0,9.0,93,33,1.46,17.11
BRISBANE,30/07/2009,2.3,0.0, ,21.8,8.3,94,42,1.45,16.82
BRISBANE,31/07/2009,2.6,0.0, ,21.3,8.3,92,30,1.64,17.57
Totals:,,70.1,3.6, ,,,,,, 
