'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2009,2.5,0.0, ,22.5,8.4,92,38,1.59,17.09
BRISBANE,02/08/2009,2.5,0.0, ,23.0,8.8,94,40,1.54,17.01
BRISBANE,03/08/2009,2.8,0.0, ,24.3,9.4,95,32,1.74,17.59
BRISBANE,04/08/2009,2.4,0.0, ,22.8,9.1,93,51,1.56,17.02
BRISBANE,05/08/2009,2.6,0.0, ,23.4,10.8,93,39,1.46,16.86
BRISBANE,06/08/2009,2.7,0.0, ,22.5,11.3,93,39,1.66,17.22
BRISBANE,07/08/2009,2.7,0.0, ,23.7,10.4,95,45,1.71,17.75
BRISBANE,08/08/2009,3.0,0.0, ,22.7,10.5,91,37,2.25,18.09
BRISBANE,09/08/2009,2.7,0.0, ,22.0,8.2,91,37,1.57,18.44
BRISBANE,10/08/2009,2.6,0.0, ,22.5,9.3,96,39,1.46,18.27
BRISBANE,11/08/2009,2.9,0.0, ,23.0,9.5,96,36,1.87,18.25
BRISBANE,12/08/2009,2.6,0.0, ,23.5,11.7,93,50,2.01,14.81
BRISBANE,13/08/2009,2.8,2.8, ,26.8,10.6,96,42,0.95,18.65
BRISBANE,14/08/2009,3.3,0.0, ,26.4,12.1,94,21,1.49,19.43
BRISBANE,15/08/2009,3.0,0.0, ,23.4,10.8,92,45,1.74,19.27
BRISBANE,16/08/2009,3.2,0.0, ,25.4,10.2,92,44,1.77,19.54
BRISBANE,17/08/2009,3.4,0.0, ,27.8,11.2,96,39,1.91,18.78
BRISBANE,18/08/2009,3.9,0.2, ,23.4,13.3,68,29,2.69,19.46
BRISBANE,19/08/2009,2.9,0.0, ,23.4,10.9,89,37,1.62,17.45
BRISBANE,20/08/2009,2.9,0.0, ,22.7,10.7,93,41,1.70,18.12
BRISBANE,21/08/2009,3.3,0.0, ,24.6,11.6,88,46,2.08,19.48
BRISBANE,22/08/2009,3.3,0.0, ,28.1,14.5,92,40,1.36,18.66
BRISBANE,23/08/2009,3.4,0.0, ,28.3,14.2,95,44,1.57,19.35
BRISBANE,24/08/2009,4.2,0.0, ,35.4,15.5,96,20,1.48,19.76
BRISBANE,25/08/2009,4.9,0.0, ,33.4,17.6,91,23,2.47,20.02
BRISBANE,26/08/2009,4.4,0.0, ,30.0,18.0,89,8,2.16,17.80
BRISBANE,27/08/2009,3.6,0.0, ,26.5,10.8,85,34,1.83,19.79
BRISBANE,28/08/2009,3.7,0.0, ,29.3,15.8,92,39,1.49,20.30
BRISBANE,29/08/2009,3.7,0.0, ,27.1,19.2,91,59,2.51,18.92
BRISBANE,30/08/2009,4.5,0.0, ,29.2,18.0,88,24,3.01,15.39
BRISBANE,31/08/2009,3.1,1.0, ,22.2,12.7,82,35,2.42,12.32
Totals:,,99.5,4, ,,,,,, 
