'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2009,3.5,0.2, ,23.2,8.5,91,32,1.78,21.61
BRISBANE,02/09/2009,3.3,0.0, ,23.6,11.8,94,45,1.74,20.09
BRISBANE,03/09/2009,3.6,0.0, ,23.9,11.6,92,32,1.86,20.51
BRISBANE,04/09/2009,3.1,0.0, ,24.5,13.7,90,54,1.91,17.39
BRISBANE,05/09/2009,4.1,7.8, ,27.3,16.1,92,37,2.45,19.16
BRISBANE,06/09/2009,3.6,0.0, ,25.2,14.0,92,46,1.92,20.36
BRISBANE,07/09/2009,2.8,0.0, ,25.1,15.5,94,59,2.33,13.35
BRISBANE,08/09/2009,4.3,15.2, ,27.3,16.2,92,17,2.00,20.68
BRISBANE,09/09/2009,4.3,0.0, ,25.5,11.6,77,25,2.05,22.68
BRISBANE,10/09/2009,4.0,0.0, ,26.1,10.1,81,23,1.62,22.42
BRISBANE,11/09/2009,4.4,0.0, ,26.3,11.8,82,19,1.86,23.62
BRISBANE,12/09/2009,4.0,0.0, ,25.4,10.9,88,36,1.74,23.51
BRISBANE,13/09/2009,4.0,0.0, ,25.3,12.0,92,39,1.82,23.39
BRISBANE,14/09/2009,4.1,0.0, ,26.6,12.4,94,31,1.68,23.22
BRISBANE,15/09/2009,3.9,0.0, ,25.7,12.5,96,48,1.56,23.33
BRISBANE,16/09/2009,4.1,0.0, ,26.2,13.8,93,44,1.67,23.72
BRISBANE,17/09/2009,4.0,0.0, ,26.1,14.0,91,48,2.09,22.10
BRISBANE,18/09/2009,4.3,0.0, ,28.4,13.9,93,42,1.80,23.24
BRISBANE,19/09/2009,3.9,0.0, ,27.3,16.4,92,53,1.82,20.41
BRISBANE,20/09/2009,5.3,0.0, ,32.2,18.5,89,23,2.08,23.86
BRISBANE,21/09/2009,4.5,0.0, ,29.3,17.0,92,52,2.02,23.33
BRISBANE,22/09/2009,4.6,0.2, ,28.0,21.0,88,57,3.01,22.03
BRISBANE,23/09/2009,6.2,0.0, ,27.7,19.8,81,12,4.41,20.11
BRISBANE,24/09/2009,5.9,0.0, ,30.0,15.5,75,15,2.63,25.90
BRISBANE,25/09/2009,5.2,0.0, ,28.4,10.1,80,20,2.07,26.08
BRISBANE,26/09/2009,6.4,0.0, ,34.2,13.6,89,13,2.61,25.31
BRISBANE,27/09/2009,7.3,0.0, ,24.7,15.3,27,13,4.80,26.21
BRISBANE,28/09/2009,6.1,0.0, ,25.6,8.7,55,14,3.46,26.65
BRISBANE,29/09/2009,5.3,0.0, ,26.8,10.0,77,16,2.29,26.74
BRISBANE,30/09/2009,5.0,0.0, ,26.1,12.5,81,31,2.30,26.44
Totals:,,135.1,23.4, ,,,,,, 
