'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2009,5.2,0.0, ,28.3,14.1,88,31,2.24,26.51
BRISBANE,02/10/2009,5.0,0.0, ,28.7,14.6,89,40,2.16,25.71
BRISBANE,03/10/2009,6.8,0.0, ,34.1,19.7,72,16,3.18,23.22
BRISBANE,04/10/2009,4.5,0.0, ,26.6,17.5,79,49,2.75,20.33
BRISBANE,05/10/2009,4.8,0.4, ,28.4,16.1,88,30,2.08,22.60
BRISBANE,06/10/2009,5.0,0.0, ,27.4,16.1,92,41,2.22,25.62
BRISBANE,07/10/2009,4.6,0.0, ,28.4,17.1,84,30,2.02,20.10
BRISBANE,08/10/2009,6.0,2.4, ,27.0,11.8,67,11,2.73,27.92
BRISBANE,09/10/2009,5.5,0.0, ,26.5,13.3,77,22,2.62,26.23
BRISBANE,10/10/2009,4.9,0.0, ,24.9,13.7,74,37,2.89,23.14
BRISBANE,11/10/2009,3.1,0.0, ,22.4,15.0,94,51,1.71,15.46
BRISBANE,12/10/2009,4.8,1.0, ,26.8,13.0,96,48,2.83,25.13
BRISBANE,13/10/2009,6.7,1.8, ,35.0,18.3,90,25,3.11,24.86
BRISBANE,14/10/2009,7.2,10.2, ,31.4,16.6,86,14,3.78,27.44
BRISBANE,15/10/2009,6.3,0.2, ,31.0,12.1,61,15,2.14,29.34
BRISBANE,16/10/2009,6.7,0.0, ,29.6,12.9,79,14,3.06,29.10
BRISBANE,17/10/2009,6.2,0.0, ,26.2,14.7,62,21,2.91,29.16
BRISBANE,18/10/2009,4.8,0.0, ,25.7,14.6,77,39,2.24,24.20
BRISBANE,19/10/2009,4.7,0.0, ,25.2,14.5,85,45,2.33,24.45
BRISBANE,20/10/2009,5.1,0.0, ,25.7,14.2,88,43,2.07,28.69
BRISBANE,21/10/2009,5.6,0.0, ,28.1,14.5,88,40,2.20,29.16
BRISBANE,22/10/2009,5.5,0.0, ,28.0,15.2,87,42,2.10,29.11
BRISBANE,23/10/2009,5.7,0.0, ,28.3,16.1,89,36,2.23,29.23
BRISBANE,24/10/2009,6.1,0.0, ,28.8,16.0,86,33,2.77,29.25
BRISBANE,25/10/2009,5.7,0.4, ,28.9,16.7,93,41,2.47,28.65
BRISBANE,26/10/2009,4.4,0.0, ,28.5,18.9,93,48,2.69,18.12
BRISBANE,27/10/2009,5.0,35.4, ,26.9,18.1,93,51,2.99,24.70
BRISBANE,28/10/2009,4.1,1.2, ,26.9,17.9,92,51,1.99,18.98
BRISBANE,29/10/2009,5.2,4.4, ,26.3,17.7,88,42,2.92,24.42
BRISBANE,30/10/2009,4.5,0.0, ,26.0,16.7,87,48,2.01,22.07
BRISBANE,31/10/2009,5.2,0.0, ,27.2,16.3,90,46,1.91,27.06
Totals:,,164.9,57.4, ,,,,,, 
