'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2009,4.3,0.4, ,24.8,18.3,91,54,1.90,22.43
BRISBANE,02/11/2009,5.7,0.0, ,26.6,14.2,94,41,2.05,31.19
BRISBANE,03/11/2009,6.1,0.0, ,29.3,14.9,85,40,2.23,30.95
BRISBANE,04/11/2009,6.7,0.0, ,32.0,18.2,85,33,2.38,30.99
BRISBANE,05/11/2009,6.2,0.0, ,29.7,19.8,89,35,2.59,28.73
BRISBANE,06/11/2009,3.7,0.4, ,25.5,18.3,91,58,2.46,16.45
BRISBANE,07/11/2009,4.7,7.0, ,26.6,18.9,92,51,2.37,23.15
BRISBANE,08/11/2009,5.5,0.2, ,27.4,16.8,91,42,2.34,27.53
BRISBANE,09/11/2009,4.2,17.0, ,25.6,18.8,94,52,3.19,18.58
BRISBANE,10/11/2009,4.9,1.6, ,25.6,17.2,89,45,2.57,24.24
BRISBANE,11/11/2009,5.4,0.2, ,26.2,15.4,87,49,2.34,29.01
BRISBANE,12/11/2009, ,0.0, ,27.5,16.1,90,45,2.19, 
BRISBANE,13/11/2009,5.4,0.0, ,27.8,17.5,80,48,2.25,26.40
BRISBANE,14/11/2009,6.1,0.0, ,28.1,19.2,84,44,2.40,30.76
BRISBANE,15/11/2009,6.5,0.0, ,30.4,18.9,87,41,2.41,31.35
BRISBANE,16/11/2009, ,0.0, ,31.4,19.6,91,41,2.66, 
BRISBANE,17/11/2009, ,0.0, ,34.4,20.9,85,35,3.18, 
BRISBANE,18/11/2009, ,3.2, ,28.2,20.7,81,55,2.93, 
BRISBANE,19/11/2009, ,0.0, ,29.6,21.6,83,60,2.43, 
BRISBANE,20/11/2009, , , ,31.9,24.1,86,52,2.75, 
BRISBANE,21/11/2009, ,0.0, ,30.7,22.5,85,54,3.12, 
BRISBANE,22/11/2009, ,0.0, ,31.7,22.0,81,43,3.21, 
BRISBANE,23/11/2009, ,0.0, ,31.3,22.2,83,45,3.20, 
BRISBANE,24/11/2009, ,1.2, ,29.8,22.4,81,43,3.73, 
BRISBANE,25/11/2009, ,0.2, ,30.2,21.6,81,41,3.30, 
BRISBANE,26/11/2009, ,0.0, ,28.6,21.0,85,58,3.13, 
BRISBANE,27/11/2009, ,0.0, ,31.2,22.0,80,46,3.06, 
BRISBANE,28/11/2009,5.4,0.0, ,34.2,22.0,83,45,2.02,21.13
BRISBANE,29/11/2009,6.8,0.0, ,34.8,23.9,80,42,2.99,26.19
BRISBANE,30/11/2009,7.0,0.0, ,34.3,20.8,88,19,2.34,28.60
Totals:,,94.6,31.4, ,,,,,, 
