'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2009,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2009 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2009,6.4,0.0, ,29.2,21.0,72,44,3.65,25.96
BRISBANE,02/12/2009,4.2,0.0, ,26.0,19.1,86,53,2.85,17.60
BRISBANE,03/12/2009,5.7,6.6, ,28.3,18.0,79,46,2.74,26.02
BRISBANE,04/12/2009,6.7,0.0, ,30.5,17.1,87,42,2.30,33.23
BRISBANE,05/12/2009,7.0,0.0, ,29.8,19.3,75,47,3.27,32.83
BRISBANE,06/12/2009,7.2,0.0, ,30.6,20.4,77,42,2.95,32.94
BRISBANE,07/12/2009,7.1,0.0, ,30.5,22.2,79,51,3.59,32.47
BRISBANE,08/12/2009,7.3,0.0, ,31.9,22.2,80,44,3.05,32.47
BRISBANE,09/12/2009,7.6,0.0, ,32.7,22.3,81,41,3.22,32.56
BRISBANE,10/12/2009,7.3,0.0, ,33.0,22.6,81,42,2.76,31.95
BRISBANE,11/12/2009,6.6,0.0, ,33.2,23.2,81,48,2.64,28.03
BRISBANE,12/12/2009,5.3,0.0, ,30.8,23.6,83,53,2.97,20.75
BRISBANE,13/12/2009,6.5,0.6, ,33.1,23.3,90,44,2.26,28.39
BRISBANE,14/12/2009,6.2,0.2, ,31.8,24.4,80,47,2.65,25.58
BRISBANE,15/12/2009,4.7,0.0, ,29.3,23.0,91,51,1.94,20.74
BRISBANE,16/12/2009,6.2,12.2, ,30.0,20.0,90,48,2.65,28.98
BRISBANE,17/12/2009,7.3,0.0, ,30.5,20.5,76,33,3.12,32.35
BRISBANE,18/12/2009,7.1,0.0, ,31.6,22.0,74,45,3.05,30.77
BRISBANE,19/12/2009,4.5,0.0, ,30.8,23.0,88,47,1.74,18.57
BRISBANE,20/12/2009,3.4,4.8, ,28.1,21.9,92,60,1.36,14.57
BRISBANE,21/12/2009,4.9,34.0, ,29.0,20.9,88,54,2.25,22.04
BRISBANE,22/12/2009,5.5,0.0, ,32.0,20.9,91,44,1.60,24.65
BRISBANE,23/12/2009,6.1,13.0, ,30.2,20.9,91,52,2.26,29.51
BRISBANE,24/12/2009,6.0,1.6, ,30.0,21.4,91,50,2.54,27.59
BRISBANE,25/12/2009,5.4,0.2, ,29.1,21.9,88,61,3.00,25.16
BRISBANE,26/12/2009,5.2,13.2, ,29.7,23.0,91,66,3.38,23.30
BRISBANE,27/12/2009,4.2,21.0, ,29.3,22.7,93,66,3.57,17.52
BRISBANE,28/12/2009,3.9,21.6, ,28.5,23.1,93,68,2.10,17.35
BRISBANE,29/12/2009,4.3,35.0, ,29.1,22.9,94,65,1.70,19.80
BRISBANE,30/12/2009,5.2,7.8, ,28.6,22.8,92,57,2.58,23.61
BRISBANE,31/12/2009,5.1,0.4, ,28.6,20.7,91,51,2.94,22.25
Totals:,,180.1,172.2, ,,,,,, 
