'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2010,5.3,1.4, ,29.6,23.6,86,54,2.83,22.49
BRISBANE,02/01/2010,5.9,0.8, ,30.8,23.9,85,51,2.64,25.65
BRISBANE,03/01/2010,4.6,0.0, ,32.2,24.9,90,58,1.98,18.50
BRISBANE,04/01/2010,4.4,20.6, ,27.7,23.4,87,57,3.49,17.07
BRISBANE,05/01/2010,4.6,0.0, ,27.8,21.1,78,56,2.65,19.25
BRISBANE,06/01/2010,4.5,0.0, ,29.3,21.8,88,61,2.26,19.44
BRISBANE,07/01/2010,4.5,0.6, ,28.6,22.4,90,55,2.27,19.64
BRISBANE,08/01/2010,6.0,0.2, ,30.3,22.3,89,51,2.98,26.50
BRISBANE,09/01/2010,6.4,0.0, ,30.2,21.7,89,48,2.40,30.34
BRISBANE,10/01/2010,6.4,0.0, ,30.6,21.0,91,49,1.79,31.93
BRISBANE,11/01/2010,6.5,0.0, ,30.5,20.8,88,47,2.16,31.34
BRISBANE,12/01/2010,6.1,0.0, ,31.0,21.3,90,51,2.30,28.14
BRISBANE,13/01/2010,6.3,0.0, ,30.1,20.9,88,46,2.18,30.16
BRISBANE,14/01/2010,6.9,0.0, ,30.7,23.2,78,45,2.65,31.00
BRISBANE,15/01/2010,6.3,0.0, ,30.8,21.5,85,41,2.61,27.89
BRISBANE,16/01/2010,5.6,0.0, ,29.9,21.3,85,50,2.06,25.73
BRISBANE,17/01/2010,7.0,0.0, ,32.4,22.1,78,46,2.54,31.48
BRISBANE,18/01/2010,7.4,4.4, ,35.1,22.1,90,24,2.39,30.82
BRISBANE,19/01/2010,7.7,0.0, ,32.8,17.3,68,17,2.57,33.17
BRISBANE,20/01/2010,7.6,0.2, ,33.0,20.2,76,27,2.38,33.41
BRISBANE,21/01/2010,6.4,0.0, ,32.6,21.3,81,42,2.04,28.65
BRISBANE,22/01/2010,5.1,0.0, ,30.9,22.4,81,44,1.92,21.26
BRISBANE,23/01/2010,6.7,0.0, ,32.1,21.3,88,41,2.23,31.15
BRISBANE,24/01/2010,6.9,0.0, ,31.7,21.8,87,43,2.43,31.86
BRISBANE,25/01/2010,6.7,0.0, ,32.5,21.5,88,43,2.19,31.12
BRISBANE,26/01/2010,6.9,0.0, ,32.8,22.4,84,46,2.51,31.16
BRISBANE,27/01/2010,6.9,0.0, ,33.6,21.9,87,42,2.36,30.85
BRISBANE,28/01/2010,6.7,0.0, ,33.8,24.1,81,44,2.41,28.35
BRISBANE,29/01/2010,5.1,3.6, ,32.6,21.1,90,51,1.98,21.97
BRISBANE,30/01/2010,5.8,3.0, ,31.2,22.8,83,50,3.26,23.39
BRISBANE,31/01/2010,4.2,5.4, ,28.1,22.7,91,63,3.94,16.82
Totals:,,187.4,40.2, ,,,,,, 
