'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2010,,,,,,,,,,
Issued at 04:34 GMT on Thursday 22 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2010,4.4,17.4, ,28.2,22.0,92,54,4.80,14.95
BRISBANE,02/02/2010,5.2,2.6, ,29.3,22.0,87,50,3.33,21.18
BRISBANE,03/02/2010,6.0,2.4, ,30.2,22.0,90,51,2.84,27.40
BRISBANE,04/02/2010,5.8,0.0, ,30.9,21.5,90,51,2.41,26.41
BRISBANE,05/02/2010,6.3,0.0, ,31.5,21.8,89,45,2.39,29.26
BRISBANE,06/02/2010,5.8,0.0, ,31.6,24.6,87,53,2.63,25.14
BRISBANE,07/02/2010,3.0,89.0, ,26.7,22.3,94,71,2.07,12.82
BRISBANE,08/02/2010,5.8,0.8, ,30.3,22.0,90,49,2.91,25.93
BRISBANE,09/02/2010,5.0,0.2, ,29.2,21.3,83,58,2.52,22.93
BRISBANE,10/02/2010,5.7,7.0, ,29.9,21.4,85,53,2.72,26.13
BRISBANE,11/02/2010,5.6,0.0, ,29.5,21.4,88,52,2.42,26.34
BRISBANE,12/02/2010,6.1,0.0, ,31.1,21.0,89,47,2.23,29.26
BRISBANE,13/02/2010,6.1,0.0, ,31.1,21.6,90,50,2.45,29.09
BRISBANE,14/02/2010,6.4,0.0, ,31.4,23.6,84,50,3.02,28.22
BRISBANE,15/02/2010,6.2,0.0, ,33.1,24.7,93,56,2.73,27.70
BRISBANE,16/02/2010,3.9,17.4, ,32.0,24.3,93,61,1.76,15.86
BRISBANE,17/02/2010,3.9,121.4, ,28.3,21.3,93,62,1.82,18.05
BRISBANE,18/02/2010,5.5,0.0, ,30.0,22.5,81,48,3.17,22.73
BRISBANE,19/02/2010,5.4,0.0, ,29.1,20.4,82,49,3.16,23.50
BRISBANE,20/02/2010,5.2,0.4, ,29.3,20.8,88,48,2.43,23.59
BRISBANE,21/02/2010,5.3,2.2, ,29.9,21.4,90,47,2.02,25.18
BRISBANE,22/02/2010,5.3,0.2, ,31.0,20.3,90,57,2.15,25.31
BRISBANE,23/02/2010,6.4,0.0, ,33.5,22.7,91,41,2.00,29.17
BRISBANE,24/02/2010,5.3,0.0, ,30.4,24.0,84,59,3.30,22.90
BRISBANE,25/02/2010,4.8,0.0, ,29.1,23.6,77,52,3.43,17.68
BRISBANE,26/02/2010,5.0,1.4, ,28.5,19.6,89,50,2.72,23.11
BRISBANE,27/02/2010,4.0,0.6, ,27.4,20.2,93,66,2.71,18.96
BRISBANE,28/02/2010,4.7,9.4, ,29.8,21.9,93,62,2.16,22.75
Totals:,,148.1,272.4, ,,,,,, 
