'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2010,2.7,26.8, ,26.4,22.9,94,74,1.98,12.11
BRISBANE,02/03/2010,2.0,60.6, ,23.9,20.9,95,88,2.62,9.21
BRISBANE,03/03/2010,3.6,23.6, ,27.2,20.9,94,71,2.58,17.40
BRISBANE,04/03/2010,4.2,20.0, ,27.0,21.5,78,56,2.96,17.20
BRISBANE,05/03/2010,3.9,0.2, ,28.5,23.0,87,64,3.23,15.72
BRISBANE,06/03/2010,3.1,9.0, ,27.0,23.0,93,73,2.68,13.74
BRISBANE,07/03/2010,3.7,3.4, ,27.2,21.9,92,62,2.23,17.05
BRISBANE,08/03/2010,3.1,0.6, ,27.2,22.5,90,63,0.90,14.90
BRISBANE,09/03/2010,5.6,0.0, ,32.6,20.5,95,48,1.92,26.91
BRISBANE,10/03/2010,5.9,0.0, ,33.1,22.7,91,42,2.30,26.20
BRISBANE,11/03/2010,5.0,0.0, ,30.0,21.8,89,49,2.94,21.67
BRISBANE,12/03/2010,5.3,1.2, ,28.1,20.1,87,46,4.50,21.54
BRISBANE,13/03/2010,5.2,0.6, ,27.4,18.8,87,47,3.31,25.35
BRISBANE,14/03/2010,4.2,0.6, ,27.5,18.4,92,55,2.56,20.55
BRISBANE,15/03/2010,4.8,4.8, ,28.0,18.4,87,47,2.87,22.05
BRISBANE,16/03/2010,5.1,0.2, ,28.3,19.0,85,38,3.00,21.85
BRISBANE,17/03/2010,4.9,0.2, ,28.4,18.5,82,53,3.07,23.48
BRISBANE,18/03/2010,4.6, , ,27.9,19.4,87,50,2.59,22.30
BRISBANE,19/03/2010,4.5,0.0, ,28.6,18.4,92,43,2.45,20.88
BRISBANE,20/03/2010,4.2,0.0, ,28.4,17.2,91,54,2.43,19.93
BRISBANE,21/03/2010,3.6,1.0, ,28.2,20.9,92,58,2.00,16.54
BRISBANE,22/03/2010,3.6,0.0, ,28.5,20.5,92,61,1.38,18.21
BRISBANE,23/03/2010,4.3,0.0, ,30.0,20.7,93,56,1.87,20.68
BRISBANE,24/03/2010,4.6,1.6, ,29.1,20.7,88,55,2.20,22.63
BRISBANE,25/03/2010,4.4,0.0, ,28.8,18.4,87,50,2.13,21.43
BRISBANE,26/03/2010,4.1,3.4, ,28.7,20.4,92,55,1.84,20.73
BRISBANE,27/03/2010,4.4,0.0, ,29.1,18.4,92,51,1.65,23.21
BRISBANE,28/03/2010,4.3,0.0, ,28.6,20.5,88,48,2.38,19.72
BRISBANE,29/03/2010,3.7,1.2, ,27.8,20.7,91,58,1.78,18.61
BRISBANE,30/03/2010,3.3,3.2, ,26.1,19.5,94,65,1.73,17.44
BRISBANE,31/03/2010,3.7,0.0, ,27.5,20.6,93,61,1.62,19.62
Totals:,,129.6,162.2, ,,,,,, 
