'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2010,3.5,1.4, ,27.7,20.5,92,61,1.94,17.51
BRISBANE,02/04/2010,4.2,0.0, ,27.9,19.7,92,53,2.41,21.56
BRISBANE,03/04/2010,4.1,0.0, ,27.6,19.1,86,52,2.21,20.70
BRISBANE,04/04/2010,4.0,0.0, ,26.5,18.9,81,52,2.30,20.27
BRISBANE,05/04/2010,4.2,0.0, ,27.7,17.9,81,47,2.17,21.05
BRISBANE,06/04/2010,3.5,0.0, ,26.1,17.8,90,53,1.67,19.06
BRISBANE,07/04/2010,3.8,0.0, ,27.7,17.5,92,44,1.54,20.77
BRISBANE,08/04/2010, ,0.0, ,31.0,18.0, , , ,21.93
BRISBANE,09/04/2010,4.1, , ,29.3,20.6,91,46,1.41,22.03
BRISBANE,10/04/2010,3.7,0.0, ,31.0,21.0,88,49,0.84,19.80
BRISBANE,11/04/2010,4.0,0.0, ,31.3,21.2,96,53,1.19,21.17
BRISBANE,12/04/2010,2.3,0.2, ,26.0,23.2,88,65,0.83,11.21
BRISBANE,13/04/2010,2.6,2.0, ,24.4,18.5,83,52,1.43,12.10
BRISBANE,14/04/2010,3.7,0.0, ,26.9,16.5,82,45,1.91,19.79
BRISBANE,15/04/2010,3.7,0.0, ,27.4,16.2,85,47,1.52,21.45
BRISBANE,16/04/2010,2.8,0.0, ,24.6,17.3,85,48,1.30,15.21
BRISBANE,17/04/2010,4.0,0.4, ,27.5,17.0,81,45,1.96,21.47
BRISBANE,18/04/2010,3.2,0.6, ,26.8,18.1,90,55,1.34,18.46
BRISBANE,19/04/2010,3.3,4.6, ,26.2,18.5,93,52,1.88,18.18
BRISBANE,20/04/2010,2.8,1.0, ,26.4,17.9,92,62,1.23,15.49
BRISBANE,21/04/2010,2.2,10.2, ,23.1,18.2,95,84,1.27,13.22
BRISBANE,22/04/2010,2.7,12.8, ,25.6,17.8,92,63,1.06,16.22
BRISBANE,23/04/2010,3.2,0.2, ,28.4,18.0,93,55,1.01,19.11
BRISBANE,24/04/2010,2.4,0.8, ,25.5,18.5,95,66,0.90,13.94
BRISBANE,25/04/2010,3.3,2.2, ,29.3,18.3,96,55,0.99,19.85
BRISBANE,26/04/2010,3.7,0.0, ,26.4,16.7,67,40,1.57,20.65
BRISBANE,27/04/2010,2.8,0.0, ,25.9,13.5,89,51,0.96,18.34
BRISBANE,28/04/2010,3.0,0.0, ,27.4,16.5,92,50,0.90,18.74
BRISBANE,29/04/2010,3.3,0.0, ,29.3,18.0,92,32,0.96,19.73
BRISBANE,30/04/2010,3.2,0.0, ,28.3,13.0,92,39,1.09,19.61
Totals:,,97.3,36.4, ,,,,,, 
