'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2010,,,,,,,,,,
Issued at 04:44 GMT on Monday 26 July 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2010,3.0,0.0, ,27.0,17.8,81,53,1.43,16.58
BRISBANE,02/05/2010,3.1,0.6, ,27.0,17.6,91,50,1.18,18.89
BRISBANE,03/05/2010,3.1,0.2, ,26.4,16.7,90,51,1.77,18.54
BRISBANE,04/05/2010,1.8,4.2, ,21.2,17.8,93,83,0.94,11.90
BRISBANE,05/05/2010,2.9,8.4, ,27.9,16.6,96,48,0.75,18.79
BRISBANE,06/05/2010, , , , ,15.7, , , ,18.97
BRISBANE,07/05/2010,2.9, , ,25.3,12.7,83,27,1.10,19.03
BRISBANE,08/05/2010,2.9,0.0, ,26.4,11.6,82,48,1.53,18.09
BRISBANE,09/05/2010,2.6,0.0, ,25.7,14.3,90,48,1.21,17.16
BRISBANE,10/05/2010,2.4,0.0, ,24.1,16.3,92,59,0.99,16.07
BRISBANE,11/05/2010,2.3,0.0, ,25.8,15.3,95,56,0.78,15.58
BRISBANE,12/05/2010,3.2,12.2, ,27.3,14.6,96,22,1.57,18.30
BRISBANE,13/05/2010,2.7,0.2, ,24.4,11.3,86,21,1.07,18.40
BRISBANE,14/05/2010,2.6,0.0, ,25.3,9.7,89,25,0.91,18.37
BRISBANE,15/05/2010,2.6,0.0, ,25.1,9.9,93,25,0.98,18.17
BRISBANE,16/05/2010,1.8,0.0, ,20.6,12.8,84,54,0.78,12.78
BRISBANE,17/05/2010,1.6,0.0, ,20.8,12.5,88,59,1.04,9.48
BRISBANE,18/05/2010,2.4,0.0, ,23.5,10.7,91,38,1.09,17.20
BRISBANE,19/05/2010,2.2,0.0, ,24.4,11.2,87,47,0.96,16.04
BRISBANE,20/05/2010,2.1,0.0, ,23.4,12.4,88,55,0.96,15.99
BRISBANE,21/05/2010,1.5,4.0, ,19.7,16.4,94,80,0.96,9.78
BRISBANE,22/05/2010,2.4,18.6, ,23.7,11.9,96,40,1.17,17.03
BRISBANE,23/05/2010,2.1,0.0, ,22.5,11.5,87,56,1.46,14.41
BRISBANE,24/05/2010,2.2,0.0, ,23.4,16.0,91,52,1.30,14.26
BRISBANE,25/05/2010,1.4,3.6, ,21.5,16.4,93,73,0.55,9.52
BRISBANE,26/05/2010,2.6,0.0, ,23.1,13.7,97,41,2.28,15.85
BRISBANE,27/05/2010,2.6,0.0, ,23.9,14.5,79,48,2.07,15.94
BRISBANE,28/05/2010,1.9,0.0, ,22.3,13.7,90,62,1.49,12.91
BRISBANE,29/05/2010,1.6,6.4, ,21.0,17.1,95,65,1.40,8.64
BRISBANE,30/05/2010,2.5,2.8, ,19.8,11.6,76,41,2.25,16.16
BRISBANE,31/05/2010,2.6,0.0, ,21.5,13.3,75,47,2.50,14.38
Totals:,,71.6,61.2, ,,,,,, 
