'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2010,,,,,,,,,,
Issued at 04:30 GMT on Sunday 01 August 2010,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2010,1.4,2.2, ,19.3,11.2,89,49,1.01,9.13
BRISBANE,02/07/2010,1.0,0.2, ,15.9,11.9,92,67,0.81,4.51
BRISBANE,03/07/2010,2.3,8.6, ,18.9,12.4,94,37,2.26,15.35
BRISBANE,04/07/2010,1.8,0.0, ,21.3,6.7,81,44,1.16,15.12
BRISBANE,05/07/2010,2.0,0.0, ,22.6,11.9,89,45,1.26,14.30
BRISBANE,06/07/2010,1.9,0.0, ,22.5,13.3,86,42,1.31,10.37
BRISBANE,07/07/2010,1.6,0.0, ,16.9,13.5,79,44,1.54,6.60
BRISBANE,08/07/2010,1.9,0.4, ,21.2,12.6,88,51,1.74,10.99
BRISBANE,09/07/2010,2.3,0.0, ,22.2,13.2,82,50,2.20,13.61
BRISBANE,10/07/2010,2.0,0.0, ,22.5,12.8,85,51,1.47,12.44
BRISBANE,11/07/2010,1.5,0.0, ,21.3,11.6,93,59,0.69,11.11
BRISBANE,12/07/2010,1.9,0.0, ,23.6,11.6,96,51,0.89,14.96
BRISBANE,13/07/2010,1.9,0.0, ,23.9,11.6,95,48,0.93,14.62
BRISBANE,14/07/2010,2.1,0.0, ,22.8,12.6,94,45,1.77,12.00
BRISBANE,15/07/2010,2.8,0.0, ,21.5,8.7,69,31,2.24,15.93
BRISBANE,16/07/2010,2.0,0.0, ,21.4,8.9,74,33,1.09,15.90
BRISBANE,17/07/2010,1.9,0.0, ,22.4,8.1,88,33,0.89,15.94
BRISBANE,18/07/2010,1.9,0.0, ,23.6,8.1,90,33,0.81,15.81
BRISBANE,19/07/2010,1.5,0.0, ,21.0,9.8,93,62,0.82,9.86
BRISBANE,20/07/2010,2.0,1.0, ,20.7,13.4,93,44,1.26,13.15
BRISBANE,21/07/2010,1.8,0.0, ,20.3,10.9,80,41,0.79,14.48
BRISBANE,22/07/2010,2.2,0.0, ,21.4,9.0,83,26,1.27,16.31
BRISBANE,23/07/2010,2.1,0.0, ,21.5,8.3,81,47,1.50,14.64
BRISBANE,24/07/2010,1.9,0.0, ,21.4,11.6,86,52,1.41,10.99
BRISBANE,25/07/2010,1.4,0.0, ,19.5,14.4,92,65,0.78,8.81
BRISBANE,26/07/2010,1.9,2.0, ,21.4,14.4,93,53,1.31,11.72
BRISBANE,27/07/2010,1.9,0.2, ,20.7,13.1,89,59,1.58,11.59
BRISBANE,28/07/2010,1.8,5.2, ,23.2,14.9,95,64,1.07,11.01
BRISBANE,29/07/2010,1.9,8.0, ,23.9,17.0,95,68,0.81,11.89
BRISBANE,30/07/2010, ,0.0, ,26.4,15.3,97,55,0.79, 
BRISBANE,31/07/2010, ,0.0, ,26.8,16.3,95,54,1.89, 
Totals:,,54.6,27.8, ,,,,,, 
