'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2010,,,,,,,,,,
Issued at 22:30 GMT on Saturday 01 January 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2010 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2010,3.3,3.8, ,25.5,21.5,93,69,1.81,15.30
BRISBANE,02/12/2010,3.8,58.6, ,26.9,19.5,93,63,1.72,17.63
BRISBANE,03/12/2010,3.1,1.2, ,24.9,20.2,91,69,1.70,14.32
BRISBANE,04/12/2010,3.0,0.2, ,24.3,21.3,93,70,1.91,13.70
BRISBANE,05/12/2010,4.6,50.6, ,26.1,19.6,95,72,1.56,24.47
BRISBANE,06/12/2010,3.9,0.8, ,26.4,20.3,93,69,1.64,19.47
BRISBANE,07/12/2010,5.1,8.4, ,28.3,20.9,93,66,1.85,25.91
BRISBANE,08/12/2010,5.6,5.4, ,27.9,21.1,94,61,2.23,28.36
BRISBANE,09/12/2010,5.8,0.0, ,28.9,21.6,88,59,1.85,28.69
BRISBANE,10/12/2010,6.2,0.0, ,30.4,21.7,89,52,1.99,29.91
BRISBANE,11/12/2010,4.3,0.0, ,30.7,24.1,94,58,1.81,18.03
BRISBANE,12/12/2010,3.3,80.4, ,27.2,20.4,92,71,0.75,16.00
BRISBANE,13/12/2010,5.6,1.6, ,30.2,22.0,92,55,1.51,27.14
BRISBANE,14/12/2010,5.5,0.0, ,29.1,20.8,90,60,1.85,27.31
BRISBANE,15/12/2010,6.4,0.2, ,32.1,20.5,89,48,1.32,31.61
BRISBANE,16/12/2010,4.9,0.6, ,31.3,19.9,93,56,1.43,22.80
BRISBANE,17/12/2010,5.4,47.6, ,30.6,19.2,93,56,1.45,26.70
BRISBANE,18/12/2010,5.0,0.0, ,30.4,21.4,86,43,1.08,23.64
BRISBANE,19/12/2010,3.0,9.8, ,24.2,21.3,94,61,0.84,13.95
BRISBANE,20/12/2010,6.7,57.4, ,28.1,17.3,95,24,3.04,31.82
BRISBANE,21/12/2010,5.6,0.0, ,27.7,14.7,86,36,1.66,28.98
BRISBANE,22/12/2010,2.1,0.0, ,23.1,17.8,91,66,1.13,8.69
BRISBANE,23/12/2010,4.1,12.8, ,29.1,19.2,94,64,1.51,19.30
BRISBANE,24/12/2010,3.4,0.2, ,27.7,21.8,94,68,2.33,14.42
BRISBANE,25/12/2010,2.5,36.2, ,26.2,21.9,95,80,0.65,11.45
BRISBANE,26/12/2010,1.9,8.8, ,24.2,21.8,95,81,0.72,8.14
BRISBANE,27/12/2010,1.7,60.2, ,26.6,21.6,95,88,0.62,6.93
BRISBANE,28/12/2010,2.6,34.0, ,25.1,21.1,93,65,2.59,8.84
BRISBANE,29/12/2010,4.9,1.0, ,27.5,20.4,82,55,2.14,22.50
BRISBANE,30/12/2010,6.0,0.0, ,30.4,19.4,86,51,1.89,29.18
BRISBANE,31/12/2010,6.3,0.0, ,29.5,20.4,86,50,2.15,30.91
Totals:,,135.6,479.8, ,,,,,, 
