'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 April 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2011,5.9,0.0, ,33.2,21.9,85,45,1.44,28.30
BRISBANE,02/03/2011,5.3,22.6, ,30.9,20.4,92,53,1.70,26.38
BRISBANE,03/03/2011,5.2,1.2, ,33.1,23.8,92,50,1.34,23.82
BRISBANE,04/03/2011,2.0,23.4, ,25.0,22.6,93,86,1.00,8.85
BRISBANE,05/03/2011,3.3,29.2, ,27.0,21.1,93,56,2.11,13.98
BRISBANE,06/03/2011,5.6,1.4, ,27.4,19.2,76,44,3.20,25.88
BRISBANE,07/03/2011,4.8,0.4, ,27.5,18.5,87,45,2.27,23.55
BRISBANE,08/03/2011,3.8,0.8, ,27.0,18.1,90,53,1.48,18.80
BRISBANE,09/03/2011,3.7,2.4, ,27.1,18.4,89,53,1.37,18.64
BRISBANE,10/03/2011,3.7,0.2, ,27.6,19.7,87,54,1.42,17.96
BRISBANE,11/03/2011,4.5,0.0, ,29.2,20.7,88,51,1.54,22.58
BRISBANE,12/03/2011,4.3,0.2, ,28.9,21.2,86,56,1.83,20.64
BRISBANE,13/03/2011,4.3,0.0, ,29.3,19.9,91,57,1.51,21.74
BRISBANE,14/03/2011, ,3.4, , ,19.8,100,53,1.23,23.73
BRISBANE,15/03/2011, , , ,29.6, ,90,49,1.35,23.03
BRISBANE,16/03/2011,4.5,0.0, ,30.4,21.3,89,53,1.17,22.86
BRISBANE,17/03/2011,3.8,0.0, ,29.4,21.8,89,57,1.02,18.53
BRISBANE,18/03/2011,2.6,0.0, ,28.7,21.8,85,61,0.72,11.93
BRISBANE,19/03/2011,1.6,1.4, ,23.9,22.3,94,80,1.21,6.49
BRISBANE,20/03/2011,2.6,32.6, ,27.2,20.3,94,78,1.21,12.41
BRISBANE,21/03/2011,3.8,1.2, ,31.1,22.2,89,61,0.95,18.38
BRISBANE,22/03/2011,5.3,0.0, ,34.5,23.1,93,39,1.45,24.57
BRISBANE,23/03/2011,5.0,0.0, ,32.4,19.6,85,38,1.53,24.73
BRISBANE,24/03/2011,5.2,0.0, ,30.9,20.7,77,30,1.59,25.48
BRISBANE,25/03/2011,4.8,0.0, ,29.9,16.3,80,33,1.57,25.23
BRISBANE,26/03/2011,4.7,0.0, ,28.7,19.1,72,46,2.16,22.79
BRISBANE,27/03/2011,4.1,0.0, ,27.0,19.4,76,50,2.44,18.50
BRISBANE,28/03/2011,3.6,0.0, ,26.8,18.1,90,53,1.75,18.48
BRISBANE,29/03/2011,3.3,6.0, ,26.6,19.2,90,51,1.67,15.83
BRISBANE,30/03/2011,1.8,6.8, ,22.9,20.1,93,76,1.02,8.31
BRISBANE,31/03/2011,3.2,16.0, ,27.6,19.3,92,60,1.02,16.89
Totals:,,116.3,149.2, ,,,,,, 
