'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2011,,,,,,,,,,
Issued at 22:34 GMT on Friday 01 July 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2011,1.5,0.0, ,19.9,11.2,92,58,0.77,11.74
BRISBANE,02/06/2011,2.2,0.0, ,24.0,12.5,91,51,1.59,14.54
BRISBANE,03/06/2011,2.1,0.0, ,23.9,13.4,92,42,1.04,15.60
BRISBANE,04/06/2011,1.9,0.0, ,24.3,10.5,93,34,0.66,15.93
BRISBANE,05/06/2011,1.5,0.0, ,22.8,11.1,93,49,0.55,12.00
BRISBANE,06/06/2011,1.8,0.0, ,25.8,10.6,95,38,0.61,15.25
BRISBANE,07/06/2011, ,0.0, , ,13.9,87,65,0.61,7.20
BRISBANE,08/06/2011,1.6, , ,18.1,13.3,84,47,1.23,9.52
BRISBANE,09/06/2011,2.0,0.0, ,12.6,12.2,55,38,2.19,6.62
BRISBANE,10/06/2011,2.0,0.0, ,20.4,6.8,80,33,1.22,15.52
BRISBANE,11/06/2011,1.1,0.0, ,15.5,9.5,93,60,0.89,6.80
BRISBANE,12/06/2011,1.4,3.8, ,18.8,12.1,94,72,1.52,9.85
BRISBANE,13/06/2011,2.2,0.2, ,22.5,12.5,86,53,1.87,14.82
BRISBANE,14/06/2011,1.9,0.0, ,20.1,9.6,93,53,2.06,13.53
BRISBANE,15/06/2011,1.5,0.0, ,20.1,8.4,96,52,0.57,14.39
BRISBANE,16/06/2011,1.9,0.0, ,22.0,7.7,93,48,1.47,14.45
BRISBANE,17/06/2011,2.3,0.0, ,21.7,8.0,97,39,2.11,14.91
BRISBANE,18/06/2011,2.8,0.0, ,20.3,8.5,68,33,2.70,15.35
BRISBANE,19/06/2011,1.7,0.0, ,20.1,7.7,92,40,0.86,15.36
BRISBANE,20/06/2011,1.5,0.0, ,20.9,5.9,94,38,0.51,15.31
BRISBANE,21/06/2011,1.8,0.0, ,22.8,6.1,96,38,0.87,15.16
BRISBANE,22/06/2011,2.3,0.0, ,18.5,8.2,85,29,2.04,15.57
BRISBANE,23/06/2011,1.7,0.0, ,20.5,6.0,92,33,0.76,15.51
BRISBANE,24/06/2011,1.7,0.0, ,23.1,7.7,87,45,0.91,14.56
BRISBANE,25/06/2011,2.0,0.2, ,22.5,12.3,90,45,1.47,14.25
BRISBANE,26/06/2011,1.8,0.0, ,22.7,13.0,89,50,1.13,13.02
BRISBANE,27/06/2011,1.5,0.0, ,22.6,12.5,92,47,0.71,10.32
BRISBANE,28/06/2011,2.0,0.0, ,22.4,12.0,86,51,1.65,13.19
BRISBANE,29/06/2011,1.6,0.0, ,19.3,13.8,91,67,1.81,11.09
BRISBANE,30/06/2011,2.0,6.4, ,20.8,12.3,91,49,1.79,13.10
Totals:,,53.3,10.6, ,,,,,, 
