'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2011,,,,,,,,,,
Issued at 22:34 GMT on Thursday 01 September 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2011,2.1,0.0, ,23.0,8.8,94,36,0.77,16.12
BRISBANE,02/08/2011,2.2,0.0, ,23.2,9.8,95,42,0.90,16.29
BRISBANE,03/08/2011,2.2,0.0, ,22.9,9.7,93,36,0.97,14.73
BRISBANE,04/08/2011, ,0.0, ,21.9,9.1,93,46,1.08, 
BRISBANE,05/08/2011,2.0,0.0, ,21.7,10.3,91,51,1.31,11.88
BRISBANE,06/08/2011,2.2,0.0, ,23.5,9.5,94,42,0.92,14.99
BRISBANE,07/08/2011,2.3,0.0, ,24.8,13.9,89,38,1.00,13.45
BRISBANE,08/08/2011,3.0,0.0, ,23.9,12.9,94,20,1.88,16.03
BRISBANE,09/08/2011,2.6,0.0, ,22.1,5.3,84,24,1.39,16.91
BRISBANE,10/08/2011,2.6,0.0, ,22.8,5.6,90,24,1.27,17.43
BRISBANE,11/08/2011,2.2,0.0, ,21.0,9.7,78,35,0.99,14.15
BRISBANE,12/08/2011,2.6,0.0, ,22.7,9.2,84,24,1.11,17.48
BRISBANE,13/08/2011,2.3,0.0, ,22.5,9.1,90,47,1.25,13.99
BRISBANE,14/08/2011,2.1,0.0, ,22.4,11.0,90,44,0.89,13.51
BRISBANE,15/08/2011,2.4,2.2, ,22.5,9.5,93,39,0.99,16.70
BRISBANE,16/08/2011,2.5,0.0, ,23.6,10.5,92,42,1.01,16.21
BRISBANE,17/08/2011,1.9,0.0, ,21.8,11.4,94,49,1.17,9.53
BRISBANE,18/08/2011,2.7,0.0, ,21.8,13.8,90,29,1.93,11.62
BRISBANE,19/08/2011,2.8,0.0, ,21.4,6.0,88,33,1.58,18.83
BRISBANE,20/08/2011,2.7,0.0, ,22.2,8.7,81,44,1.54,16.50
BRISBANE,21/08/2011,2.5,3.0, ,21.5,12.1,92,43,2.15,11.25
BRISBANE,22/08/2011,2.9,8.0, ,21.2,12.4,90,49,2.95,14.51
BRISBANE,23/08/2011,2.1,15.2, ,21.6,13.9,94,67,2.05,11.06
BRISBANE,24/08/2011,2.3,6.8, ,22.3,13.4,92,54,1.97,10.88
BRISBANE,25/08/2011,2.4,0.0, ,23.0,14.2,94,60,1.43,13.74
BRISBANE,26/08/2011,1.9,0.0, ,22.1,13.2,94,64,1.19,10.44
BRISBANE,27/08/2011,1.3,5.2, ,20.3,16.1,95,88,1.22,6.11
BRISBANE,28/08/2011,3.0,23.6, ,24.9,15.4,94,47,1.23,17.88
BRISBANE,29/08/2011,3.1,0.0, ,25.4,13.7,94,46,1.02,19.82
BRISBANE,30/08/2011,1.8,0.0, ,22.5,15.9,92,57,0.97,8.04
BRISBANE,31/08/2011,3.1,12.8, ,24.2,12.5,93,47,1.14,20.04
Totals:,,71.8,76.8, ,,,,,, 
