'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2011,3.0,0.0, ,23.9,12.8,93,43,1.03,19.29
BRISBANE,02/09/2011,3.3,0.0, ,23.8,13.1,93,41,1.71,19.60
BRISBANE,03/09/2011,3.5,0.0, ,22.1,11.8,83,29,2.02,19.00
BRISBANE,04/09/2011,2.7,0.0, ,21.6,12.6,85,51,1.45,15.64
BRISBANE,05/09/2011,3.0,0.4, ,22.5,13.4,92,40,1.69,16.42
BRISBANE,06/09/2011,2.9,0.2, ,23.5,12.2,91,51,1.36,16.92
BRISBANE,07/09/2011,3.3,0.0, ,25.3,12.6,95,43,1.11,20.72
BRISBANE,08/09/2011,3.4,0.0, ,25.2,12.7,94,44,1.13,21.49
BRISBANE,09/09/2011,2.1,0.0, ,22.7,15.2,88,59,2.27,7.16
BRISBANE,10/09/2011,4.6,14.6, ,19.6,10.7,62,26,3.95,22.98
BRISBANE,11/09/2011,4.0,0.0, ,22.9,7.0,78,23,1.96,23.39
BRISBANE,12/09/2011,2.9,0.0, ,21.6,8.8,77,30,1.14,17.51
BRISBANE,13/09/2011,2.9,0.0, ,22.2,11.4,89,47,1.20,17.92
BRISBANE,14/09/2011,3.8,0.0, ,26.2,9.7,90,29,1.22,23.37
BRISBANE,15/09/2011,4.0,0.0, ,27.7,10.2,89,16,1.17,23.84
BRISBANE,16/09/2011,4.1,0.0, ,29.4,10.3,71,18,1.11,23.81
BRISBANE,17/09/2011,4.0,0.0, ,31.6,11.2,74,16,0.86,23.56
BRISBANE,18/09/2011,4.3,0.0, ,32.3,13.9,77,18,1.01,23.19
BRISBANE,19/09/2011,4.3,0.0, ,30.6,13.9,89,19,1.18,23.27
BRISBANE,20/09/2011,4.2,0.0, ,26.3,13.6,95,29,1.49,23.96
BRISBANE,21/09/2011,4.0,0.0, ,25.1,15.8,90,45,1.95,21.73
BRISBANE,22/09/2011,4.0,0.0, ,24.7,14.2,86,43,1.46,23.09
BRISBANE,23/09/2011,4.0,0.0, ,25.7,12.3,89,46,1.23,24.16
BRISBANE,24/09/2011,4.0,0.0, ,26.4,14.8,91,49,1.40,22.57
BRISBANE,25/09/2011,4.2,0.2, ,26.1,17.5,91,47,1.72,22.62
BRISBANE,26/09/2011,3.3,0.0, ,23.8,13.5,82,45,1.59,16.83
BRISBANE,27/09/2011,3.6,0.0, ,23.3,13.1,84,41,1.50,20.02
BRISBANE,28/09/2011,2.9,0.0, ,22.6,12.4,88,51,1.09,16.22
BRISBANE,29/09/2011,2.3,0.0, ,22.1,16.9,86,49,1.73,7.88
BRISBANE,30/09/2011,4.9,3.2, ,26.3,9.9,85,21,1.96,26.47
Totals:,,107.5,18.6, ,,,,,, 
