'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2011,,,,,,,,,,
Issued at 22:34 GMT on Tuesday 01 November 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2011,4.8,0.0, ,27.4,12.0,84,19,2.27,21.20
BRISBANE,02/10/2011,5.4,0.0, ,22.5,12.4,59,29,3.80,25.38
BRISBANE,03/10/2011,3.2,0.0, ,22.6,13.3,93,39,1.79,15.72
BRISBANE,04/10/2011,4.7,6.0, ,24.7,10.6,93,25,1.82,26.92
BRISBANE,05/10/2011,3.4,0.2, ,22.6,12.2,86,50,1.02,20.74
BRISBANE,06/10/2011,1.4,3.8, ,21.3,14.3,92,69,0.37,6.05
BRISBANE,07/10/2011,3.6,5.4, ,26.3,15.9,93,51,0.96,19.27
BRISBANE,08/10/2011,2.6,14.6, ,24.7,15.5,94,46,1.13,11.26
BRISBANE,09/10/2011,4.5,1.4, ,29.1,12.7,95,27,1.03,24.86
BRISBANE,10/10/2011,3.0,0.0, ,25.8,14.8,79,35,0.93,13.87
BRISBANE,11/10/2011,4.9,0.0, ,27.7,14.2,84,41,1.43,27.01
BRISBANE,12/10/2011,4.4,0.0, ,27.6,15.7,90,52,1.44,23.32
BRISBANE,13/10/2011,3.6,0.0, ,27.3,18.5,93,56,1.72,16.81
BRISBANE,14/10/2011,3.9,30.8, ,26.9,17.1,92,56,1.23,20.60
BRISBANE,15/10/2011,4.1,13.8, ,27.5,19.4,94,53,1.10,20.98
BRISBANE,16/10/2011,5.0,6.2, ,29.3,15.2,95,42,1.09,27.67
BRISBANE,17/10/2011,3.2,0.6, ,22.5,19.7,82,52,2.77,11.34
BRISBANE,18/10/2011,4.8,0.4, ,23.8,16.9,73,39,2.67,23.09
BRISBANE,19/10/2011,3.9,0.0, ,23.2,15.9,78,47,2.29,18.10
BRISBANE,20/10/2011,3.8,0.0, ,24.0,15.3,77,44,1.61,18.97
BRISBANE,21/10/2011,4.3,0.0, ,25.6,16.1,88,46,1.78,21.86
BRISBANE,22/10/2011,3.6,0.0, ,25.2,15.6,89,55,1.82,17.34
BRISBANE,23/10/2011,3.9,0.0, ,25.1,15.3,92,51,1.57,20.37
BRISBANE,24/10/2011,4.9,0.0, ,26.4,14.4,90,44,1.58,27.15
BRISBANE,25/10/2011,5.3,0.0, ,28.3,16.2,92,47,1.66,28.36
BRISBANE,26/10/2011,3.2,0.0, ,27.4,20.3,90,58,1.83,13.38
BRISBANE,27/10/2011,3.3,6.2, ,25.7,16.8,92,60,2.10,15.11
BRISBANE,28/10/2011,2.7,0.0, ,23.9,19.3,81,60,1.80,10.59
BRISBANE,29/10/2011,3.6,0.0, ,26.4,19.8,82,56,1.20,16.79
BRISBANE,30/10/2011,4.1,0.0, ,27.8,18.2,94,60,1.49,20.75
BRISBANE,31/10/2011,3.0,28.4, ,25.6,20.3,93,59,2.94,10.40
Totals:,,120.1,117.8, ,,,,,, 
