'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2011,,,,,,,,,,
Issued at 22:34 GMT on Sunday 01 January 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2011,3.8,0.0, ,28.3,21.9,94,60,1.63,16.68
BRISBANE,02/12/2011,4.3,13.0, ,24.9,16.7,84,51,2.07,20.45
BRISBANE,03/12/2011,5.7,0.0, ,27.1,15.8,82,42,1.95,29.42
BRISBANE,04/12/2011,4.9,0.0, ,27.9,16.4,88,48,1.24,25.43
BRISBANE,05/12/2011,4.6,0.0, ,25.6,19.4,83,52,2.73,20.95
BRISBANE,06/12/2011,4.1,0.0, ,23.6,17.9,75,54,2.58,18.34
BRISBANE,07/12/2011,2.3,5.8, ,19.9,16.8,98,72,1.03,11.87
BRISBANE,08/12/2011,4.1,36.0, ,25.4,17.3,98,66,1.67,21.92
BRISBANE,09/12/2011,5.3,2.4, ,27.5,16.9,91,51,1.75,27.59
BRISBANE,10/12/2011,3.5,19.4, ,26.9,18.7,98,74,1.15,17.55
BRISBANE,11/12/2011,4.7,1.6, ,30.4,18.5,98,62,0.78,23.78
BRISBANE,12/12/2011,6.2,10.0, ,32.9,21.3,98,37,1.81,28.00
BRISBANE,13/12/2011,6.5,0.0, ,31.1,18.4,94,37,1.81,31.95
BRISBANE,14/12/2011, ,2.0, ,28.4,19.2,92,55,2.05, 
BRISBANE,15/12/2011,3.6,1.2, ,24.6,18.5,96,66,1.84,18.04
BRISBANE,16/12/2011,4.4,0.2, ,25.7,19.6,82,53,2.01,20.74
BRISBANE,17/12/2011,5.9,0.0, ,27.1,17.3,84,44,2.30,29.96
BRISBANE,18/12/2011,4.5,0.0, ,25.5,16.8,80,53,1.71,22.70
BRISBANE,19/12/2011,5.3,0.0, ,27.0,17.6,84,48,1.41,27.50
BRISBANE,20/12/2011,6.1,0.0, ,29.1,19.1,81,47,1.69,31.15
BRISBANE,21/12/2011,5.0,0.0, ,27.9,21.7,89,49,1.78,23.72
BRISBANE,22/12/2011,5.7,3.4, ,28.2,19.0,96,50,2.27,28.37
BRISBANE,23/12/2011,4.3,0.4, ,27.6,20.6,98,57,1.82,20.26
BRISBANE,24/12/2011,4.6,29.6, ,27.6,20.4,98,62,2.37,22.17
BRISBANE,25/12/2011,6.1,1.8, ,28.9,19.4,96,50,2.64,30.26
BRISBANE,26/12/2011,6.8,0.0, ,31.5,18.7,84,39,1.75,33.45
BRISBANE,27/12/2011,3.2,0.0, ,32.5,21.4,96,48,1.17,11.46
BRISBANE,28/12/2011,4.5,5.4, ,28.9,18.5,98,52,1.55,21.32
BRISBANE,29/12/2011,4.4,0.0, ,28.1,19.7,82,50,1.89,18.92
BRISBANE,30/12/2011,5.1,0.0, ,28.4,20.2,90,47,2.24,22.88
BRISBANE,31/12/2011,3.6,0.2, ,25.9,18.8,90,58,1.73,16.12
Totals:,,143.1,132.4, ,,,,,, 
