'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2012,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 June 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2012,2.2,0.0, ,23.7,15.1,98,61,1.64,12.56
BRISBANE,02/05/2012,2.4,4.2, ,24.3,17.1,98,56,1.24,14.01
BRISBANE,03/05/2012,2.1,0.0, ,25.0,16.1,98,61,1.00,12.75
BRISBANE,04/05/2012,2.3,7.8, ,24.8,16.8,98,61,0.95,14.02
BRISBANE,05/05/2012,2.6,0.0, ,25.2,14.8,93,39,1.20,16.41
BRISBANE,06/05/2012,2.3,0.0, ,24.7,10.6,92,27,0.78,16.82
BRISBANE,07/05/2012,2.2,0.0, ,25.4,11.2,92,38,0.66,16.27
BRISBANE,08/05/2012,2.3,0.0, ,26.3,11.8,95,34,0.85,15.44
BRISBANE,09/05/2012,2.3,0.0, ,26.1,12.8,97,37,0.83,15.30
BRISBANE,10/05/2012,2.3,0.0, ,26.7,13.1,98,40,0.84,15.19
BRISBANE,11/05/2012,2.2,0.0, ,25.8,13.4,98,50,0.81,15.07
BRISBANE,12/05/2012,2.2,0.0, ,27.2,13.4,98,35,0.73,14.85
BRISBANE,13/05/2012,3.1,0.0, ,25.8,12.8,96,29,2.17,14.84
BRISBANE,14/05/2012,2.2,0.0, ,21.4,10.0,77,30,1.17,14.73
BRISBANE,15/05/2012,2.2,0.0, ,23.4,8.1,84,38,1.18,14.63
BRISBANE,16/05/2012,2.1,0.0, ,24.3,10.2,88,36,0.98,14.48
BRISBANE,17/05/2012,2.0,0.0, ,24.9,10.9,96,49,0.96,12.73
BRISBANE,18/05/2012,2.0,0.0, ,24.1,11.9,97,45,1.01,12.58
BRISBANE,19/05/2012,2.1,0.0, ,24.4,10.8,98,36,0.98,14.21
BRISBANE,20/05/2012,1.9,0.0, ,24.0,11.3,98,44,0.86,12.89
BRISBANE,21/05/2012,1.6,0.0, ,22.9,11.7,95,61,0.88,9.96
BRISBANE,22/05/2012,2.0,0.0, ,24.8,13.7,98,49,0.77,13.94
BRISBANE,23/05/2012,1.6,0.0, ,23.7,13.0,98,57,0.88,9.79
BRISBANE,24/05/2012,1.6,0.0, ,23.8,14.1,98,59,0.98,9.29
BRISBANE,25/05/2012,1.0,0.4, ,19.8,17.7,98,74,1.21,3.15
BRISBANE,26/05/2012,2.4,10.6, ,19.7,11.3,78,43,2.35,13.45
BRISBANE,27/05/2012,1.8,0.2, ,22.6,8.4,94,43,0.96,13.21
BRISBANE,28/05/2012,1.9,0.0, ,22.7,10.2,91,51,1.40,12.41
BRISBANE,29/05/2012,2.0,0.0, ,22.5,13.3,88,56,1.88,10.10
BRISBANE,30/05/2012,2.0,0.0, ,22.9,13.2,94,54,1.66,12.77
BRISBANE,31/05/2012,1.6,13.2, ,21.0,14.7,98,68,1.66,9.91
Totals:,,64.5,36.4, ,,,,,, 
