'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2012,,,,,,,,,,
Issued at 22:38 GMT on Sunday 01 July 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2012,1.3,6.0, ,22.0,13.7,98,76,1.34,7.46
BRISBANE,02/06/2012,1.1,13.0, ,22.4,15.2,98,74,0.99,5.31
BRISBANE,03/06/2012,1.2,26.4, ,22.9,16.4,98,73,0.69,6.14
BRISBANE,04/06/2012,2.3,0.2, ,22.4,13.8,98,47,2.33,12.93
BRISBANE,05/06/2012,2.9,0.0, ,17.9,12.1,70,40,3.92,12.97
BRISBANE,06/06/2012,2.5,0.0, ,22.0,10.7,72,41,2.28,12.94
BRISBANE,07/06/2012,1.8,0.0, ,21.1,12.1,86,51,1.53,10.51
BRISBANE,08/06/2012,1.6,0.0, ,20.7,11.0,92,55,1.48,9.36
BRISBANE,09/06/2012,1.6,0.0, ,20.3,12.7,89,61,1.51,10.50
BRISBANE,10/06/2012,1.1,7.0, ,17.9,12.8,98,78,1.18,6.26
BRISBANE,11/06/2012,1.4,5.2, ,19.0,13.2,96,73,2.50,7.01
BRISBANE,12/06/2012,2.1,1.6, ,21.9,14.0,80,55,2.19,11.40
BRISBANE,13/06/2012,2.0,0.4, ,22.7,13.5,83,51,1.57,12.15
BRISBANE,14/06/2012,1.8,0.2, ,23.3,12.7,97,51,1.10,12.11
BRISBANE,15/06/2012,1.6,0.0, ,23.5,10.2,98,44,0.69,12.71
BRISBANE,16/06/2012,1.8,0.0, ,23.8,10.1,98,44,1.11,12.71
BRISBANE,17/06/2012,2.0,0.0, ,23.4,13.2,98,33,1.31,12.68
BRISBANE,18/06/2012,1.6,0.0, ,21.2,9.2,96,40,0.87,12.69
BRISBANE,19/06/2012,1.7,0.0, ,21.8,8.4,97,39,1.09,12.70
BRISBANE,20/06/2012,1.6,0.0, ,22.6,8.5,98,47,0.86,12.64
BRISBANE,21/06/2012,1.5,0.0, ,22.9,8.2,98,36,0.60,12.55
BRISBANE,22/06/2012,1.9,0.0, ,24.8,10.5,92,41,1.21,12.14
BRISBANE,23/06/2012,1.6,0.0, ,19.1,12.9,83,37,1.22,7.33
BRISBANE,24/06/2012,1.7,0.0, ,19.6,11.8,75,50,1.44,8.41
BRISBANE,25/06/2012,1.1,0.2, ,17.4,13.4,81,60,0.85,4.68
BRISBANE,26/06/2012,0.9,0.0, ,16.1,13.3,98,75,0.94,3.47
BRISBANE,27/06/2012,0.6,27.2, ,15.1,11.9,98,96,1.64,2.12
BRISBANE,28/06/2012,1.2,21.4, ,19.0,12.6,98,83,1.81,7.97
BRISBANE,29/06/2012,1.8,13.2, ,23.3,14.7,98,61,1.37,12.81
BRISBANE,30/06/2012,1.6,0.0, ,23.0,11.6,98,43,0.71,12.89
Totals:,,48.9,122, ,,,,,, 
