'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2012,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 August 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2012,1.7,0.0, ,23.4,9.8,98,47,1.01,12.68
BRISBANE,02/07/2012,2.1,0.0, ,19.6,6.5,76,34,1.69,12.99
BRISBANE,03/07/2012,1.5,0.0, ,19.5,6.0,90,37,0.75,13.03
BRISBANE,04/07/2012,1.6,0.0, ,19.3,6.8,91,35,0.95,13.08
BRISBANE,05/07/2012,1.9,0.0, ,22.0,7.1,81,42,1.21,13.13
BRISBANE,06/07/2012,2.0,0.0, ,20.4,9.9,85,49,1.88,12.53
BRISBANE,07/07/2012,1.9,0.0, ,21.4,10.7,90,48,1.70,10.69
BRISBANE,08/07/2012,1.7,0.0, ,21.3,10.7,92,53,1.31,11.52
BRISBANE,09/07/2012,1.4,0.0, ,21.0,11.4,96,60,1.12,8.56
BRISBANE,10/07/2012,1.0,4.2, ,18.7,12.3,98,75,0.62,4.99
BRISBANE,11/07/2012,1.3,4.4, ,21.5,14.8,98,77,0.55,8.34
BRISBANE,12/07/2012, ,0.6, , ,15.8,98,84,0.67,5.48
BRISBANE,13/07/2012, ,19.2, ,22.9, ,98,82,0.81,7.32
BRISBANE,14/07/2012,1.8,12.0, ,24.5,17.8,98,50,1.00,9.69
BRISBANE,15/07/2012,2.0,0.4, ,21.1,15.7,89,39,1.56,9.42
BRISBANE,16/07/2012,2.0,0.2, ,21.3,8.5,83,49,1.50,13.58
BRISBANE,17/07/2012,1.7,2.0, ,21.4,12.0,98,58,1.38,10.16
BRISBANE,18/07/2012,1.4,0.6, ,20.8,13.2,98,59,0.80,8.85
BRISBANE,19/07/2012,2.0,7.4, ,22.2,13.9,98,45,1.40,12.46
BRISBANE,20/07/2012,2.2,0.2, ,21.9,9.8,79,46,1.48,14.28
BRISBANE,21/07/2012,2.0,0.0, ,22.0,12.7,76,53,1.63,10.93
BRISBANE,22/07/2012,2.1,0.0, ,21.2,12.4,78,51,1.60,12.44
BRISBANE,23/07/2012,2.1,0.0, ,21.5,10.9,85,48,1.63,13.36
BRISBANE,24/07/2012,2.2,0.0, ,22.1,11.2,86,42,1.48,13.32
BRISBANE,25/07/2012,1.9,0.0, ,21.3,10.5,92,54,1.27,12.67
BRISBANE,26/07/2012,1.9,0.0, ,22.0,12.8,98,51,0.91,13.22
BRISBANE,27/07/2012,2.2,0.0, ,22.6,10.3,98,42,1.52,13.44
BRISBANE,28/07/2012,2.5,0.0, ,19.8,7.7,80,39,2.11,14.86
BRISBANE,29/07/2012,1.9,0.0, ,20.4,6.6,89,35,0.78,15.12
BRISBANE,30/07/2012,2.1,0.0, ,21.6,7.9,89,31,1.00,15.35
BRISBANE,31/07/2012,2.2,0.0, ,21.4,8.5,90,36,1.16,15.11
Totals:,,54.3,51.2, ,,,,,, 
