'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2012,,,,,,,,,,
Issued at 22:38 GMT on Monday 01 October 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2012,3.3,0.0, ,22.2,9.3,71,22,1.49,19.99
BRISBANE,02/09/2012,3.0,0.0, ,22.4,7.3,88,27,1.07,20.17
BRISBANE,03/09/2012,3.2,0.0, ,24.6,8.6,93,22,1.00,20.30
BRISBANE,04/09/2012,3.3,0.0, ,24.6,10.2,90,37,1.23,20.26
BRISBANE,05/09/2012,3.4,0.0, ,23.7,11.1,94,37,1.54,20.49
BRISBANE,06/09/2012,4.2,0.0, ,27.3,14.6,78,31,2.01,20.90
BRISBANE,07/09/2012,3.9,0.0, ,27.4,15.6,88,27,1.50,20.38
BRISBANE,08/09/2012,4.8,0.0, ,27.1,12.1,49,15,2.35,20.93
BRISBANE,09/09/2012,3.6,0.0, ,24.5,12.3,74,31,1.82,18.05
BRISBANE,10/09/2012,3.2,0.0, ,23.3,16.0,84,41,1.42,17.26
BRISBANE,11/09/2012,3.4,0.0, ,25.0,12.4,91,38,1.14,20.16
BRISBANE,12/09/2012,3.7,0.0, ,25.6,13.1,95,35,1.34,21.48
BRISBANE,13/09/2012,3.8,0.0, ,25.3,14.0,93,51,1.87,21.59
BRISBANE,14/09/2012,4.2,0.0, ,23.2,13.0,74,24,2.11,22.06
BRISBANE,15/09/2012,3.3,0.0, ,23.4,10.9,84,41,1.50,18.98
BRISBANE,16/09/2012,3.4,0.0, ,23.5,11.1,93,44,1.30,21.25
BRISBANE,17/09/2012,3.1,0.0, ,23.6,13.3,94,47,1.36,17.01
BRISBANE,18/09/2012,2.4,0.2, ,21.1,15.0,93,64,1.52,13.22
BRISBANE,19/09/2012,4.0,1.2, ,27.6,13.2,97,43,1.46,22.28
BRISBANE,20/09/2012,4.2,0.2, ,28.4,14.8,97,25,1.23,22.95
BRISBANE,21/09/2012,2.6,0.0, ,26.2,15.1,99,57,0.76,13.62
BRISBANE,22/09/2012,4.1,0.2, ,29.9,13.8,98,44,1.43,21.25
BRISBANE,23/09/2012,4.6,0.0, ,30.8,16.4,93,27,1.32,23.72
BRISBANE,24/09/2012,3.9,0.0, ,30.6,18.2,95,46,1.27,18.66
BRISBANE,25/09/2012,3.9,0.6, ,25.6,15.9,89,47,2.14,19.59
BRISBANE,26/09/2012,3.4,0.0, ,24.7,15.3,84,42,1.48,16.98
BRISBANE,27/09/2012,3.9,0.0, ,26.1,14.2,83,42,1.31,21.39
BRISBANE,28/09/2012,3.8,0.0, ,25.5,13.8,92,53,1.85,20.77
BRISBANE,29/09/2012,4.4,0.0, ,29.3,14.9,79,36,1.94,19.58
BRISBANE,30/09/2012,2.3,3.2, ,23.8,17.8,93,52,1.05,10.33
Totals:,,108.3,5.6, ,,,,,, 
