'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2012,,,,,,,,,,
Issued at 22:38 GMT on Thursday 01 November 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2012,2.0,0.6, ,21.9,15.2,91,57,1.48,7.06
BRISBANE,02/10/2012,3.9,0.0, ,24.5,14.7,80,42,2.36,17.79
BRISBANE,03/10/2012,4.0,0.0, ,25.1,14.2,88,41,1.47,21.48
BRISBANE,04/10/2012,4.6,0.0, ,27.9,12.6,96,36,1.44,25.61
BRISBANE,05/10/2012,4.6,0.0, ,29.0,12.9,97,43,1.20,25.71
BRISBANE,06/10/2012,5.0,0.0, ,30.9,14.3,98,33,1.38,25.89
BRISBANE,07/10/2012,5.4,0.0, ,31.6,15.2,95,35,2.16,25.55
BRISBANE,08/10/2012,2.9,0.0, ,24.8,18.1,79,56,1.93,11.41
BRISBANE,09/10/2012,5.4,0.0, ,31.2,16.6,88,19,1.74,25.66
BRISBANE,10/10/2012,4.6,0.0, ,28.3,17.2,81,54,1.96,23.14
BRISBANE,11/10/2012,1.6,0.6, ,24.2,20.9,94,69,1.88,4.10
BRISBANE,12/10/2012,4.8,11.6, ,20.0,12.7,94,29,4.06,25.68
BRISBANE,13/10/2012,4.5,0.0, ,25.4,8.8,76,22,1.22,26.83
BRISBANE,14/10/2012,5.2,0.0, ,27.9,11.3,77,22,1.73,26.93
BRISBANE,15/10/2012,4.4,0.0, ,25.0,14.0,85,43,1.43,24.43
BRISBANE,16/10/2012,4.8,0.0, ,26.2,13.9,90,45,1.58,27.12
BRISBANE,17/10/2012,5.1,0.0, ,28.7,13.9,87,37,1.50,27.32
BRISBANE,18/10/2012,4.9,0.0, ,28.6,16.5,94,49,1.79,25.23
BRISBANE,19/10/2012,5.4,0.4, ,27.2,19.4,87,50,2.06,28.40
BRISBANE,20/10/2012,5.4,0.0, ,30.2,16.7,95,47,1.55,28.48
BRISBANE,21/10/2012,5.6,0.0, ,31.6,16.3,96,38,1.43,28.66
BRISBANE,22/10/2012,6.2,0.0, ,33.2,20.6,88,33,1.89,28.30
BRISBANE,23/10/2012,5.2,0.0, ,24.8,15.3,62,32,2.58,24.33
BRISBANE,24/10/2012,5.6,0.0, ,25.7,14.8,73,34,2.54,28.38
BRISBANE,25/10/2012,5.2,0.0, ,26.5,13.7,78,37,1.66,28.45
BRISBANE,26/10/2012,5.6,0.0, ,31.3,13.7,93,36,1.37,29.41
BRISBANE,27/10/2012,5.8,0.0, ,29.6,18.9,92,44,2.47,27.71
BRISBANE,28/10/2012,3.9,8.2, ,23.4,18.1,82,47,2.81,16.69
BRISBANE,29/10/2012,4.5,0.0, ,25.6,16.0,81,41,1.85,21.80
BRISBANE,30/10/2012,4.4,0.0, ,25.7,14.8,87,52,1.23,24.77
BRISBANE,31/10/2012,5.0,0.0, ,29.2,16.8,92,44,1.22,26.22
Totals:,,145.5,21.4, ,,,,,, 
