'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2012,,,,,,,,,,
Issued at 22:38 GMT on Saturday 01 December 2012,,,,,,,,,,
© Copyright Commonwealth of Australia 2012 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2012,5.6,0.4, ,29.6,15.8,96,54,1.65,30.15
BRISBANE,02/11/2012,5.9,0.0, ,29.4,18.6,95,45,2.91,28.20
BRISBANE,03/11/2012,5.0,0.0, ,26.5,19.4,72,46,2.51,22.55
BRISBANE,04/11/2012,4.6,0.6, ,26.3,17.6,91,48,1.33,24.20
BRISBANE,05/11/2012,5.1,0.2, ,27.1,15.6,92,51,1.54,28.25
BRISBANE,06/11/2012,5.3,0.0, ,27.0,15.5,91,49,1.72,28.76
BRISBANE,07/11/2012,5.0,0.0, ,28.0,15.7,90,45,1.59,26.12
BRISBANE,08/11/2012,5.3,0.0, ,28.0,19.8,91,58,2.06,27.44
BRISBANE,09/11/2012,5.0,0.0, ,29.3,21.5,92,56,1.99,23.61
BRISBANE,10/11/2012,2.9,8.0, ,22.4,20.4,94,87,0.78,15.16
BRISBANE,11/11/2012,5.1,22.0, ,25.8,16.9,94,34,3.10,22.63
BRISBANE,12/11/2012,5.0,0.0, ,25.8,15.3,83,44,1.94,26.42
BRISBANE,13/11/2012,5.5,0.0, ,26.8,14.1,92,42,1.41,31.49
BRISBANE,14/11/2012,5.7,0.0, ,27.9,14.8,92,45,1.68,31.54
BRISBANE,15/11/2012,6.1,0.0, ,28.5,17.8,86,47,2.06,31.60
BRISBANE,16/11/2012,6.5,0.0, ,31.1,17.9,83,34,2.17,30.97
BRISBANE,17/11/2012,4.5,0.0, ,27.2,22.4,97,61,2.21,21.47
BRISBANE,18/11/2012,3.8,64.0, ,26.1,17.5,96,74,1.13,20.15
BRISBANE,19/11/2012,7.2,16.6, ,34.4,17.6,98,20,2.14,31.95
BRISBANE,20/11/2012,6.1,0.0, ,28.1,18.2,71,33,1.57,31.89
BRISBANE,21/11/2012,5.6,0.0, ,28.1,17.7,84,49,1.95,28.57
BRISBANE,22/11/2012,5.7,0.0, ,28.9,18.1,91,51,1.51,30.05
BRISBANE,23/11/2012,6.0,0.0, ,28.1,22.4,74,52,1.99,29.21
BRISBANE,24/11/2012,5.4,0.0, ,27.7,19.1,86,50,2.03,27.21
BRISBANE,25/11/2012,5.8,0.0, ,28.1,19.8,79,49,2.02,28.52
BRISBANE,26/11/2012,5.9,0.0, ,28.8,21.2,78,41,1.62,29.19
BRISBANE,27/11/2012,5.9,0.0, ,29.4,19.0,89,44,1.66,29.89
BRISBANE,28/11/2012,6.0,0.0, ,30.3,20.7,89,50,1.26,30.36
BRISBANE,29/11/2012,6.0,5.0, ,29.9,20.5,95,49,1.32,30.42
BRISBANE,30/11/2012,6.6,0.0, ,30.6,20.0,89,44,1.71,32.83
Totals:,,164.1,116.8, ,,,,,, 
