'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2013,,,,,,,,,,
Issued at 22:38 GMT on Friday 01 February 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2013,6.1,0.0, ,30.1,20.1,86,50,1.64,30.59
BRISBANE,02/01/2013,6.9,0.0, ,34.8,21.4,89,32,1.70,30.82
BRISBANE,03/01/2013,6.9,0.0, ,30.7,23.5,74,46,3.39,29.26
BRISBANE,04/01/2013,6.1,0.0, ,29.8,21.6,77,44,2.62,26.85
BRISBANE,05/01/2013,4.3,0.0, ,28.5,21.7,80,57,2.05,18.21
BRISBANE,06/01/2013,4.6,2.0, ,29.2,21.1,90,51,1.98,20.15
BRISBANE,07/01/2013,5.3,0.2, ,30.5,19.8,86,42,2.47,22.03
BRISBANE,08/01/2013,6.0,0.0, ,30.3,20.4,90,46,1.90,29.17
BRISBANE,09/01/2013,6.9,0.0, ,33.3,21.6,83,44,2.41,30.36
BRISBANE,10/01/2013,6.6,0.0, ,31.7,23.5,82,54,2.34,30.07
BRISBANE,11/01/2013,6.6,0.0, ,33.4,25.8,85,46,2.64,27.34
BRISBANE,12/01/2013,7.1,0.0, ,34.2,26.1,81,50,2.38,30.19
BRISBANE,13/01/2013,6.9,0.0, ,33.9,24.6,84,52,2.37,30.36
BRISBANE,14/01/2013,4.3,0.0, ,32.1,24.2,78,47,2.74,12.23
BRISBANE,15/01/2013,5.3,0.0, ,29.4,21.9,76,42,2.98,19.24
BRISBANE,16/01/2013,5.3,0.0, ,29.9,19.9,83,48,1.69,24.57
BRISBANE,17/01/2013,6.1,0.0, ,30.0,19.9,83,45,1.77,29.65
BRISBANE,18/01/2013,6.5,0.0, ,32.6,21.4,82,45,2.03,29.83
BRISBANE,19/01/2013,6.7,0.0, ,35.4,23.1,92,44,2.09,28.97
BRISBANE,20/01/2013,6.0,1.2, ,32.2,23.5,90,48,2.01,26.49
BRISBANE,21/01/2013,3.1,1.2, ,29.7,22.1,94,62,1.06,13.26
BRISBANE,22/01/2013,2.9,3.4, ,29.5,21.3,95,61,1.20,11.57
BRISBANE,23/01/2013,5.3,0.4, ,31.3,21.1,91,53,1.85,24.20
BRISBANE,24/01/2013,1.5,0.0, ,26.7,23.0,94,73,1.15,4.73
BRISBANE,25/01/2013,2.8,21.6, ,27.4,22.6,97,74,2.64,11.30
BRISBANE,26/01/2013,1.6,39.2, ,26.1,23.1,97,85,4.21,5.21
BRISBANE,27/01/2013,1.3,54.6, ,25.3,23.2,98,87,7.12,2.72
BRISBANE,28/01/2013,3.6,145.0, ,28.8,23.1,96,74,5.78,14.12
BRISBANE,29/01/2013, ,2.2, , ,22.4,100,46,1.53,27.92
BRISBANE,30/01/2013, ,0.0, , , ,96,58,2.31,24.26
BRISBANE,31/01/2013, , , ,28.3, ,94,56,1.51,10.96
Totals:,,142.6,271, ,,,,,, 
