'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2013,,,,,,,,,,
Issued at 22:38 GMT on Wednesday 01 May 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2013,3.1,24.2, ,26.4,18.3,96,62,0.97,16.80
BRISBANE,02/04/2013,3.7,0.0, ,28.4,18.2,92,51,1.05,20.58
BRISBANE,03/04/2013,3.6,0.0, ,28.0,19.0,93,53,1.07,19.63
BRISBANE,04/04/2013,4.0,2.4, ,26.8,17.6,95,53,1.92,22.22
BRISBANE,05/04/2013,3.8,6.0, ,26.1,17.8,94,49,2.17,20.09
BRISBANE,06/04/2013,3.0,2.0, ,24.6,16.9,94,53,1.53,15.68
BRISBANE,07/04/2013,2.6,0.2, ,24.9,17.7,89,63,0.79,14.79
BRISBANE,08/04/2013,3.0,1.4, ,25.0,16.9,91,63,1.36,16.79
BRISBANE,09/04/2013,3.3,0.4, ,25.9,16.7,91,55,1.56,18.63
BRISBANE,10/04/2013,3.1,0.4, ,23.9,17.3,88,63,1.53,18.01
BRISBANE,11/04/2013,3.5,0.4, ,25.8,17.1,90,53,1.97,18.92
BRISBANE,12/04/2013,2.2,0.2, ,23.7,18.2,94,64,1.40,10.90
BRISBANE,13/04/2013,1.2,36.6, ,22.5,18.4,97,87,0.99,4.89
BRISBANE,14/04/2013,3.5,17.4, ,28.3,17.1,94,51,1.02,20.88
BRISBANE,15/04/2013,3.2,0.0, ,27.5,17.6,96,60,0.83,18.87
BRISBANE,16/04/2013,3.1,0.0, ,29.2,17.3,95,51,0.89,17.60
BRISBANE,17/04/2013,3.5,6.0, ,26.9,16.3,95,55,0.99,21.66
BRISBANE,18/04/2013, ,7.0, , ,18.4,95,37,0.80,21.65
BRISBANE,19/04/2013, ,0.0, , , ,100,24,1.09,22.34
BRISBANE,20/04/2013, ,0.0, , , ,100,25,1.54,22.87
BRISBANE,21/04/2013, ,0.0, ,26.2, ,92,44,0.91,20.72
BRISBANE,22/04/2013,3.4,0.0, ,27.4,15.0,95,45,1.07,21.18
BRISBANE,23/04/2013,3.4,0.0, ,30.2,16.4,93,50,0.64,20.71
BRISBANE,24/04/2013,3.1,0.0, ,26.6,17.1,95,51,1.14,18.56
BRISBANE,25/04/2013,3.3,0.0, ,28.6,16.0,93,37,0.76,20.87
BRISBANE,26/04/2013,2.6,0.0, ,26.8,15.4,95,59,0.99,15.35
BRISBANE,27/04/2013,2.9,0.0, ,26.1,16.0,93,41,1.06,18.21
BRISBANE,28/04/2013,3.1,0.0, ,27.6,14.1,93,43,0.75,20.16
BRISBANE,29/04/2013,2.8,0.0, ,27.2,15.8,95,56,0.95,17.76
BRISBANE,30/04/2013,2.7,0.0, ,27.0,16.6,95,57,1.10,15.80
Totals:,,80.7,104.6, ,,,,,, 
