'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2013,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 July 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2013,1.5,2.6, ,22.2,13.4,97,57,0.54,11.32
BRISBANE,02/06/2013,2.0,0.0, ,24.7,15.1,94,53,1.51,10.38
BRISBANE,03/06/2013,2.3,1.4, ,22.7,12.9,87,35,1.31,16.16
BRISBANE,04/06/2013,2.0,0.0, ,23.6,9.9,85,42,1.02,15.57
BRISBANE,05/06/2013,1.4,0.0, ,20.9,11.7,89,61,0.68,9.45
BRISBANE,06/06/2013,1.4,0.0, ,22.4,14.5,96,50,0.44,9.68
BRISBANE,07/06/2013,1.6,0.0, ,24.5,14.8,95,55,0.57,12.02
BRISBANE,08/06/2013,1.5,0.0, ,23.0,13.4,97,67,1.15,8.96
BRISBANE,09/06/2013,1.8,6.0, ,22.1,15.8,97,56,1.83,9.77
BRISBANE,10/06/2013,1.0,3.0, ,18.7,15.1,97,75,0.78,4.76
BRISBANE,11/06/2013,1.5,29.2, ,23.1,15.8,97,71,0.41,10.86
BRISBANE,12/06/2013,1.3,0.2, ,22.0,16.3,99,82,1.10,8.12
BRISBANE,13/06/2013,1.4,2.4, ,22.8,15.9,97,70,0.61,10.00
BRISBANE,14/06/2013,2.8,0.0, ,20.9,14.8,73,43,2.71,15.73
BRISBANE,15/06/2013,2.7,0.0, ,20.1,11.4,76,45,2.92,15.63
BRISBANE,16/06/2013,1.8,0.0, ,21.7,10.8,92,43,0.74,15.60
BRISBANE,17/06/2013,2.5,0.0, ,20.3,8.9,84,32,2.09,16.06
BRISBANE,18/06/2013,2.3,0.0, ,20.2,6.7,86,31,1.67,16.09
BRISBANE,19/06/2013,2.2,0.0, ,20.1,8.6,72,32,1.51,15.55
BRISBANE,20/06/2013,1.6,0.0, ,19.3,12.3,73,55,1.17,9.92
BRISBANE,21/06/2013,0.8,2.6, ,13.6,12.3,97,77,0.65,3.16
BRISBANE,22/06/2013,1.8,6.0, ,20.7,9.8,99,50,0.99,15.46
BRISBANE,23/06/2013,1.9,0.0, ,22.1,8.6,91,44,0.96,15.48
BRISBANE,24/06/2013,2.0,0.0, ,21.0,10.5,92,33,1.21,15.33
BRISBANE,25/06/2013,2.2,0.0, ,19.4,5.7,92,34,1.78,15.86
BRISBANE,26/06/2013,2.1,0.0, ,20.1,7.3,86,35,1.31,16.11
BRISBANE,27/06/2013,1.3,0.0, ,19.6,11.1,95,66,0.90,8.46
BRISBANE,28/06/2013, ,1.8, ,22.1,14.7,96,65,1.08, 
BRISBANE,29/06/2013,1.4,1.8, ,20.7,14.5,96,64,1.09,9.36
BRISBANE,30/06/2013,1.0,2.4, ,15.9,13.9,94,85,1.25,5.69
Totals:,,51.1,59.4, ,,,,,, 
