'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for September 2013,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 October 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/09/2013,3.5,0.0, ,26.1,16.6,95,47,1.74,19.13
BRISBANE,02/09/2013,3.6,0.0, ,25.6,13.7,84,44,2.08,18.86
BRISBANE,03/09/2013,3.6,0.0, ,23.5,15.1,84,40,2.04,19.65
BRISBANE,04/09/2013,3.8,0.4, ,23.5,12.6,79,40,1.95,22.46
BRISBANE,05/09/2013,3.7,0.0, ,24.3,12.2,90,39,1.23,23.49
BRISBANE,06/09/2013,3.9,0.0, ,24.7,11.0,91,42,1.17,25.09
BRISBANE,07/09/2013,4.2,0.0, ,25.6,12.3,91,42,1.46,25.27
BRISBANE,08/09/2013,4.1,0.0, ,26.2,12.1,96,48,1.07,25.32
BRISBANE,09/09/2013,4.1,0.0, ,25.0,12.0,96,40,1.23,25.63
BRISBANE,10/09/2013,3.5,0.0, ,26.5,15.7,90,40,1.51,18.52
BRISBANE,11/09/2013,4.5,0.0, ,31.5,13.1,97,32,0.85,25.72
BRISBANE,12/09/2013,4.8,0.0, ,30.9,15.2,95,25,1.23,25.79
BRISBANE,13/09/2013,3.9,0.0, ,26.1,16.9,96,51,2.22,21.16
BRISBANE,14/09/2013,3.7,0.2, ,26.0,19.6,92,68,2.01,20.36
BRISBANE,15/09/2013,4.7,0.0, ,27.8,15.1,98,36,1.36,26.37
BRISBANE,16/09/2013,1.6,0.0, ,21.8,17.7,94,72,1.54,5.92
BRISBANE,17/09/2013,4.0,11.8, ,29.1,17.0,96,36,1.65,19.22
BRISBANE,18/09/2013,5.2,0.2, ,29.4,12.6,90,22,1.46,27.88
BRISBANE,19/09/2013,4.9,0.0, ,30.0,12.6,93,45,1.20,27.61
BRISBANE,20/09/2013,5.8,0.0, ,28.1,15.2,92,19,2.23,28.61
BRISBANE,21/09/2013,4.7,0.0, ,25.0,10.9,83,27,1.15,28.58
BRISBANE,22/09/2013,4.3,0.0, ,25.4,14.7,81,45,1.57,24.79
BRISBANE,23/09/2013,5.0,0.0, ,27.9,14.4,94,41,1.07,28.56
BRISBANE,24/09/2013,5.5,0.0, ,32.8,15.3,98,24,1.38,28.03
BRISBANE,25/09/2013,5.4,0.0, ,31.2,16.3,91,26,1.20,28.60
BRISBANE,26/09/2013,5.2,0.0, ,29.3,18.6,94,56,1.26,28.01
BRISBANE,27/09/2013,5.8,0.0, ,28.1,19.3,94,37,2.70,28.77
BRISBANE,28/09/2013,2.5,0.2, ,27.1,18.0,87,43,0.90,10.33
BRISBANE,29/09/2013,5.7,0.4, ,30.1,14.8,94,30,1.76,29.05
BRISBANE,30/09/2013,4.0,0.0, ,27.0,16.4,93,57,1.43,22.25
Totals:,,129.2,13.2, ,,,,,, 
