'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2013,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2013,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2013,5.9,0.0, ,26.5,15.6,88,36,1.70,32.27
BRISBANE,02/11/2013,6.3,0.0, ,28.2,15.5,84,42,1.60,33.61
BRISBANE,03/11/2013,6.6,0.0, ,31.3,17.1,80,38,1.60,32.99
BRISBANE,04/11/2013,4.7,0.0, ,26.1,20.0,83,50,3.08,20.51
BRISBANE,05/11/2013,4.9,0.0, ,24.9,16.7,71,45,2.60,22.69
BRISBANE,06/11/2013,5.3,0.0, ,26.3,15.9,77,34,1.82,27.21
BRISBANE,07/11/2013,6.4,0.0, ,27.8,14.5,89,36,1.54,34.93
BRISBANE,08/11/2013,6.8,0.0, ,29.2,15.1,87,36,1.83,35.06
BRISBANE,09/11/2013,6.9,0.0, ,29.7,17.1,83,36,2.14,34.44
BRISBANE,10/11/2013,6.0,0.0, ,30.9,20.3,92,43,1.83,29.22
BRISBANE,11/11/2013,4.8,4.0, ,28.7,20.7,94,53,1.78,23.07
BRISBANE,12/11/2013,5.7,1.8, ,29.1,21.2,92,47,2.29,27.35
BRISBANE,13/11/2013,5.1,5.8, ,30.1,19.0,93,46,1.76,24.32
BRISBANE,14/11/2013,4.3,12.8, ,27.7,19.4,95,64,1.60,21.36
BRISBANE,15/11/2013,5.8,22.4, ,29.1,17.1,96,59,1.67,31.30
BRISBANE,16/11/2013,4.2,0.0, ,27.2,20.2,94,58,2.02,19.76
BRISBANE,17/11/2013,3.3,0.0, ,25.5,18.4,93,62,1.19,15.91
BRISBANE,18/11/2013,5.0,9.2, ,28.4,17.3,94,41,1.29,25.61
BRISBANE,19/11/2013,6.6,5.8, ,31.0,14.7,94,31,1.64,33.66
BRISBANE,20/11/2013,6.3,0.0, ,28.8,17.6,90,47,1.63,33.33
BRISBANE,21/11/2013,6.5,0.0, ,28.8,17.8,93,49,1.60,34.20
BRISBANE,22/11/2013,5.2,0.0, ,28.1,18.8,89,48,1.81,25.91
BRISBANE,23/11/2013,4.9,0.2, ,29.4,22.1,93,58,2.08,22.50
BRISBANE,24/11/2013,4.9,10.6, ,31.2,19.9,94,56,1.19,23.34
BRISBANE,25/11/2013,6.3,8.8, ,29.3,20.2,90,51,1.97,32.29
BRISBANE,26/11/2013,5.6,0.0, ,27.2,20.4,82,49,2.59,26.90
BRISBANE,27/11/2013,6.7,0.0, ,27.1,16.3,80,40,1.71,36.00
BRISBANE,28/11/2013,6.8,0.0, ,28.9,17.1,88,50,1.78,35.79
BRISBANE,29/11/2013,6.5,0.0, ,33.5,18.4,90,38,1.75,30.24
BRISBANE,30/11/2013,2.3,23.4, ,24.4,19.1,95,58,1.51,8.37
Totals:,,166.6,104.8, ,,,,,, 
