'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2013,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2013 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2013,5.7,14.0, ,25.6,16.0,81,44,2.38,30.14
BRISBANE,02/12/2013,6.5,0.0, ,27.0,16.0,80,39,2.01,34.38
BRISBANE,03/12/2013,6.8,0.0, ,27.8,15.2,88,36,1.55,36.59
BRISBANE,04/12/2013,6.7,0.0, ,28.3,16.2,91,47,1.70,35.83
BRISBANE,05/12/2013,6.3,0.0, ,35.5,19.9,85,33,1.63,27.36
BRISBANE,06/12/2013,7.5,0.8, ,29.8,17.6,68,18,1.93,36.43
BRISBANE,07/12/2013,6.7,0.0, ,26.9,15.0,79,33,1.47,36.37
BRISBANE,08/12/2013,6.3,0.0, ,27.6,17.0,80,42,1.50,34.04
BRISBANE,09/12/2013,6.6,0.0, ,27.7,16.9,85,47,1.94,35.30
BRISBANE,10/12/2013,6.0,0.0, ,29.6,19.5,78,49,2.03,28.81
BRISBANE,11/12/2013,4.4,0.0, ,30.8,22.8,92,51,1.41,18.75
BRISBANE,12/12/2013,2.2,2.0, ,27.3,21.3,92,64,0.81,8.57
BRISBANE,13/12/2013, ,0.4, , ,19.2,93,50,1.57,31.76
BRISBANE,14/12/2013, ,0.4, ,30.2, ,93,49,1.77,34.35
BRISBANE,15/12/2013,6.4,0.2, ,30.5,20.5,91,46,1.69,31.74
BRISBANE,16/12/2013,6.2,0.0, ,29.7,21.3,83,39,2.34,28.13
BRISBANE,17/12/2013,4.7,0.0, ,28.0,20.7,83,51,2.37,19.95
BRISBANE,18/12/2013,6.6,0.0, ,29.3,18.1,89,35,2.31,32.73
BRISBANE,19/12/2013,6.2,0.2, ,28.7,18.1,81,38,2.01,31.08
BRISBANE,20/12/2013,6.4,0.0, ,29.2,17.7,84,47,1.79,33.07
BRISBANE,21/12/2013,7.6,0.0, ,30.9,20.1,83,41,1.70,37.10
BRISBANE,22/12/2013,7.1,0.0, ,30.0,19.0,87,46,1.69,36.10
BRISBANE,23/12/2013,7.5,0.0, ,30.1,21.5,74,48,2.34,35.90
BRISBANE,24/12/2013,7.7,0.0, ,32.5,19.7,81,39,1.86,36.40
BRISBANE,25/12/2013,6.5,0.0, ,30.7,22.7,81,50,2.30,30.20
BRISBANE,26/12/2013,6.7,0.0, ,32.7,22.5,80,44,1.89,30.37
BRISBANE,27/12/2013,5.1,0.0, ,31.0,22.6,87,53,2.24,21.59
BRISBANE,28/12/2013,4.8,0.0, ,29.8,22.0,82,58,1.74,21.58
BRISBANE,29/12/2013,7.7,0.0, ,34.8,23.4,87,46,2.23,34.18
BRISBANE,30/12/2013,6.1,0.0, ,31.1,22.0,78,48,2.42,26.46
BRISBANE,31/12/2013,3.3,0.0, ,29.0,23.2,80,60,1.85,11.71
Totals:,,178.3,18, ,,,,,, 
