'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2014,7.5,0.0, ,30.6,20.6,92,40,2.15,36.12
BRISBANE,02/01/2014,6.1,0.0, ,31.8,21.1,89,44,1.74,28.44
BRISBANE,03/01/2014,6.6,0.0, ,34.5,22.7,90,47,1.79,29.56
BRISBANE,04/01/2014,7.6,0.0, ,38.7,23.8,87,40,2.23,30.45
BRISBANE,05/01/2014,4.3,0.0, ,33.6,23.9,85,55,2.01,15.65
BRISBANE,06/01/2014,4.7,0.0, ,34.8,25.9,95,54,1.60,18.73
BRISBANE,07/01/2014, ,40.2, , ,22.5,91,32,3.08,27.23
BRISBANE,08/01/2014, , , ,29.6, ,75,43,3.01,22.11
BRISBANE,09/01/2014,4.9,0.2, ,28.6,20.4,88,41,2.46,19.77
BRISBANE,10/01/2014,3.4,1.4, ,27.8,19.4,92,57,1.73,13.99
BRISBANE,11/01/2014,4.9,0.0, ,29.8,19.6,86,45,1.49,22.63
BRISBANE,12/01/2014,5.7,0.0, ,30.6,19.5,88,48,1.80,27.48
BRISBANE,13/01/2014,5.5,0.0, ,29.6,19.5,85,46,2.44,24.57
BRISBANE,14/01/2014,5.4,0.0, ,30.2,20.4,89,46,2.35,23.76
BRISBANE,15/01/2014,5.7,0.0, ,30.4,19.1,92,45,2.31,26.45
BRISBANE,16/01/2014, ,0.0, , ,20.2,89,47,2.39,25.29
BRISBANE,17/01/2014, , , ,30.8, ,90,38,2.37,28.83
BRISBANE,18/01/2014,5.4,0.0, ,30.4,20.1,82,44,1.88,24.00
BRISBANE,19/01/2014,6.3,0.0, ,31.8,20.1,86,38,1.60,30.20
BRISBANE,20/01/2014,6.5,0.0, ,33.5,20.5,89,45,1.83,29.95
BRISBANE,21/01/2014,6.7,0.0, ,32.9,23.6,85,51,2.38,29.73
BRISBANE,22/01/2014,6.6,0.0, ,35.3,25.5,89,43,2.15,26.90
BRISBANE,23/01/2014,2.1,2.2, ,30.1,23.9,97,60,1.60,5.97
BRISBANE,24/01/2014, ,18.6, , ,20.7,96,61,1.62,16.59
BRISBANE,25/01/2014, , , ,28.7, ,85,65,2.14,11.14
BRISBANE,26/01/2014,6.2,1.2, ,28.5,21.4,75,46,3.49,26.58
BRISBANE,27/01/2014,5.3,0.0, ,28.6,19.8,84,45,3.02,22.25
BRISBANE,28/01/2014,4.3,0.0, ,26.7,21.5,80,54,2.63,17.35
BRISBANE,29/01/2014,4.3,0.8, ,27.4,19.7,88,50,2.45,18.08
BRISBANE,30/01/2014,5.1,0.2, ,28.4,21.4,72,42,2.75,19.59
BRISBANE,31/01/2014,3.5,0.0, ,26.9,22.7,82,53,2.51,12.02
Totals:,,134.6,64.8, ,,,,,, 
