'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2014,5.4,0.0, ,28.8,21.5,77,46,2.77,22.32
BRISBANE,02/02/2014,5.4,0.0, ,30.0,21.0,77,47,2.40,22.93
BRISBANE,03/02/2014,4.5,1.6, ,28.7,19.7,90,46,1.98,20.11
BRISBANE,04/02/2014,5.1,0.6, ,29.7,19.0,89,49,2.04,23.98
BRISBANE,05/02/2014,5.4,0.0, ,29.9,20.0,91,45,2.89,23.08
BRISBANE,06/02/2014,4.5,0.2, ,27.4,19.1,76,46,2.52,18.41
BRISBANE,07/02/2014,4.3,0.0, ,28.6,19.6,85,43,1.99,17.52
BRISBANE,08/02/2014,4.8,0.0, ,29.2,19.9,85,46,2.02,21.64
BRISBANE,09/02/2014,3.3,0.0, ,29.1,21.8,77,54,1.72,11.34
BRISBANE,10/02/2014,4.0,0.0, ,28.8,21.9,84,56,1.45,18.09
BRISBANE,11/02/2014,4.9,0.0, ,29.2,19.5,82,48,1.68,23.56
BRISBANE,12/02/2014,4.8,0.0, ,29.8,19.2,85,46,1.56,22.43
BRISBANE,13/02/2014, ,0.0, , ,19.7,88,46,1.57,24.00
BRISBANE,14/02/2014, , , ,30.0, ,83,52,1.96,18.68
BRISBANE,15/02/2014,5.9,0.0, ,31.6,23.2,78,50,2.23,26.37
BRISBANE,16/02/2014,6.1,0.0, ,32.6,23.7,85,51,2.44,26.95
BRISBANE,17/02/2014,5.9,0.0, ,34.1,23.4,82,45,2.30,24.31
BRISBANE,18/02/2014,4.2,8.4, ,31.3,23.4,93,60,1.81,18.35
BRISBANE,19/02/2014,5.7,0.2, ,31.9,23.0,86,53,2.29,25.85
BRISBANE,20/02/2014,5.2,0.0, ,33.4,25.6,82,52,2.04,21.27
BRISBANE,21/02/2014,4.8,0.0, ,34.0,24.6,87,50,2.12,18.27
BRISBANE,22/02/2014,2.4,2.2, ,27.4,23.2,81,58,2.48,4.75
BRISBANE,23/02/2014,5.8,0.0, ,30.2,21.2,83,40,3.07,24.37
BRISBANE,24/02/2014,4.5,1.2, ,28.5,19.6,93,46,2.11,20.23
BRISBANE,25/02/2014,4.9,1.4, ,29.6,19.9,91,45,2.05,22.51
BRISBANE,26/02/2014,4.7,0.0, ,29.5,19.1,86,49,1.68,22.61
BRISBANE,27/02/2014,5.3,0.0, ,30.7,19.3,85,40,1.54,26.32
BRISBANE,28/02/2014,4.6,0.0, ,30.9,20.6,86,48,2.27,18.76
Totals:,,126.4,15.8, ,,,,,, 
