'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2014,5.0,0.6, ,30.4,19.9,90,40,2.01,22.85
BRISBANE,02/03/2014,4.2,0.0, ,30.2,20.0,83,45,1.75,17.79
BRISBANE,03/03/2014,3.5,1.6, ,27.8,20.3,91,55,2.02,14.68
BRISBANE,04/03/2014,4.7,4.6, ,28.6,19.5,92,41,2.36,20.70
BRISBANE,05/03/2014,3.3,3.4, ,27.9,19.0,95,48,1.57,13.76
BRISBANE,06/03/2014,4.8,0.0, ,29.1,18.0,90,41,1.64,23.66
BRISBANE,07/03/2014,3.6,0.0, ,28.8,18.5,88,49,1.64,15.76
BRISBANE,08/03/2014,4.6,0.2, ,28.9,18.1,89,41,2.19,20.50
BRISBANE,09/03/2014,3.8,1.2, ,28.3,19.5,90,48,2.23,15.39
BRISBANE,10/03/2014,4.8,2.2, ,28.9,19.7,91,41,2.50,21.39
BRISBANE,11/03/2014,4.3,4.6, ,28.7,19.1,93,41,1.92,19.88
BRISBANE,12/03/2014,4.5,0.8, ,29.3,19.5,85,40,1.81,20.79
BRISBANE,13/03/2014,4.7,0.0, ,29.6,18.6,87,45,1.95,22.50
BRISBANE,14/03/2014,4.2,0.0, ,29.0,19.3,85,40,1.66,19.17
BRISBANE,15/03/2014,4.7,0.6, ,30.2,18.6,87,42,1.51,23.15
BRISBANE,16/03/2014,5.2,0.0, ,32.8,19.6,88,40,1.88,23.65
BRISBANE,17/03/2014,4.9,4.6, ,31.8,21.6,94,48,1.80,22.89
BRISBANE,18/03/2014,4.4,0.2, ,32.0,24.1,84,54,1.85,19.02
BRISBANE,19/03/2014,4.4,0.0, ,30.6,23.8,83,52,2.00,18.83
BRISBANE,20/03/2014,4.7,0.6, ,30.0,20.6,92,48,2.46,21.43
BRISBANE,21/03/2014,3.4,0.2, ,29.0,19.2,92,47,1.43,15.35
BRISBANE,22/03/2014,4.0,0.6, ,29.5,19.6,90,47,1.60,18.91
BRISBANE,23/03/2014,4.3,0.0, ,31.6,19.2,91,45,1.47,20.49
BRISBANE,24/03/2014,3.5,0.0, ,28.8,20.1,93,53,1.53,16.17
BRISBANE,25/03/2014,1.9,22.4, ,26.5,19.8,95,66,1.23,7.26
BRISBANE,26/03/2014,2.5,21.6, ,27.2,21.7,95,66,2.82,8.83
BRISBANE,27/03/2014,1.3,5.6, ,23.8,21.1,96,76,2.09,3.02
BRISBANE,28/03/2014,2.5,82.6, ,28.9,20.7,97,71,1.70,10.56
BRISBANE,29/03/2014,4.1,3.2, ,32.6,21.8,96,48,0.95,20.03
BRISBANE,30/03/2014,1.2,0.8, ,25.6,22.7,96,80,0.75,3.78
BRISBANE,31/03/2014,3.5,2.2, ,29.3,20.3,95,58,1.63,16.79
Totals:,,120.5,164.4, ,,,,,, 
