'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2014,3.9,0.6, ,29.3,19.7,95,48,1.39,19.95
BRISBANE,02/04/2014,3.8,0.0, ,29.9,19.2,93,48,1.21,20.00
BRISBANE,03/04/2014,3.9,0.0, ,29.5,19.1,92,44,1.15,20.70
BRISBANE,04/04/2014,3.4,0.0, ,29.5,18.9,94,52,1.09,17.22
BRISBANE,05/04/2014,3.9,0.0, ,30.9,19.9,94,48,1.10,20.60
BRISBANE,06/04/2014,3.5,0.0, ,31.0,21.1,91,53,1.09,17.31
BRISBANE,07/04/2014,3.3,1.8, ,27.8,19.6,91,51,2.14,14.40
BRISBANE,08/04/2014,3.0,0.0, ,27.0,17.8,80,52,1.67,12.97
BRISBANE,09/04/2014,3.5,0.0, ,27.8,18.4,85,50,1.53,17.87
BRISBANE,10/04/2014,3.0,0.0, ,26.3,17.3,87,53,0.87,17.00
BRISBANE,11/04/2014,3.5,0.0, ,29.7,16.4,93,51,1.11,19.34
BRISBANE,12/04/2014,3.1,0.0, ,31.3,20.4,92,46,1.02,14.89
BRISBANE,13/04/2014,1.3,0.0, ,24.6,22.8,93,71,1.36,3.42
BRISBANE,14/04/2014,2.2,8.8, ,24.9,20.3,92,65,2.43,8.07
BRISBANE,15/04/2014,2.9,0.0, ,25.8,17.8,87,52,1.86,13.38
BRISBANE,16/04/2014,3.4,0.0, ,28.2,15.8,84,39,1.33,18.14
BRISBANE,17/04/2014,3.3,0.0, ,28.0,16.2,90,37,1.04,19.26
BRISBANE,18/04/2014,3.2,0.0, ,28.4,16.6,90,33,0.87,19.27
BRISBANE,19/04/2014,3.3,0.0, ,28.6,14.5,94,30,1.02,19.54
BRISBANE,20/04/2014,3.2,0.0, ,28.5,15.3,92,33,0.97,18.88
BRISBANE,21/04/2014,3.2,0.0, ,29.2,15.9,86,40,1.01,18.72
BRISBANE,22/04/2014,3.1,0.0, ,27.5,16.8,92,37,0.89,18.68
BRISBANE,23/04/2014,3.0,0.0, ,28.2,16.6,91,43,0.93,18.07
BRISBANE,24/04/2014,3.1,0.0, ,29.0,16.2,95,37,0.92,18.32
BRISBANE,25/04/2014,3.1,0.0, ,28.9,17.2,95,44,1.09,17.86
BRISBANE,26/04/2014,2.9,0.0, ,29.1,17.2,91,44,0.94,16.46
BRISBANE,27/04/2014,2.9,0.0, ,29.4,19.1,91,45,1.05,15.77
BRISBANE,28/04/2014,2.4,2.6, ,24.6,18.7,91,57,1.86,11.23
BRISBANE,29/04/2014,2.5,0.4, ,26.0,16.5,92,47,1.28,12.84
BRISBANE,30/04/2014,2.4,0.0, ,27.1,14.5,94,53,0.71,14.58
Totals:,,93.2,14.2, ,,,,,, 
