'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2014,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 June 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2014,2.6,4.6, ,27.4,18.4,95,53,1.05,14.32
BRISBANE,02/05/2014,1.4,1.2, ,23.5,17.7,95,71,0.90,6.17
BRISBANE,03/05/2014, ,13.8, , ,15.4,68,32,3.35,15.35
BRISBANE,04/05/2014, ,0.2, , , ,100,41,3.41,16.33
BRISBANE,05/05/2014, ,0.0, , , ,100,33,1.81,16.21
BRISBANE,06/05/2014, ,0.0, , , ,100,30,1.25,16.90
BRISBANE,07/05/2014, , , ,23.7, ,72,47,1.38,12.89
BRISBANE,08/05/2014,2.6,0.0, ,24.2,15.3,81,49,2.09,11.67
BRISBANE,09/05/2014,3.0,0.0, ,24.7,14.7,85,37,1.97,16.04
BRISBANE,10/05/2014,1.9,0.0, ,24.0,15.6,94,54,1.27,9.60
BRISBANE,11/05/2014,2.2,0.2, ,25.4,13.7,96,48,0.85,14.63
BRISBANE,12/05/2014,2.0,0.0, ,24.7,13.8,95,53,1.27,10.71
BRISBANE,13/05/2014,2.7,3.6, ,24.8,13.9,89,49,2.12,14.41
BRISBANE,14/05/2014,2.3,0.0, ,23.2,15.1,83,62,2.12,12.50
BRISBANE,15/05/2014,2.6,0.0, ,24.8,15.2,90,45,1.72,14.34
BRISBANE,16/05/2014,1.9,0.4, ,23.0,15.2,90,63,1.30,10.84
BRISBANE,17/05/2014,2.4,1.2, ,24.6,14.8,90,42,1.56,13.26
BRISBANE,18/05/2014,2.2,0.6, ,25.1,15.0,96,44,1.50,11.27
BRISBANE,19/05/2014,1.9,0.2, ,24.7,14.4,92,45,1.06,10.60
BRISBANE,20/05/2014,1.8,0.0, ,24.7,14.6,90,54,0.73,11.68
BRISBANE,21/05/2014,2.3,0.0, ,25.1,14.7,92,49,1.40,13.72
BRISBANE,22/05/2014,2.0,1.2, ,26.1,17.8,92,54,1.01,11.21
BRISBANE,23/05/2014,2.0,0.0, ,26.6,16.7,95,55,0.89,12.34
BRISBANE,24/05/2014,2.2,0.6, ,27.0,16.7,96,45,0.80,14.35
BRISBANE,25/05/2014,2.2,0.0, ,28.4,13.5,91,35,0.79,14.61
BRISBANE,26/05/2014,2.1,0.2, ,28.4,13.5,92,35,0.71,14.49
BRISBANE,27/05/2014,2.1,0.0, ,26.9,13.8,96,51,1.02,13.18
BRISBANE,28/05/2014,2.1,0.0, ,27.9,14.8,97,50,0.78,14.15
BRISBANE,29/05/2014,2.2,0.0, ,28.6,15.3,97,44,0.91,13.38
BRISBANE,30/05/2014,1.9,0.0, ,24.9,18.8,84,53,1.13,9.67
BRISBANE,31/05/2014,1.7,0.6, ,23.4,16.0,93,65,1.08,10.05
Totals:,,56.3,28.6, ,,,,,, 
