'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2014,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 July 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2014,1.8,0.4, ,24.8,14.4,98,47,0.84,12.35
BRISBANE,02/06/2014,2.0,0.0, ,25.8,13.8,94,53,0.93,13.39
BRISBANE,03/06/2014,1.7,0.0, ,24.6,16.8,97,63,0.79,11.38
BRISBANE,04/06/2014,1.8,0.0, ,25.8,15.1,95,49,0.83,12.03
BRISBANE,05/06/2014,2.2,0.0, ,26.1,13.8,90,44,1.37,13.68
BRISBANE,06/06/2014,2.0,0.0, ,25.9,14.4,90,47,1.07,12.68
BRISBANE,07/06/2014,2.2,0.0, ,24.4,13.3,90,40,1.46,13.83
BRISBANE,08/06/2014,2.0,0.0, ,23.3,13.9,81,50,1.45,11.80
BRISBANE,09/06/2014,2.1,0.0, ,22.4,14.4,81,49,1.72,11.56
BRISBANE,10/06/2014,2.5,0.0, ,23.9,13.6,77,48,2.29,12.84
BRISBANE,11/06/2014,2.1,0.0, ,22.8,13.9,81,43,1.77,11.03
BRISBANE,12/06/2014,1.9,0.0, ,23.6,14.4,81,51,1.25,11.48
BRISBANE,13/06/2014,1.8,1.4, ,24.1,14.6,95,51,1.13,11.82
BRISBANE,14/06/2014,1.2,0.8, ,21.0,15.3,94,70,1.29,5.82
BRISBANE,15/06/2014,2.4,0.6, ,20.6,9.8,89,40,2.62,14.11
BRISBANE,16/06/2014,1.8,0.0, ,21.6,10.2,88,37,1.15,13.90
BRISBANE,17/06/2014,1.7,0.0, ,22.9,8.5,90,32,0.82,13.96
BRISBANE,18/06/2014,1.9,0.0, ,24.3,9.6,83,42,1.18,13.24
BRISBANE,19/06/2014,1.2,0.0, ,20.3,13.8,96,74,0.95,8.01
BRISBANE,20/06/2014,1.4,5.8, ,22.5,15.7,96,64,0.79,9.07
BRISBANE,21/06/2014,1.8,0.0, ,25.6,14.9,96,46,0.70,12.91
BRISBANE,22/06/2014,1.8,5.2, ,24.2,13.2,98,41,0.86,13.04
BRISBANE,23/06/2014,1.8,0.2, ,24.1,10.8,95,42,1.00,13.59
BRISBANE,24/06/2014,2.0,0.0, ,20.9,10.2,96,30,1.98,7.60
BRISBANE,25/06/2014,2.9,0.0, ,21.8,13.4,53,35,2.56,13.63
BRISBANE,26/06/2014,2.0,0.0, ,24.2,10.0,91,26,1.11,14.24
BRISBANE,27/06/2014,1.8,0.0, ,23.6,6.8,94,29,0.94,14.18
BRISBANE,28/06/2014,1.9,0.0, ,24.9,11.8,92,50,1.31,10.63
BRISBANE,29/06/2014,2.9,1.6, ,19.9,12.3,79,31,3.16,14.35
BRISBANE,30/06/2014,2.2,0.2, ,19.1,5.2,85,30,2.09,14.13
Totals:,,58.8,16.2, ,,,,,, 
