'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2014,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 August 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2014,1.9,0.0, ,19.8,5.2,86,24,1.34,14.50
BRISBANE,02/07/2014,1.7,0.0, ,21.2,5.3,87,30,0.94,14.14
BRISBANE,03/07/2014,1.8,0.0, ,22.6,7.4,93,43,1.11,13.73
BRISBANE,04/07/2014,1.7,0.0, ,23.9,9.4,93,38,0.82,12.30
BRISBANE,05/07/2014,1.8,0.4, ,24.4,11.5,95,37,0.84,12.84
BRISBANE,06/07/2014,2.5,0.0, ,20.5,5.3,87,27,2.19,14.53
BRISBANE,07/07/2014,2.2,0.0, ,19.9,8.0,64,27,1.58,14.42
BRISBANE,08/07/2014,1.7,0.0, ,21.7,6.2,87,29,0.83,14.66
BRISBANE,09/07/2014,2.0,0.0, ,23.4,4.7,91,26,1.09,14.72
BRISBANE,10/07/2014,3.2,0.0, ,20.0,10.0,68,22,3.16,14.69
BRISBANE,11/07/2014,2.4,0.0, ,22.4,9.3,89,17,1.59,14.96
BRISBANE,12/07/2014,2.2,0.0, ,22.6,2.6,88,22,1.40,14.97
BRISBANE,13/07/2014,2.3,0.0, ,21.8,7.5,67,26,1.48,14.34
BRISBANE,14/07/2014,2.3,0.0, ,21.4,10.5,72,42,1.80,13.42
BRISBANE,15/07/2014,1.5,0.0, ,20.5,12.5,95,60,1.00,8.99
BRISBANE,16/07/2014,1.2,0.8, ,22.0,11.2,97,57,0.35,8.44
BRISBANE,17/07/2014,2.1,2.0, ,22.2,7.0,99,27,1.25,14.98
BRISBANE,18/07/2014,3.2,0.2, ,18.7,7.3,80,23,3.73,15.16
BRISBANE,19/07/2014,2.7,0.0, ,20.3,6.7,64,23,2.07,15.22
BRISBANE,20/07/2014,2.1,0.0, ,23.2,8.2,76,33,1.15,13.73
BRISBANE,21/07/2014,1.8,0.0, ,22.2,11.0,85,52,1.36,10.14
BRISBANE,22/07/2014,1.7,0.0, ,22.6,10.5,96,46,0.86,10.92
BRISBANE,23/07/2014,2.0,2.4, ,22.8,9.4,96,42,1.05,14.20
BRISBANE,24/07/2014,2.0,0.2, ,23.3,11.2,94,45,0.94,13.78
BRISBANE,25/07/2014,2.0,0.0, ,23.8,10.1,95,52,0.93,14.67
BRISBANE,26/07/2014,1.4,0.0, ,22.7,12.2,98,60,0.49,9.37
BRISBANE,27/07/2014,2.2,8.0, ,24.4,12.0,98,29,0.91,15.69
BRISBANE,28/07/2014,2.2,0.2, ,23.7,9.4,95,30,1.00,15.68
BRISBANE,29/07/2014,2.2,0.0, ,25.1,7.3,90,20,0.85,16.11
BRISBANE,30/07/2014,2.2,0.0, ,25.9,7.8,96,17,0.72,16.51
BRISBANE,31/07/2014,2.4,0.0, ,25.4,6.6,96,32,1.18,16.11
Totals:,,64.6,14.2, ,,,,,, 
