'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 September 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2014,2.7,0.0, ,28.5,10.6,94,24,1.29,14.82
BRISBANE,02/08/2014,3.4,0.0, ,21.4,12.3,53,9,2.24,16.56
BRISBANE,03/08/2014,2.2,0.0, ,21.4,9.8,85,48,1.62,12.45
BRISBANE,04/08/2014,2.1,2.0, ,20.2,11.9,95,46,1.65,11.47
BRISBANE,05/08/2014, ,0.4, , ,10.9,89,43,1.30,13.68
BRISBANE,06/08/2014, , , ,22.3, ,92,38,1.33,15.11
BRISBANE,07/08/2014,2.4,0.0, ,24.0,9.0,91,24,0.93,16.58
BRISBANE,08/08/2014,2.3,0.0, ,23.3,9.4,91,40,1.12,14.36
BRISBANE,09/08/2014,1.9,0.0, ,21.9,11.0,92,56,1.33,11.08
BRISBANE,10/08/2014,2.4,0.0, ,24.6,11.6,96,43,0.95,16.31
BRISBANE,11/08/2014,2.9,0.0, ,25.9,11.3,91,22,1.26,16.96
BRISBANE,12/08/2014,2.6,0.0, ,22.1,11.4,87,44,1.92,13.75
BRISBANE,13/08/2014,3.0,0.0, ,22.6,12.1,81,40,2.17,15.81
BRISBANE,14/08/2014,2.5,0.0, ,21.6,10.8,86,44,2.02,11.73
BRISBANE,15/08/2014,2.0,0.0, ,20.9,12.0,91,51,1.51,10.09
BRISBANE,16/08/2014,1.0,4.0, ,17.4,13.6,97,86,1.13,4.90
BRISBANE,17/08/2014,3.2,51.6, ,22.5,14.8,97,25,2.21,16.80
BRISBANE,18/08/2014,3.9,0.0, ,20.9,11.7,65,40,4.32,16.12
BRISBANE,19/08/2014,3.9,0.0, ,24.3,13.6,67,34,2.78,18.03
BRISBANE,20/08/2014,2.9,0.0, ,24.2,9.8,87,38,1.44,17.30
BRISBANE,21/08/2014,3.1,0.0, ,23.2,12.1,89,45,2.53,15.51
BRISBANE,22/08/2014,1.2,3.2, ,17.1,14.0,95,74,1.50,4.22
BRISBANE,23/08/2014,1.4,22.4, ,18.5,13.8,96,79,2.11,6.71
BRISBANE,24/08/2014,2.7,6.0, ,22.8,14.0,90,43,1.73,13.57
BRISBANE,25/08/2014,2.7,0.0, ,24.0,13.7,84,50,1.77,12.99
BRISBANE,26/08/2014,3.1,0.0, ,23.9,12.8,87,40,1.74,17.06
BRISBANE,27/08/2014,3.1,0.0, ,23.8,12.0,90,43,2.25,15.26
BRISBANE,28/08/2014,3.1,3.6, ,23.7,12.7,91,35,2.41,12.55
BRISBANE,29/08/2014,3.2,0.0, ,23.9,12.3,78,29,1.27,19.33
BRISBANE,30/08/2014,2.8,0.0, ,24.3,9.7,91,40,0.98,18.33
BRISBANE,31/08/2014,3.2,0.0, ,25.8,13.6,91,36,1.11,18.91
Totals:,,76.9,93.2, ,,,,,, 
