'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for October 2014,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 November 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/10/2014,5.3,0.0, ,31.4,15.9,87,31,2.17,23.83
BRISBANE,02/10/2014,3.5,0.0, ,23.2,17.6,82,46,2.12,15.55
BRISBANE,03/10/2014,4.2,0.0, ,26.0,13.3,88,50,1.54,23.84
BRISBANE,04/10/2014,4.2,0.0, ,25.8,20.0,74,49,1.95,19.62
BRISBANE,05/10/2014,4.5,0.0, ,26.9,15.7,88,43,1.55,24.15
BRISBANE,06/10/2014,4.5,0.0, ,27.2,14.4,90,39,1.44,24.53
BRISBANE,07/10/2014,4.6,0.0, ,26.9,14.4,93,40,1.74,24.63
BRISBANE,08/10/2014,5.3,0.0, ,31.7,16.9,92,37,2.27,23.38
BRISBANE,09/10/2014,3.8,0.0, ,25.3,19.4,71,49,2.56,14.39
BRISBANE,10/10/2014,3.6,0.0, ,25.4,14.9,86,44,1.50,17.36
BRISBANE,11/10/2014,4.2,0.0, ,26.4,17.7,78,46,1.35,21.33
BRISBANE,12/10/2014,4.5,0.0, ,26.2,17.4,84,48,1.74,23.81
BRISBANE,13/10/2014,4.9,0.0, ,26.9,16.2,84,50,2.27,25.32
BRISBANE,14/10/2014,5.1,3.2, ,27.7,17.3,89,18,2.34,21.99
BRISBANE,15/10/2014,5.7,0.0, ,26.2,13.3,45,24,2.66,25.85
BRISBANE,16/10/2014,4.2,0.0, ,26.7,13.2,77,35,1.62,20.55
BRISBANE,17/10/2014,5.5,0.0, ,30.2,15.5,86,20,1.85,25.68
BRISBANE,18/10/2014,5.0,0.0, ,26.5,16.1,77,39,2.49,23.54
BRISBANE,19/10/2014,4.8,0.0, ,26.9,15.2,81,36,1.79,24.31
BRISBANE,20/10/2014,4.9,0.0, ,26.6,14.2,83,40,1.48,27.29
BRISBANE,21/10/2014,4.0,0.0, ,27.1,16.6,85,44,2.65,14.95
BRISBANE,22/10/2014,4.5,0.0, ,25.5,16.6,82,38,2.04,21.51
BRISBANE,23/10/2014,5.0,0.0, ,27.0,12.7,90,38,1.49,27.91
BRISBANE,24/10/2014,5.2,0.0, ,27.3,16.1,83,46,1.78,27.48
BRISBANE,25/10/2014,5.5,0.0, ,28.6,17.3,79,45,2.13,27.20
BRISBANE,26/10/2014,5.4,0.0, ,29.0,18.1,91,50,1.99,27.41
BRISBANE,27/10/2014,6.0,0.0, ,34.0,20.5,85,45,2.00,26.76
BRISBANE,28/10/2014,6.4,2.6, ,34.2,21.2,78,29,2.02,27.55
BRISBANE,29/10/2014,5.9,0.0, ,30.7,17.5,93,31,2.10,27.42
BRISBANE,30/10/2014,5.4,0.0, ,28.8,18.2,85,48,1.90,27.48
BRISBANE,31/10/2014,5.4,0.0, ,30.4,21.6,83,51,2.09,25.07
Totals:,,151,5.8, ,,,,,, 
