'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2014,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 December 2014,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2014,5.6,0.0, ,30.9,20.9,87,47,2.25,25.42
BRISBANE,02/11/2014,5.8,0.0, ,31.2,21.2,81,43,2.55,24.71
BRISBANE,03/11/2014,2.9,0.0, ,23.8,20.6,69,50,2.81,5.42
BRISBANE,04/11/2014,4.1,0.0, ,26.4,15.3,88,41,2.00,18.53
BRISBANE,05/11/2014,5.0,0.0, ,27.0,16.3,80,44,1.93,25.05
BRISBANE,06/11/2014,5.5,0.0, ,28.4,18.2,91,42,2.19,27.07
BRISBANE,07/11/2014,4.9,9.2, ,29.1,19.5,94,52,1.89,23.31
BRISBANE,08/11/2014,6.2,0.0, ,29.1,20.7,80,39,2.36,29.30
BRISBANE,09/11/2014,5.7,0.0, ,28.5,17.0,90,43,1.73,29.98
BRISBANE,10/11/2014,5.7,0.0, ,29.2,19.9,83,45,1.90,27.44
BRISBANE,11/11/2014,5.6,0.0, ,29.9,18.8,85,48,1.73,27.90
BRISBANE,12/11/2014,4.0,0.0, ,28.3,22.1,91,57,2.20,17.20
BRISBANE,13/11/2014,4.6,9.2, ,28.6,20.3,93,54,2.10,21.46
BRISBANE,14/11/2014,6.1,0.2, ,30.0,20.9,82,44,2.35,28.59
BRISBANE,15/11/2014,6.3,0.0, ,32.2,21.4,76,48,2.08,28.49
BRISBANE,16/11/2014,6.4,0.0, ,38.9,23.0,83,20,1.69,24.27
BRISBANE,17/11/2014,6.1,0.0, ,30.3,23.4,83,48,2.79,26.86
BRISBANE,18/11/2014,3.1,2.6, ,28.3,22.3,92,72,1.79,13.14
BRISBANE,19/11/2014,3.2,13.8, ,30.0,24.0,95,60,2.01,12.02
BRISBANE,20/11/2014,4.5,56.0, ,28.9,19.1,96,59,1.93,21.75
BRISBANE,21/11/2014,5.8,0.0, ,30.4,22.8,89,56,2.46,26.59
BRISBANE,22/11/2014,6.2,0.0, ,31.5,24.2,81,57,2.58,27.69
BRISBANE,23/11/2014,6.3,0.0, ,30.4,24.1,83,52,2.62,28.51
BRISBANE,24/11/2014,6.5,0.0, ,30.5,22.6,82,48,2.73,29.33
BRISBANE,25/11/2014,6.3,0.0, ,31.1,21.4,84,43,2.14,29.37
BRISBANE,26/11/2014,3.8,3.6, ,29.1,23.4,92,56,1.58,16.04
BRISBANE,27/11/2014,5.4,3.0, ,32.0,23.4,98,47,2.10,23.38
BRISBANE,28/11/2014,3.9,43.4, ,27.4,17.8,93,48,2.63,15.12
BRISBANE,29/11/2014,6.0,1.0, ,27.3,19.4,91,37,2.23,30.19
BRISBANE,30/11/2014,5.6,0.0, ,27.8,16.4,86,44,1.61,29.28
Totals:,,157.1,142, ,,,,,, 
