'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2014,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 January 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2014 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2014,5.5,0.0, ,28.4,19.1,85,45,1.69,27.25
BRISBANE,02/12/2014,4.1,0.0, ,29.1,21.6,84,47,1.61,17.08
BRISBANE,03/12/2014,5.9,0.2, ,29.8,20.2,82,55,1.96,28.61
BRISBANE,04/12/2014,6.0,0.0, ,30.3,22.7,85,51,2.12,27.65
BRISBANE,05/12/2014,4.3,0.0, ,30.0,23.5,89,51,1.86,17.28
BRISBANE,06/12/2014,2.9,11.6, ,28.4,22.0,92,63,1.45,11.19
BRISBANE,07/12/2014,5.4,1.4, ,30.3,22.0,92,54,1.68,25.55
BRISBANE,08/12/2014,3.0,0.0, ,30.4,24.4,94,65,1.56,11.43
BRISBANE,09/12/2014,5.0,25.2, ,33.2,21.7,95,49,1.41,22.19
BRISBANE,10/12/2014,4.9,0.6, ,29.9,21.6,90,60,1.51,23.23
BRISBANE,11/12/2014,2.9,0.0, ,32.2,24.4,94,57,1.52,10.00
BRISBANE,12/12/2014,2.1,27.0, ,24.7,20.4,93,66,1.34,7.40
BRISBANE,13/12/2014,2.9,3.8, ,24.9,18.7,77,56,2.49,8.05
BRISBANE,14/12/2014,3.7,0.0, ,26.3,18.7,75,51,2.18,13.64
BRISBANE,15/12/2014,6.1,0.0, ,28.8,17.6,81,37,1.66,31.10
BRISBANE,16/12/2014,5.8,0.0, ,30.0,17.5,91,53,1.59,29.98
BRISBANE,17/12/2014,6.7,0.0, ,35.0,22.4,90,39,1.35,30.89
BRISBANE,18/12/2014,5.4,1.2, ,32.4,24.2,91,58,2.00,23.52
BRISBANE,19/12/2014,6.9,16.8, ,34.7,20.8,91,24,1.96,29.35
BRISBANE,20/12/2014,5.1,0.0, ,29.1,21.8,76,47,2.54,20.30
BRISBANE,21/12/2014,4.8,0.0, ,29.3,20.7,80,51,1.94,20.53
BRISBANE,22/12/2014,5.8,0.0, ,28.5,18.9,86,44,2.12,27.98
BRISBANE,23/12/2014,5.2,0.0, ,28.8,19.1,80,49,1.68,24.80
BRISBANE,24/12/2014,6.1,0.0, ,30.3,20.8,81,47,1.58,29.89
BRISBANE,25/12/2014,5.2,0.0, ,30.2,21.0,88,47,1.57,24.01
BRISBANE,26/12/2014,4.2,0.0, ,31.7,24.4,81,54,1.68,16.07
BRISBANE,27/12/2014,1.3,7.2, ,23.4,20.9,94,75,1.40,3.50
BRISBANE,28/12/2014,1.8,22.4, ,27.0,19.6,95,73,0.74,6.58
BRISBANE,29/12/2014,3.2,6.0, ,29.9,21.0,95,63,1.05,13.73
BRISBANE,30/12/2014,6.4,1.0, ,35.5,22.1,93,32,0.95,29.90
BRISBANE,31/12/2014,6.2,0.0, ,33.9,23.8,89,47,1.94,26.69
Totals:,,144.8,124.4, ,,,,,, 
