'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 February 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2015,5.3,12.2, ,31.3,25.2,92,61,2.11,23.40
BRISBANE,02/01/2015,5.4,0.2, ,30.5,24.8,84,59,2.50,23.17
BRISBANE,03/01/2015,3.3,1.2, ,28.9,24.6,94,58,2.20,11.68
BRISBANE,04/01/2015,5.3,16.8, ,30.2,21.1,95,49,1.66,24.83
BRISBANE,05/01/2015,2.7,0.0, ,28.1,21.8,93,67,1.14,10.91
BRISBANE,06/01/2015,6.0,21.6, ,29.5,21.5,93,46,2.29,28.34
BRISBANE,07/01/2015,3.5,0.0, ,27.1,20.6,90,59,1.96,14.57
BRISBANE,08/01/2015,3.7,1.8, ,28.4,19.8,89,56,1.54,15.71
BRISBANE,09/01/2015,5.4,3.6, ,29.5,20.8,91,51,1.89,25.70
BRISBANE,10/01/2015,6.0,0.0, ,30.2,22.1,87,52,2.11,28.04
BRISBANE,11/01/2015,2.6,0.0, ,28.2,23.4,86,65,1.31,9.79
BRISBANE,12/01/2015,2.7,14.6, ,30.4,22.5,94,58,0.98,10.04
BRISBANE,13/01/2015,2.9,38.6, ,28.4,22.6,95,67,1.79,11.83
BRISBANE,14/01/2015, ,0.2, , ,24.5,86,61,1.67,13.05
BRISBANE,15/01/2015, , , ,36.0, ,89,29,2.19,28.60
BRISBANE,16/01/2015,6.6,0.0, ,32.5,23.1,89,51,1.78,30.77
BRISBANE,17/01/2015,6.3,0.0, ,35.3,24.0,92,51,1.76,27.34
BRISBANE,18/01/2015,7.0,0.0, ,36.7,25.9,89,24,1.81,28.26
BRISBANE,19/01/2015,5.7,0.0, ,31.8,26.5,93,56,2.46,24.29
BRISBANE,20/01/2015,4.7,35.8, ,29.2,20.6,94,50,1.93,21.36
BRISBANE,21/01/2015,5.3,0.2, ,30.0,21.3,85,50,1.71,24.42
BRISBANE,22/01/2015,3.0,1.0, ,28.6,23.2,88,57,1.78,10.59
BRISBANE,23/01/2015,1.1,100.4, ,24.8,22.0,96,83,1.66,2.59
BRISBANE,24/01/2015,3.9,65.2, ,30.8,20.0,96,57,1.34,17.05
BRISBANE,25/01/2015,6.3,0.0, ,36.7,22.1,91,43,1.19,28.15
BRISBANE,26/01/2015,5.6,0.0, ,33.1,24.9,91,54,1.95,24.37
BRISBANE,27/01/2015,4.8,0.0, ,30.2,23.7,87,61,2.29,21.00
BRISBANE,28/01/2015,2.9,5.2, ,28.1,19.5,91,56,1.94,9.93
BRISBANE,29/01/2015,4.9,0.0, ,28.9,20.4,84,50,1.97,22.45
BRISBANE,30/01/2015,5.3,3.8, ,29.0,20.2,89,53,1.48,26.81
BRISBANE,31/01/2015,5.8,0.0, ,31.8,19.8,93,50,1.30,29.09
Totals:,,134,322.4, ,,,,,, 
