'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for February 2015,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 March 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/02/2015,6.6,17.2, ,34.4,20.3,92,26,1.62,30.29
BRISBANE,02/02/2015,5.6,0.0, ,29.6,22.1,89,54,2.56,26.23
BRISBANE,03/02/2015, ,2.2, , ,20.7,88,51,2.43,19.82
BRISBANE,04/02/2015, , , ,28.6, ,73,48,2.60,23.45
BRISBANE,05/02/2015,5.9,0.0, ,29.2,20.7,77,44,2.70,26.66
BRISBANE,06/02/2015,5.7,2.8, ,28.3,20.2,93,44,2.94,26.46
BRISBANE,07/02/2015,4.5,0.2, ,29.3,19.5,84,50,1.94,20.05
BRISBANE,08/02/2015,5.2,0.2, ,29.9,20.8,85,51,1.35,25.73
BRISBANE,09/02/2015,5.5,0.0, ,30.3,19.6,94,45,2.11,25.67
BRISBANE,10/02/2015,5.0,5.2, ,29.0,20.6,93,51,2.43,23.00
BRISBANE,11/02/2015,4.8,12.2, ,28.9,20.3,94,47,2.20,21.90
BRISBANE,12/02/2015,4.2,8.4, ,28.9,20.6,92,53,1.93,18.62
BRISBANE,13/02/2015,4.9,1.6, ,29.6,20.2,91,55,2.26,22.80
BRISBANE,14/02/2015,5.2,0.4, ,29.0,19.8,81,45,2.12,24.22
BRISBANE,15/02/2015,4.2,0.2, ,28.8,21.1,86,49,1.43,19.28
BRISBANE,16/02/2015,5.2,0.4, ,29.4,19.5,89,48,1.80,25.27
BRISBANE,17/02/2015,4.7,0.4, ,29.1,20.1,89,50,2.55,20.73
BRISBANE,18/02/2015,4.0,0.2, ,29.2,20.2,92,56,2.44,16.42
BRISBANE,19/02/2015,2.0,4.6, ,26.8,22.5,94,74,2.38,6.46
BRISBANE,20/02/2015,1.0,54.0, ,22.6,21.8,96,90,1.58,2.57
BRISBANE,21/02/2015,1.2,89.2, ,27.3,21.4,97,85,1.86,3.15
BRISBANE,22/02/2015,4.6,68.4, ,31.4,22.0,89,57,2.42,19.04
BRISBANE,23/02/2015,5.0,4.4, ,30.6,22.6,93,58,2.68,22.80
BRISBANE,24/02/2015,4.7,0.4, ,30.8,22.3,90,56,2.47,20.30
BRISBANE,25/02/2015,4.7,0.0, ,29.8,21.8,91,54,2.06,21.62
BRISBANE,26/02/2015,4.2,0.2, ,29.8,20.5,91,55,1.39,19.68
BRISBANE,27/02/2015,4.3,1.8, ,30.2,22.1,92,54,1.47,20.14
BRISBANE,28/02/2015,4.4,0.2, ,30.1,22.6,89,60,1.38,21.21
Totals:,,117.3,274.8, ,,,,,, 
