'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 May 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2015,1.8,68.2, ,24.8,19.1,96,71,1.52,7.36
BRISBANE,02/04/2015,2.8,8.8, ,26.7,19.3,95,65,1.40,14.33
BRISBANE,03/04/2015,2.9,38.4, ,27.7,21.0,96,64,1.57,13.60
BRISBANE,04/04/2015,2.9,0.4, ,28.5,21.0,94,61,1.20,14.16
BRISBANE,05/04/2015,3.6,1.8, ,28.5,21.7,93,52,1.82,17.24
BRISBANE,06/04/2015, ,0.0, , ,17.2,100,38,1.31,20.55
BRISBANE,07/04/2015, ,0.0, , , ,100,44,1.39,14.47
BRISBANE,08/04/2015, ,0.0, ,26.5, ,56,28,2.95,21.48
BRISBANE,09/04/2015,3.7,0.0, ,26.9,14.1,79,36,1.38,21.06
BRISBANE,10/04/2015,3.5,0.0, ,27.2,16.8,82,42,1.29,18.97
BRISBANE,11/04/2015,3.4,0.0, ,26.5,19.0,78,53,1.91,16.02
BRISBANE,12/04/2015,3.6,0.0, ,28.7,16.7,89,40,1.23,19.52
BRISBANE,13/04/2015,3.3,0.0, ,27.0,18.4,91,50,1.66,16.78
BRISBANE,14/04/2015,3.0,0.0, ,26.6,16.8,89,48,1.22,15.88
BRISBANE,15/04/2015,2.6,0.0, ,26.3,17.7,91,57,0.98,13.90
BRISBANE,16/04/2015,3.1,0.2, ,28.2,16.7,92,50,0.97,18.08
BRISBANE,17/04/2015,3.2,0.0, ,28.0,17.1,92,53,1.25,17.77
BRISBANE,18/04/2015,3.0,3.4, ,27.7,18.6,95,58,1.55,15.27
BRISBANE,19/04/2015,2.9,0.4, ,29.0,19.3,96,56,0.66,16.10
BRISBANE,20/04/2015,1.2,14.6, ,21.3,19.7,94,73,1.33,3.80
BRISBANE,21/04/2015, ,2.0, , ,14.6,73,40,2.88,18.47
BRISBANE,22/04/2015, ,0.2, ,23.8, ,100,44,2.17,18.84
BRISBANE,23/04/2015,2.9,0.0, ,25.7,12.8,89,36,0.95,18.78
BRISBANE,24/04/2015,3.1,0.0, ,28.3,15.6,91,41,1.14,17.63
BRISBANE,25/04/2015,3.2,0.0, ,29.4,15.5,89,27,1.06,18.16
BRISBANE,26/04/2015,4.2,0.0, ,23.4,16.7,75,28,3.36,18.98
BRISBANE,27/04/2015, ,0.0, , ,11.1,100,41,1.07,18.15
BRISBANE,28/04/2015, ,0.0, , , ,100,44,1.71,16.96
BRISBANE,29/04/2015, , , ,23.6, ,87,54,1.85,13.25
BRISBANE,30/04/2015,1.0,7.8, ,18.0,16.6,95,80,1.20,3.65
Totals:,,64.9,146.2, ,,,,,, 
