'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2015,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 June 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2015,1.0,56.2, ,21.0,16.2,97,87,2.05,3.69
BRISBANE,02/05/2015,2.6,182.6, ,24.9,16.6,94,58,0.93,16.83
BRISBANE,03/05/2015,2.2,0.0, ,24.2,16.7,95,60,1.03,13.23
BRISBANE,04/05/2015,2.6,0.0, ,27.3,15.8,95,48,0.96,16.15
BRISBANE,05/05/2015, ,0.0, , ,16.7,95,54,0.79,15.95
BRISBANE,06/05/2015, , , ,29.6, ,96,38,0.95,16.40
BRISBANE,07/05/2015, ,0.0, , ,14.4,88,43,1.40,16.29
BRISBANE,08/05/2015, , , ,24.4, ,89,34,1.20,16.37
BRISBANE,09/05/2015,2.6,0.0, ,23.7,11.7,87,29,1.52,14.45
BRISBANE,10/05/2015,2.7,0.0, ,25.1,9.9,76,28,1.40,16.28
BRISBANE,11/05/2015,3.2,0.0, ,26.0,10.3,78,33,2.20,16.27
BRISBANE,12/05/2015,2.4,0.0, ,25.9,12.7,87,42,1.04,15.89
BRISBANE,13/05/2015,2.7,0.0, ,24.9,9.8,93,35,1.63,15.96
BRISBANE,14/05/2015,2.7,0.0, ,20.9,9.7,75,29,1.96,16.08
BRISBANE,15/05/2015,2.5,0.0, ,24.1,8.1,73,40,1.53,14.52
BRISBANE,16/05/2015,2.6,0.0, ,24.0,14.2,85,47,2.32,11.80
BRISBANE,17/05/2015,2.0,1.0, ,23.0,14.9,95,56,1.50,11.31
BRISBANE,18/05/2015,1.7,6.6, ,22.9,16.9,95,67,1.38,8.67
BRISBANE,19/05/2015,1.5,0.8, ,22.7,15.9,94,69,0.70,9.52
BRISBANE,20/05/2015, ,0.0, , ,15.9,100,59,0.86,13.18
BRISBANE,21/05/2015, ,0.2, ,25.2, ,98,66,0.94,9.16
BRISBANE,22/05/2015,2.8,1.4, ,19.9,15.4,86,44,3.26,15.10
BRISBANE,23/05/2015,2.6,0.0, ,22.8,14.0,80,42,2.06,13.87
BRISBANE,24/05/2015,2.5,0.0, ,23.6,13.7,84,46,1.86,14.34
BRISBANE,25/05/2015,2.0,0.0, ,23.5,12.7,89,49,1.24,12.26
BRISBANE,26/05/2015, ,0.0, , ,12.7,94,55,0.91,12.09
BRISBANE,27/05/2015, , , ,24.3, ,96,54,0.89,12.45
BRISBANE,28/05/2015,1.9,0.0, ,25.1,13.0,97,48,0.81,13.83
BRISBANE,29/05/2015,1.9,0.0, ,25.5,13.1,97,57,0.84,13.61
BRISBANE,30/05/2015,2.0,0.0, ,27.6,15.3,97,50,0.68,13.44
BRISBANE,31/05/2015,1.5,0.0, ,26.1,16.1,95,63,0.47,9.49
Totals:,,52.2,248.8, ,,,,,, 
