'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2015,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 July 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2015,2.3,0.0, ,20.5,18.2,79,46,2.37,9.02
BRISBANE,02/06/2015,1.9,0.0, ,19.5,9.0,88,34,1.18,14.83
BRISBANE,03/06/2015,1.6,0.0, ,19.7,7.0,95,40,0.93,12.61
BRISBANE,04/06/2015,1.8,0.0, ,22.3,7.4,93,43,0.98,14.15
BRISBANE,05/06/2015,2.3,0.0, ,21.4,7.0,93,28,1.76,14.21
BRISBANE,06/06/2015,2.1,0.0, ,22.1,9.7,89,49,1.95,13.04
BRISBANE,07/06/2015,2.0,0.0, ,22.8,12.3,88,52,1.52,13.45
BRISBANE,08/06/2015,1.8,0.2, ,24.5,11.8,94,49,0.86,12.81
BRISBANE,09/06/2015,1.7,0.0, ,24.2,11.7,96,49,0.80,11.61
BRISBANE,10/06/2015,2.1,0.0, ,24.2,12.7,93,48,1.64,12.80
BRISBANE,11/06/2015,1.6,0.0, ,21.8,15.1,91,69,2.26,8.04
BRISBANE,12/06/2015,1.6,4.6, ,20.1,13.4,89,64,1.71,9.31
BRISBANE,13/06/2015,1.6,1.2, ,21.4,14.2,94,68,1.64,10.85
BRISBANE,14/06/2015,1.5,4.2, ,22.2,15.6,95,67,0.93,10.44
BRISBANE,15/06/2015,1.7,4.0, ,23.2,16.0,96,60,1.32,10.34
BRISBANE,16/06/2015,1.2,1.0, ,21.5,16.0,95,79,0.77,7.60
BRISBANE,17/06/2015,1.0,3.4, ,21.0,16.3,98,73,0.58,4.62
BRISBANE,18/06/2015,1.8,2.4, ,22.7,12.0,99,48,1.03,13.50
BRISBANE,19/06/2015,2.0,0.0, ,21.6,10.4,94,38,1.66,13.21
BRISBANE,20/06/2015,1.8,0.0, ,20.9,9.2,89,41,1.25,13.76
BRISBANE,21/06/2015,2.0,0.0, ,21.1,10.0,83,45,1.55,13.61
BRISBANE,22/06/2015,1.6,0.0, ,20.5,12.6,88,60,1.30,9.99
BRISBANE,23/06/2015,1.4,0.0, ,20.6,12.2,93,64,0.94,10.08
BRISBANE,24/06/2015,1.3,0.0, ,19.6,12.5,95,65,0.94,9.58
BRISBANE,25/06/2015,1.3,0.0, ,19.6,11.2,98,68,1.23,8.17
BRISBANE,26/06/2015,2.1,0.2, ,22.7,12.6,87,55,1.97,12.38
BRISBANE,27/06/2015,1.9,0.0, ,22.6,14.9,85,61,1.81,10.99
BRISBANE,28/06/2015,1.6,2.4, ,22.2,14.6,96,67,1.20,10.46
BRISBANE,29/06/2015,1.1,7.0, ,18.4,15.4,96,83,1.07,7.28
BRISBANE,30/06/2015,1.7,4.0, ,23.1,14.2,96,52,0.87,12.29
Totals:,,51.4,34.6, ,,,,,, 
