'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2015,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 August 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2015,1.7,0.2, ,23.3,12.4,96,53,0.98,12.72
BRISBANE,02/07/2015,2.4,0.0, ,19.6,12.2,85,32,2.38,13.03
BRISBANE,03/07/2015,2.1,0.0, ,20.7,7.8,76,39,1.65,14.14
BRISBANE,04/07/2015,1.7,0.0, ,21.3,9.9,95,50,0.96,13.47
BRISBANE,05/07/2015,1.9,0.0, ,22.8,9.7,97,37,1.10,13.57
BRISBANE,06/07/2015,1.8,0.0, ,24.1,9.3,92,37,0.83,14.01
BRISBANE,07/07/2015,2.0,0.0, ,23.0,10.2,86,23,1.12,14.51
BRISBANE,08/07/2015,1.8,0.0, ,20.4,7.0,83,52,1.64,10.75
BRISBANE,09/07/2015,1.5,0.0, ,19.4,11.9,88,58,1.24,9.82
BRISBANE,10/07/2015,1.5,0.2, ,20.2,9.7,94,55,1.12,10.24
BRISBANE,11/07/2015,1.5,0.4, ,21.2,11.4,97,67,0.86,11.29
BRISBANE,12/07/2015,3.0,0.6, ,18.3,12.2,78,26,3.51,14.88
BRISBANE,13/07/2015,3.0,0.2, ,18.2,8.4,60,40,3.78,14.36
BRISBANE,14/07/2015,2.9,0.0, ,19.2,10.2,70,37,3.23,14.78
BRISBANE,15/07/2015,1.4,0.0, ,18.2,5.4,87,43,0.70,12.05
BRISBANE,16/07/2015,1.6,0.0, ,17.4,7.6,90,45,1.17,11.02
BRISBANE,17/07/2015,2.7,0.0, ,16.1,6.9,71,45,4.04,14.88
BRISBANE,18/07/2015,2.1,0.0, ,19.4,6.9,79,35,1.53,15.00
BRISBANE,19/07/2015,1.8,0.0, ,19.3,8.2,80,56,1.70,11.83
BRISBANE,20/07/2015,2.2,0.0, ,20.9,11.7,83,48,1.83,12.86
BRISBANE,21/07/2015,1.6,0.2, ,21.6,10.6,95,58,1.10,10.32
BRISBANE,22/07/2015,1.2,2.8, ,18.7,10.1,95,82,1.11,8.88
BRISBANE,23/07/2015,1.6,4.4, ,23.1,12.9,96,69,0.89,10.75
BRISBANE,24/07/2015,1.7,0.0, ,24.4,14.1,99,64,0.99,10.42
BRISBANE,25/07/2015,2.0,0.0, ,24.3,16.5,94,52,1.09,11.81
BRISBANE,26/07/2015,2.0,0.2, ,25.1,13.1,96,60,1.00,13.29
BRISBANE,27/07/2015,2.6,0.0, ,22.9,13.5,81,35,1.93,13.92
BRISBANE,28/07/2015,2.2,0.0, ,21.4,10.0,72,36,1.24,15.51
BRISBANE,29/07/2015,2.2,0.0, ,21.7,7.8,85,32,1.17,15.73
BRISBANE,30/07/2015,2.1,0.0, ,22.8,10.2,95,47,0.94,15.18
BRISBANE,31/07/2015,2.2,0.0, ,24.1,9.7,97,31,1.00,14.79
Totals:,,62,9.2, ,,,,,, 
