'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for August 2015,,,,,,,,,,
Issued at 22:30 GMT on Tuesday 01 September 2015,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/08/2015,2.2,0.0, ,23.6,9.1,95,45,0.99,15.87
BRISBANE,02/08/2015,2.5,0.0, ,25.7,10.0,94,39,1.18,15.97
BRISBANE,03/08/2015,2.4,0.0, ,26.7,10.6,97,45,1.09,15.75
BRISBANE,04/08/2015,2.4,0.0, ,21.8,13.5,80,43,1.78,12.21
BRISBANE,05/08/2015,3.4,0.0, ,19.1,7.9,57,27,3.02,17.04
BRISBANE,06/08/2015,2.8,0.0, ,21.1,6.1,71,27,1.87,16.67
BRISBANE,07/08/2015,2.3,0.0, ,21.4,7.7,87,32,1.05,16.64
BRISBANE,08/08/2015,2.4,0.0, ,22.1,7.5,88,27,1.04,16.96
BRISBANE,09/08/2015,2.3,0.0, ,22.5,7.8,91,43,1.16,15.95
BRISBANE,10/08/2015,2.4,0.0, ,23.0,9.3,94,48,1.20,16.78
BRISBANE,11/08/2015,2.7,0.0, ,26.4,8.6,97,30,1.05,17.18
BRISBANE,12/08/2015,3.1,0.2, ,28.4,11.8,96,25,1.73,13.24
BRISBANE,13/08/2015,4.1,3.6, ,22.3,12.3,51,23,3.08,17.95
BRISBANE,14/08/2015,2.7,0.0, ,23.0,8.4,90,26,1.19,17.73
BRISBANE,15/08/2015,2.3,0.0, ,22.6,8.0,92,43,1.06,15.41
BRISBANE,16/08/2015,2.1,0.0, ,21.7,10.7,91,53,1.35,12.25
BRISBANE,17/08/2015,2.4,0.0, ,23.4,11.3,94,46,1.11,15.58
BRISBANE,18/08/2015, ,0.0, , ,10.3,96,27,1.09,18.09
BRISBANE,19/08/2015, ,0.0, ,22.8, ,100,45,1.51,14.58
BRISBANE,20/08/2015,2.2,0.0, ,22.1,11.4,90,52,1.57,11.50
BRISBANE,21/08/2015,2.1,0.4, ,22.4,15.3,91,64,1.28,11.60
BRISBANE,22/08/2015,2.5,2.2, ,24.5,16.9,95,64,1.01,15.14
BRISBANE,23/08/2015,2.1,0.0, ,24.1,16.0,96,60,1.04,10.88
BRISBANE,24/08/2015,2.5,0.0, ,25.3,17.1,92,55,1.31,12.63
BRISBANE,25/08/2015,3.0,2.2, ,29.1,16.8,97,45,1.10,16.34
BRISBANE,26/08/2015,3.3,0.0, ,28.5,15.7,94,32,1.33,16.70
BRISBANE,27/08/2015,1.7,0.0, ,23.9,16.2,91,34,0.75,6.01
BRISBANE,28/08/2015,2.8,5.0, ,24.7,14.8,95,44,1.00,16.64
BRISBANE,29/08/2015,2.3,0.2, ,22.9,11.9,95,49,1.13,12.82
BRISBANE,30/08/2015,3.5,13.6, ,23.2,14.1,95,27,1.78,19.78
BRISBANE,31/08/2015,3.7,0.2, ,23.7,11.3,61,21,1.86,19.78
Totals:,,76.2,27.6, ,,,,,, 
