'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for December 2015,,,,,,,,,,
Issued at 22:31 GMT on Friday 01 January 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2015 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/12/2015,5.6,0.0, ,31.3,22.1,86,53,1.98,25.10
BRISBANE,02/12/2015,1.5,0.4, ,27.9,23.8,90,67,0.90,4.00
BRISBANE,03/12/2015,4.6,2.0, ,27.9,21.2,90,42,2.57,18.54
BRISBANE,04/12/2015,3.9,0.2, ,25.6,17.3,78,50,2.10,16.75
BRISBANE,05/12/2015,5.5,0.0, ,28.4,16.9,82,45,2.09,26.91
BRISBANE,06/12/2015,5.8,0.0, ,29.1,17.5,82,38,1.85,28.45
BRISBANE,07/12/2015,5.8,0.0, ,29.8,18.0,84,48,1.85,28.76
BRISBANE,08/12/2015,5.7,0.0, ,30.7,18.3,89,46,1.71,27.50
BRISBANE,09/12/2015,5.0,0.0, ,30.8,20.7,83,51,1.78,21.77
BRISBANE,10/12/2015,5.5,0.0, ,32.3,23.1,85,50,1.76,24.00
BRISBANE,11/12/2015,5.8,0.6, ,32.5,20.0,89,51,1.74,26.56
BRISBANE,12/12/2015,1.3,1.0, ,22.4,22.2,88,68,1.02,2.88
BRISBANE,13/12/2015,3.2,9.8, ,27.3,19.7,92,41,1.39,12.26
BRISBANE,14/12/2015,5.8,0.8, ,29.1,17.6,91,50,1.66,30.14
BRISBANE,15/12/2015,5.3,0.0, ,29.9,19.8,89,51,1.56,25.77
BRISBANE,16/12/2015,2.7,0.0, ,27.3,21.9,82,47,1.32,8.96
BRISBANE,17/12/2015,5.4,3.8, ,29.7,19.8,91,40,2.06,24.19
BRISBANE,18/12/2015,4.4,3.2, ,28.6,18.7,92,47,1.82,19.79
BRISBANE,19/12/2015,5.6,0.0, ,28.7,18.4,88,47,1.70,28.05
BRISBANE,20/12/2015,6.0,0.0, ,30.1,18.8,84,39,1.85,28.90
BRISBANE,21/12/2015,6.6,0.0, ,31.2,21.9,77,39,1.80,31.05
BRISBANE,22/12/2015,5.1,0.0, ,30.5,21.6,84,45,1.75,21.91
BRISBANE,23/12/2015,5.8,0.0, ,30.6,20.8,83,38,1.75,26.70
BRISBANE,24/12/2015,2.4,3.2, ,28.1,20.8,92,52,1.09,8.19
BRISBANE,25/12/2015,4.5,9.2, ,28.4,19.7,87,51,1.72,20.37
BRISBANE,26/12/2015,6.1,0.4, ,32.0,19.0,88,47,1.70,29.09
BRISBANE,27/12/2015,3.4,0.8, ,31.2,23.6,90,55,1.19,13.27
BRISBANE,28/12/2015,4.5,0.8, ,29.0,20.1,74,46,2.88,14.61
BRISBANE,29/12/2015,4.1,0.0, ,26.5,18.5,72,50,2.35,15.52
BRISBANE,30/12/2015,6.0,0.0, ,29.8,19.1,72,35,2.45,25.52
BRISBANE,31/12/2015,6.2,0.0, ,29.9,19.4,73,36,2.55,26.49
Totals:,,149.1,36.2, ,,,,,, 
