'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2016,,,,,,,,,,
Issued at 22:31 GMT on Monday 01 February 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2016,5.9,0.0, ,30.8,19.1,70,34,1.98,25.53
BRISBANE,02/01/2016,6.2,0.0, ,30.1,18.5,74,38,1.89,29.92
BRISBANE,03/01/2016,3.7,0.0, ,28.0,21.0,91,51,1.74,14.95
BRISBANE,04/01/2016,2.6,8.8, ,26.8,18.5,93,61,1.15,10.62
BRISBANE,05/01/2016, ,23.2, , ,20.6,95,91,1.12,3.42
BRISBANE,06/01/2016, , , , , ,96,39,1.98,30.05
BRISBANE,07/01/2016, , , , , ,91,46,1.87,26.92
BRISBANE,08/01/2016, , , ,29.5, ,72,39,1.61,22.57
BRISBANE,09/01/2016,5.7,0.0, ,30.3,19.4,82,45,1.52,27.37
BRISBANE,10/01/2016,5.6,0.0, ,30.7,20.6,87,44,1.47,26.61
BRISBANE,11/01/2016, ,0.0, , ,19.9,87,47,1.40,30.61
BRISBANE,12/01/2016, , , ,31.4, ,80,48,1.81,30.28
BRISBANE,13/01/2016,6.2,0.0, ,30.9,21.8,82,46,1.68,29.58
BRISBANE,14/01/2016,5.9,0.0, ,31.1,20.3,92,48,1.53,29.03
BRISBANE,15/01/2016,6.0,0.0, ,31.9,21.9,83,48,2.56,25.30
BRISBANE,16/01/2016,2.7,1.0, ,26.4,18.7,88,49,2.51,6.37
BRISBANE,17/01/2016,5.3,0.0, ,28.3,18.0,76,42,2.54,22.86
BRISBANE,18/01/2016,5.2,0.0, ,28.6,19.7,78,36,1.95,22.72
BRISBANE,19/01/2016,5.8,0.0, ,29.9,18.4,83,44,1.63,28.48
BRISBANE,20/01/2016,6.0,0.0, ,30.5,19.3,89,47,1.51,30.41
BRISBANE,21/01/2016,6.4,0.0, ,30.7,21.7,70,46,2.10,29.76
BRISBANE,22/01/2016,6.1,0.0, ,32.7,21.3,76,42,1.80,27.59
BRISBANE,23/01/2016,2.5,0.0, ,30.1,23.2,92,50,1.49,7.09
BRISBANE,24/01/2016,5.1,10.2, ,31.8,21.1,92,49,1.96,21.94
BRISBANE,25/01/2016,4.3,0.0, ,30.8,21.9,88,52,1.71,18.03
BRISBANE,26/01/2016,2.4,2.0, ,28.5,23.0,91,59,1.65,7.16
BRISBANE,27/01/2016,3.9,0.4, ,29.4,20.6,85,55,1.78,15.94
BRISBANE,28/01/2016,1.9,0.2, ,29.9,23.2,90,70,1.14,5.76
BRISBANE,29/01/2016,4.7,1.8, ,35.7,23.3,92,49,1.38,18.63
BRISBANE,30/01/2016,2.5,1.2, ,30.8,23.2,91,65,1.36,8.64
BRISBANE,31/01/2016,5.2,2.6, ,34.0,23.6,88,54,1.73,21.75
Totals:,,117.8,51.4, ,,,,,, 
