'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2016,,,,,,,,,,
Issued at 22:30 GMT on Wednesday 01 June 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2016,1.4,1.4, ,24.6,21.9,96,79,0.56,6.68
BRISBANE,02/05/2016,2.2,15.0, ,27.4,19.3,96,62,0.75,12.39
BRISBANE,03/05/2016,3.1,10.6, ,29.6,19.2,95,45,1.31,16.60
BRISBANE,04/05/2016,2.9,0.0, ,28.9,17.4,91,28,1.00,17.62
BRISBANE,05/05/2016,2.8,0.0, ,28.0,16.0,91,43,1.20,16.73
BRISBANE,06/05/2016,2.7,0.0, ,28.5,16.4,95,48,0.95,16.57
BRISBANE,07/05/2016,2.7,0.0, ,27.7,17.1,95,44,1.21,15.68
BRISBANE,08/05/2016,2.4,0.0, ,27.3,16.1,92,55,1.08,14.41
BRISBANE,09/05/2016,2.6,0.6, ,28.2,18.1,96,58,1.37,14.12
BRISBANE,10/05/2016,2.7,0.0, ,28.4,20.9,88,44,1.98,10.03
BRISBANE,11/05/2016,2.5,0.0, ,25.6,18.6,82,27,1.34,10.79
BRISBANE,12/05/2016,3.2,0.0, ,26.4,9.3,82,22,1.90,16.82
BRISBANE,13/05/2016,2.5,0.0, ,27.0,12.0,92,35,1.08,16.71
BRISBANE,14/05/2016,2.3,0.0, ,26.9,14.7,93,47,1.03,14.32
BRISBANE,15/05/2016,2.5,0.0, ,27.3,13.6,94,35,0.97,16.52
BRISBANE,16/05/2016,2.4,0.0, ,28.1,13.1,92,36,0.93,15.24
BRISBANE,17/05/2016,2.4,0.0, ,28.0,14.6,95,44,0.91,15.22
BRISBANE,18/05/2016,2.3,0.0, ,27.7,14.3,94,47,0.83,15.14
BRISBANE,19/05/2016,2.1,0.0, ,30.4,15.8,95,46,0.75,11.94
BRISBANE,20/05/2016,2.3, , ,29.2,10.3,93,15,0.87,15.01
BRISBANE,21/05/2016,2.4,0.0, ,26.6,14.9,79,48,1.46,13.49
BRISBANE,22/05/2016,1.9,0.0, ,26.5,17.6,90,51,0.95,10.22
BRISBANE,23/05/2016,2.3,0.0, ,28.1,14.7,94,43,0.98,14.68
BRISBANE,24/05/2016,2.3,0.0, ,27.4,15.6,93,32,0.95,14.70
BRISBANE,25/05/2016,2.3,0.0, ,25.6,11.7,78,17,1.06,14.65
BRISBANE,26/05/2016,2.5,0.0, ,28.2,9.6,85,35,1.30,14.48
BRISBANE,27/05/2016,3.5,0.0, ,25.6,16.8,78,37,3.41,14.20
BRISBANE,28/05/2016,3.3,0.0, ,23.6,11.2,64,29,2.76,14.44
BRISBANE,29/05/2016,2.3,0.0, ,23.8,11.9,85,24,1.34,13.97
BRISBANE,30/05/2016,2.0,0.0, ,23.7,9.6,90,38,1.06,14.20
BRISBANE,31/05/2016,2.0,0.0, ,24.9,11.3,85,40,1.21,12.12
Totals:,,76.8,27.6, ,,,,,, 
