'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2016,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 August 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2016,2.3,0.0, ,22.6,10.9,94,31,1.80,14.05
BRISBANE,02/07/2016,1.7,0.0, ,21.6,8.7,91,30,0.90,14.08
BRISBANE,03/07/2016,1.7,0.0, ,22.1,7.2,94,38,0.83,14.12
BRISBANE,04/07/2016,1.7,0.0, ,22.7,8.8,95,46,0.88,13.61
BRISBANE,05/07/2016,1.2,2.0, ,19.4,13.6,94,61,1.07,5.86
BRISBANE,06/07/2016,2.9,6.8, ,16.6,10.9,64,46,4.36,14.24
BRISBANE,07/07/2016,2.7,0.2, ,20.2,11.2,70,47,3.05,14.29
BRISBANE,08/07/2016,2.2,0.0, ,23.1,10.4,86,45,1.58,14.33
BRISBANE,09/07/2016,1.9,0.0, ,23.0,10.2,90,40,1.00,14.36
BRISBANE,10/07/2016,2.0,0.0, ,23.6,10.7,93,41,1.10,14.38
BRISBANE,11/07/2016,1.4,0.0, ,21.3,11.8,95,72,0.79,9.93
BRISBANE,12/07/2016,1.2,0.0, ,23.5,13.5,96,64,0.21,8.19
BRISBANE,13/07/2016,3.0,0.2, ,21.1,16.8,70,27,2.59,12.69
BRISBANE,14/07/2016,1.8,0.0, ,17.8,11.7,79,34,1.41,9.89
BRISBANE,15/07/2016,1.8,0.0, ,18.9,12.2,80,61,1.54,11.66
BRISBANE,16/07/2016,1.2,0.0, ,18.2,14.0,95,61,1.38,4.91
BRISBANE,17/07/2016,1.8,12.6, ,23.1,14.3,95,62,1.38,11.22
BRISBANE,18/07/2016,1.7,6.0, ,23.5,15.6,95,60,0.86,11.01
BRISBANE,19/07/2016,2.1,0.4, ,24.7,15.6,98,56,0.93,14.39
BRISBANE,20/07/2016,2.1,0.0, ,25.6,14.4,95,57,0.94,14.05
BRISBANE,21/07/2016,2.1,0.0, ,27.1,14.8,97,53,0.65,14.41
BRISBANE,22/07/2016,2.2,0.0, ,27.6,15.8,97,56,0.82,14.79
BRISBANE,23/07/2016,3.3,0.0, ,29.1,18.0,92,35,2.25,14.84
BRISBANE,24/07/2016,2.3,0.0, ,22.8,13.3,77,26,1.07,15.40
BRISBANE,25/07/2016,2.5,0.0, ,23.0,12.7,80,28,1.52,15.33
BRISBANE,26/07/2016,2.1,0.0, ,19.4,13.1,58,34,1.26,11.03
BRISBANE,27/07/2016,2.4,0.0, ,20.3,14.4,65,36,1.97,8.21
BRISBANE,28/07/2016,2.2,0.0, ,22.6,9.2,89,35,1.09,15.56
BRISBANE,29/07/2016,2.3,0.0, ,24.0,9.2,92,35,1.02,15.88
BRISBANE,30/07/2016,2.0,0.0, ,23.4,8.5,86,26,0.67,15.99
BRISBANE,31/07/2016,2.2,0.0, ,24.5,8.5,87,38,0.83,16.07
Totals:,,64,28.2, ,,,,,, 
