'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for November 2016,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 December 2016,,,,,,,,,,
© Copyright Commonwealth of Australia 2016 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/11/2016,2.5,1.4, ,26.3,20.8,91,67,1.02,10.70
BRISBANE,02/11/2016, , , , ,13.0,86,26,1.62,28.83
BRISBANE,03/11/2016, , , , , ,82,42,1.64,21.50
BRISBANE,04/11/2016, , , ,29.3, ,74,38,1.83,28.81
BRISBANE,05/11/2016,6.2,0.0, ,34.4,17.2,90,19,1.42,29.08
BRISBANE,06/11/2016,6.3,0.0, ,33.3,16.7,94,9,1.58,29.19
BRISBANE,07/11/2016,5.3,0.0, ,28.9,20.4,85,52,2.26,24.87
BRISBANE,08/11/2016,5.8,0.0, ,32.5,22.6,88,45,1.90,25.86
BRISBANE,09/11/2016,5.7,1.0, ,31.7,21.6,86,49,2.22,25.66
BRISBANE,10/11/2016,5.6,3.6, ,32.5,21.2,89,47,1.61,25.67
BRISBANE,11/11/2016,5.6,0.0, ,31.8,19.8,92,46,1.58,26.95
BRISBANE,12/11/2016,4.5,0.0, ,31.6,23.0,94,52,1.49,19.37
BRISBANE,13/11/2016,5.4,19.6, ,36.0,21.7,91,37,1.31,22.77
BRISBANE,14/11/2016,6.7,0.2, ,30.1,21.6,83,19,2.74,28.11
BRISBANE,15/11/2016,5.4,0.0, ,27.4,17.5,78,33,1.95,26.02
BRISBANE,16/11/2016,5.5,0.0, ,28.1,16.9,84,45,1.55,29.04
BRISBANE,17/11/2016,5.5,0.0, ,28.3,17.9,81,36,2.17,25.53
BRISBANE,18/11/2016,5.4,0.0, ,27.3,17.3,82,40,1.91,27.22
BRISBANE,19/11/2016, ,0.0, , ,17.9,81,47,1.42,21.16
BRISBANE,20/11/2016, , , ,28.6, ,100,39,1.60,29.97
BRISBANE,21/11/2016,6.2,0.0, ,29.7,18.0,89,30,1.90,30.16
BRISBANE,22/11/2016,5.9,0.0, ,28.8,17.6,88,37,2.20,28.69
BRISBANE,23/11/2016,6.0,0.0, ,31.2,19.7,83,45,1.83,28.21
BRISBANE,24/11/2016,7.4,0.0, ,35.1,20.6,90,23,2.53,30.47
BRISBANE,25/11/2016,5.9,0.0, ,29.0,18.1,76,44,2.15,28.43
BRISBANE,26/11/2016,3.8,0.0, ,27.0,22.0,84,53,2.07,15.17
BRISBANE,27/11/2016,5.7,1.0, ,29.7,20.7,78,44,1.82,26.73
BRISBANE,28/11/2016,6.1,0.0, ,29.9,20.3,80,38,1.87,29.27
BRISBANE,29/11/2016,6.6,0.0, ,30.7,20.9,71,34,1.98,30.82
BRISBANE,30/11/2016,5.8,0.0, ,31.3,19.9,88,38,1.76,26.67
Totals:,,140.8,26.8, ,,,,,, 
