'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for January 2017,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 February 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/01/2017,7.4,0.0, ,34.7,24.8,80,46,2.48,31.11
BRISBANE,02/01/2017,6.2,0.0, ,32.5,26.1,95,55,2.51,27.29
BRISBANE,03/01/2017,2.4,98.0, ,26.8,22.3,93,71,2.64,7.73
BRISBANE,04/01/2017,5.4,0.6, ,29.6,22.4,81,43,3.29,19.70
BRISBANE,05/01/2017,4.0,0.0, ,29.4,21.5,80,53,1.86,15.87
BRISBANE,06/01/2017,4.2,0.4, ,28.6,21.1,90,53,2.02,17.55
BRISBANE,07/01/2017,5.2,23.4, ,28.5,21.7,94,45,2.66,22.93
BRISBANE,08/01/2017,5.5,0.2, ,29.2,19.5,90,44,2.05,26.17
BRISBANE,09/01/2017,5.4,0.0, ,30.0,19.3,85,57,1.76,26.20
BRISBANE,10/01/2017,5.9,0.0, ,31.2,22.5,88,56,1.80,27.96
BRISBANE,11/01/2017,6.2,0.0, ,32.3,23.7,83,53,1.75,28.46
BRISBANE,12/01/2017,6.5,0.0, ,35.6,23.5,85,44,1.72,27.85
BRISBANE,13/01/2017,6.5,0.2, ,33.3,25.1,90,46,2.16,28.26
BRISBANE,14/01/2017,7.1,0.0, ,35.0,25.2,88,50,2.25,30.82
BRISBANE,15/01/2017,2.3,0.0, ,32.0,24.6,97,64,1.43,7.59
BRISBANE,16/01/2017,5.8,83.2, ,31.2,22.6,91,56,1.75,27.58
BRISBANE,17/01/2017,6.1,0.2, ,31.9,23.0,90,54,1.46,29.32
BRISBANE,18/01/2017,6.8,0.0, ,35.0,22.6,84,43,1.57,30.80
BRISBANE,19/01/2017,4.4,0.0, ,30.9,25.8,85,55,2.02,17.29
BRISBANE,20/01/2017,5.8,0.0, ,32.3,24.6,81,57,1.66,26.29
BRISBANE,21/01/2017,4.3,0.0, ,33.6,28.0,88,56,2.17,15.26
BRISBANE,22/01/2017,5.3,2.4, ,29.1,23.0,79,49,2.34,22.71
BRISBANE,23/01/2017,5.0,0.0, ,29.2,19.8,82,44,1.50,23.61
BRISBANE,24/01/2017,6.3,0.0, ,32.2,19.5,82,39,1.60,30.41
BRISBANE,25/01/2017,6.4,0.0, ,31.4,22.5,78,51,1.83,30.23
BRISBANE,26/01/2017,6.1,0.0, ,32.3,24.1,88,47,1.60,27.73
BRISBANE,27/01/2017,2.0,3.2, ,29.1,23.6,92,61,0.93,6.79
BRISBANE,28/01/2017,5.3,6.6, ,30.6,22.9,93,58,1.59,25.05
BRISBANE,29/01/2017,6.1,0.0, ,31.8,21.4,92,49,1.76,28.91
BRISBANE,30/01/2017, ,0.0, , ,23.0,89,53,1.44,26.87
BRISBANE,31/01/2017, , , ,32.5, ,85,37,1.79,29.62
Totals:,,155.9,218.4, ,,,,,, 
