'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for March 2017,,,,,,,,,,
Issued at 06:30 GMT on Saturday 01 April 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/03/2017,5.3,0.0, ,32.6,20.9,83,48,2.00,23.28
BRISBANE,02/03/2017,4.5,0.4, ,32.1,22.1,87,51,1.65,19.77
BRISBANE,03/03/2017,5.0,0.0, ,32.3,21.8,85,50,1.79,22.39
BRISBANE,04/03/2017,4.2,0.0, ,31.8,23.5,86,51,1.48,18.21
BRISBANE,05/03/2017,4.5,2.6, ,34.3,22.4,92,38,1.31,18.68
BRISBANE,06/03/2017,4.7,0.2, ,31.5,22.7,85,48,1.68,20.68
BRISBANE,07/03/2017,5.7,0.0, ,33.0,22.6,73,29,1.87,24.54
BRISBANE,08/03/2017,4.1,0.0, ,31.0,20.5,62,35,1.66,14.57
BRISBANE,09/03/2017,4.8,0.0, ,31.1,19.7,75,34,1.73,20.77
BRISBANE,10/03/2017,5.5,0.0, ,31.9,19.5,71,29,2.03,24.30
BRISBANE,11/03/2017,5.3,0.0, ,31.1,20.7,76,40,1.95,24.16
BRISBANE,12/03/2017,4.8,0.4, ,32.9,21.5,82,43,1.57,21.36
BRISBANE,13/03/2017,2.4,0.0, ,27.8,23.9,85,63,1.75,7.68
BRISBANE,14/03/2017,3.3,0.0, ,30.4,22.5,90,49,2.07,11.31
BRISBANE,15/03/2017,2.8,2.8, ,28.9,21.8,94,65,1.19,12.17
BRISBANE,16/03/2017,4.1,0.2, ,33.1,22.5,90,48,1.33,17.79
BRISBANE,17/03/2017,4.1,0.0, ,35.7,21.6,94,36,1.36,15.90
BRISBANE,18/03/2017,4.5,41.8, ,32.8,20.8,80,45,2.02,17.89
BRISBANE,19/03/2017,2.8,11.0, ,29.6,22.9,95,64,1.10,12.43
BRISBANE,20/03/2017,1.8,24.2, ,27.3,22.8,96,75,1.19,7.18
BRISBANE,21/03/2017,2.7,90.6, ,28.6,22.8,95,66,1.59,11.56
BRISBANE,22/03/2017,2.0,3.8, ,27.9,23.2,92,70,0.59,8.62
BRISBANE,23/03/2017,3.0,0.6, ,29.3,23.1,93,57,0.98,13.72
BRISBANE,24/03/2017,2.9,0.8, ,29.4,22.4,92,67,1.44,12.48
BRISBANE,25/03/2017,3.5,10.0, ,28.0,21.5,83,63,1.61,16.89
BRISBANE,26/03/2017, ,0.2, , ,20.5,100,55,0.98,21.05
BRISBANE,27/03/2017, ,0.0, ,30.1, ,100,53,1.47,18.41
BRISBANE,28/03/2017,4.1,0.0, ,31.3,21.2,90,48,1.06,20.73
BRISBANE,29/03/2017,2.6,0.0, ,29.5,22.0,93,69,1.18,11.79
BRISBANE,30/03/2017,0.9,11.6, ,25.8,23.4,97,87,3.57,0.77
BRISBANE,31/03/2017,4.2,96.8, ,28.3,21.7,87,52,3.11,17.41
Totals:,,110.1,298, ,,,,,, 
