'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for April 2017,,,,,,,,,,
Issued at 22:30 GMT on Monday 01 May 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/04/2017,4.4,0.2, ,29.0,20.0,69,39,1.96,20.11
BRISBANE,02/04/2017,3.7,0.0, ,27.7,20.5,71,44,2.09,15.01
BRISBANE,03/04/2017,3.3,0.0, ,25.6,18.6,74,52,2.30,13.50
BRISBANE,04/04/2017,3.0,0.0, ,24.5,17.4,76,53,2.12,12.65
BRISBANE,05/04/2017,3.6,0.4, ,25.6,16.9,82,49,2.21,17.43
BRISBANE,06/04/2017,2.2,3.2, ,22.7,16.7,91,60,1.43,9.92
BRISBANE,07/04/2017,3.7,0.2, ,26.3,16.6,85,45,1.98,19.24
BRISBANE,08/04/2017,3.5,0.0, ,26.2,16.9,83,49,2.25,16.16
BRISBANE,09/04/2017,3.0,0.0, ,27.4,17.4,92,54,1.21,16.10
BRISBANE,10/04/2017,4.1,0.0, ,29.0,16.9,97,24,1.84,19.67
BRISBANE,11/04/2017,3.5,0.0, ,27.1,13.8,80,26,1.19,19.94
BRISBANE,12/04/2017,3.6,0.0, ,28.3,16.1,79,45,1.67,18.02
BRISBANE,13/04/2017,2.8,0.0, ,26.7,17.8,85,52,1.15,14.03
BRISBANE,14/04/2017,2.6,0.0, ,26.8,17.8,92,49,0.92,13.90
BRISBANE,15/04/2017,3.0,0.0, ,26.7,17.4,89,45,0.95,16.84
BRISBANE,16/04/2017,3.1,0.0, ,26.6,16.4,91,46,1.08,18.01
BRISBANE,17/04/2017,2.7,0.0, ,26.8,15.8,92,47,1.04,14.74
BRISBANE,18/04/2017,3.0,0.0, ,26.6,16.4,88,47,1.45,15.46
BRISBANE,19/04/2017,3.2,0.0, ,26.0,17.0,87,49,1.94,15.80
BRISBANE,20/04/2017,3.4,0.0, ,26.2,16.3,85,47,2.20,16.45
BRISBANE,21/04/2017, ,0.4, , ,15.8,85,55,1.40,14.04
BRISBANE,22/04/2017, , , ,24.8, ,93,50,1.43,12.12
BRISBANE,23/04/2017,2.7,0.0, ,26.4,15.1,91,54,1.24,15.68
BRISBANE,24/04/2017,2.5,0.0, ,26.0,16.5,93,54,1.02,14.03
BRISBANE,25/04/2017,2.8,0.2, ,26.9,15.7,94,47,1.03,16.99
BRISBANE,26/04/2017,1.5,0.2, ,23.7,16.9,92,67,0.81,6.57
BRISBANE,27/04/2017,3.4,1.0, ,22.6,13.5,65,34,2.18,17.63
BRISBANE,28/04/2017,3.1,0.0, ,25.3,13.0,69,44,1.95,15.77
BRISBANE,29/04/2017,3.0,0.0, ,26.3,15.3,87,34,1.24,17.36
BRISBANE,30/04/2017,2.6,0.0, ,25.8,13.6,89,51,1.20,15.87
Totals:,,87,5.8, ,,,,,, 
