'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for May 2017,,,,,,,,,,
Issued at 06:30 GMT on Thursday 01 June 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/05/2017,2.7,0.0, ,26.8,15.1,92,44,1.01,16.02
BRISBANE,02/05/2017,2.6,0.0, ,27.5,15.7,93,41,0.77,16.00
BRISBANE,03/05/2017,2.9,0.0, ,27.5,18.1,89,47,1.71,13.95
BRISBANE,04/05/2017,2.4,0.0, ,23.6,17.0,84,58,1.87,12.11
BRISBANE,05/05/2017,2.9,0.0, ,24.8,15.1,84,44,1.96,15.29
BRISBANE,06/05/2017,2.7,0.0, ,24.9,14.7,86,46,1.56,15.89
BRISBANE,07/05/2017,2.6,0.0, ,26.4,16.4,88,45,1.19,14.77
BRISBANE,08/05/2017,1.7,0.0, ,22.0,14.8,94,64,1.34,8.67
BRISBANE,09/05/2017,2.5,18.0, ,23.5,16.4,94,52,2.02,13.51
BRISBANE,10/05/2017,1.2,0.6, ,19.5,16.2,87,75,1.17,4.90
BRISBANE,11/05/2017,2.5,2.8, ,24.7,14.3,83,47,1.43,14.16
BRISBANE,12/05/2017,2.3,0.0, ,23.9,14.6,83,54,1.51,12.74
BRISBANE,13/05/2017,1.9,0.0, ,23.1,16.5,89,61,1.48,9.51
BRISBANE,14/05/2017,1.6,0.2, ,21.9,17.1,94,71,0.82,9.67
BRISBANE,15/05/2017,2.5,0.4, ,26.4,16.1,97,36,1.15,15.59
BRISBANE,16/05/2017,2.2,0.2, ,26.0,12.3,90,31,0.77,15.50
BRISBANE,17/05/2017,2.2,0.0, ,25.0,12.8,92,51,1.00,14.43
BRISBANE,18/05/2017,2.0,0.0, ,23.6,15.8,89,48,1.40,9.93
BRISBANE,19/05/2017,1.1,10.6, ,20.7,17.2,95,86,0.81,5.66
BRISBANE,20/05/2017,2.0,3.0, ,25.0,16.5,95,59,0.69,13.26
BRISBANE,21/05/2017,2.2,0.0, ,25.8,16.1,98,61,0.94,14.55
BRISBANE,22/05/2017,2.1,0.2, ,25.9,16.3,98,58,0.96,13.59
BRISBANE,23/05/2017,2.2,0.0, ,26.9,15.4,95,47,0.80,14.88
BRISBANE,24/05/2017,2.3,0.0, ,27.7,15.8,98,45,0.96,14.29
BRISBANE,25/05/2017,2.1,0.2, ,24.9,13.7,96,47,1.04,14.46
BRISBANE,26/05/2017,2.0,0.0, ,25.0,14.8,94,51,0.79,14.15
BRISBANE,27/05/2017,1.9,0.0, ,24.6,13.5,96,54,0.94,12.27
BRISBANE,28/05/2017,2.0,0.0, ,25.7,13.4,96,56,0.76,14.20
BRISBANE,29/05/2017,2.2,0.0, ,26.4,13.5,96,33,0.98,14.51
BRISBANE,30/05/2017,2.0,0.0, ,25.1,13.0,91,42,0.87,14.33
BRISBANE,31/05/2017,2.6,0.0, ,22.4,11.2,60,25,1.75,14.39
Totals:,,68.1,36.2, ,,,,,, 
