'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for June 2017,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 July 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/06/2017,2.2,0.0, ,21.7,10.4,71,43,1.61,14.25
BRISBANE,02/06/2017,2.3,0.0, ,22.8,11.2,75,38,1.53,14.29
BRISBANE,03/06/2017,2.1,0.0, ,23.5,10.7,82,43,1.32,13.84
BRISBANE,04/06/2017,2.0,0.0, ,23.8,11.8,89,45,1.18,13.31
BRISBANE,05/06/2017,1.9,0.2, ,23.6,10.5,93,35,0.95,14.13
BRISBANE,06/06/2017,2.3,0.0, ,22.6,10.8,88,19,1.57,13.88
BRISBANE,07/06/2017,2.3,0.0, ,20.2,9.7,69,28,1.72,14.08
BRISBANE,08/06/2017,1.9,0.0, ,21.8,9.4,79,38,1.11,14.05
BRISBANE,09/06/2017,1.9,0.0, ,23.2,10.9,84,50,1.32,12.27
BRISBANE,10/06/2017,1.9,0.0, ,22.9,15.2,94,55,1.69,11.22
BRISBANE,11/06/2017,1.2,18.8, ,21.1,15.3,95,82,1.28,6.83
BRISBANE,12/06/2017,1.8,14.6, ,22.4,13.9,96,63,1.61,12.25
BRISBANE,13/06/2017,1.2,6.0, ,18.9,14.3,93,72,1.85,5.58
BRISBANE,14/06/2017,1.3,10.2, ,20.3,15.8,95,73,1.54,7.20
BRISBANE,15/06/2017,1.9,24.8, ,22.9,14.8,91,58,1.57,11.89
BRISBANE,16/06/2017,1.7,0.0, ,24.1,14.8,89,66,1.27,10.82
BRISBANE,17/06/2017,1.8,0.0, ,24.6,17.1,88,64,1.15,11.39
BRISBANE,18/06/2017,2.1,0.2, ,23.6,13.9,90,47,1.54,13.87
BRISBANE,19/06/2017,2.3,0.0, ,22.7,15.4,73,54,2.09,12.20
BRISBANE,20/06/2017,1.8,0.0, ,21.0,15.8,74,59,1.75,9.29
BRISBANE,21/06/2017,1.9,0.0, ,23.4,12.2,80,44,1.21,13.21
BRISBANE,22/06/2017,1.8,0.0, ,22.7,13.7,90,50,1.12,12.40
BRISBANE,23/06/2017,1.8,0.0, ,23.7,10.3,91,37,0.90,13.88
BRISBANE,24/06/2017,1.6,0.0, ,24.5,10.4,92,33,0.50,13.74
BRISBANE,25/06/2017,1.8,0.0, ,24.2,11.0,94,48,0.82,13.77
BRISBANE,26/06/2017,1.8,0.0, ,25.1,12.2,96,40,0.83,13.92
BRISBANE,27/06/2017,1.4,0.0, ,22.1,12.4,95,61,0.94,8.80
BRISBANE,28/06/2017,1.8,0.2, ,23.9,13.4,96,58,0.87,13.67
BRISBANE,29/06/2017,2.0,0.0, ,24.5,13.8,94,50,1.15,13.97
BRISBANE,30/06/2017,2.1,5.0, ,23.0,15.6,93,41,1.44,13.84
Totals:,,55.9,80, ,,,,,, 
