'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BRISBANE Queensland for July 2017,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 August 2017,,,,,,,,,,
© Copyright Commonwealth of Australia 2017 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BRISBANE,01/07/2017,1.8,0.2, ,20.4,10.0,84,33,1.07,14.03
BRISBANE,02/07/2017, ,0.0, , ,7.6,94,44,1.04,14.05
BRISBANE,03/07/2017, ,0.0, , , ,100,53,0.93,13.26
BRISBANE,04/07/2017, ,0.0, , , ,100,60,0.68,13.79
BRISBANE,05/07/2017, ,0.2, ,26.4, ,98,32,0.45,13.87
BRISBANE,06/07/2017,2.0,6.6, ,23.6,12.2,94,34,1.06,14.07
BRISBANE,07/07/2017,0.9,4.8, ,16.4,11.9,97,73,0.60,5.56
BRISBANE,08/07/2017, ,7.0, , ,8.7,99,30,0.98,14.32
BRISBANE,09/07/2017, ,0.2, ,21.5, ,100,31,0.62,13.53
BRISBANE,10/07/2017,1.7,0.0, ,21.7,11.6,81,37,0.82,11.53
BRISBANE,11/07/2017,2.1,0.4, ,22.8,13.5,81,41,1.32,13.65
BRISBANE,12/07/2017,2.0,0.0, ,21.3,10.7,82,49,1.50,13.20
BRISBANE,13/07/2017,1.7,0.0, ,20.8,10.8,94,54,1.02,13.23
BRISBANE,14/07/2017,1.8,0.0, ,22.7,9.3,96,51,0.86,14.43
BRISBANE,15/07/2017,2.0,0.0, ,24.6,11.4,95,47,0.99,14.39
BRISBANE,16/07/2017,1.8,23.4, ,23.1,14.9,95,56,0.74,12.73
BRISBANE,17/07/2017, ,0.0, , ,11.8,100,58,0.77,14.54
BRISBANE,18/07/2017, ,0.0, ,26.3, ,98,43,1.17,14.59
BRISBANE,19/07/2017,2.9,4.2, ,19.1,14.3,90,31,3.45,14.79
BRISBANE,20/07/2017, ,0.0, , ,9.4,69,35,2.35,15.08
BRISBANE,21/07/2017, ,0.0, , , ,100,24,1.10,15.15
BRISBANE,22/07/2017, ,0.0, ,21.8, ,100,38,0.89,15.20
BRISBANE,23/07/2017,2.2,0.0, ,23.2,8.2,93,30,1.11,15.29
BRISBANE,24/07/2017,2.0,0.0, ,25.3,5.9,87,23,0.78,15.39
BRISBANE,25/07/2017,2.1,0.0, ,23.8,7.9,83,18,0.86,15.48
BRISBANE,26/07/2017,2.2,0.0, ,25.7,7.8,88,22,0.94,15.56
BRISBANE,27/07/2017,2.3,0.0, ,23.3,9.7,90,34,1.22,15.59
BRISBANE,28/07/2017,2.3,0.0, ,26.3,9.8,92,34,0.89,15.45
BRISBANE,29/07/2017,2.1,0.0, ,24.8,10.2,96,15,0.75,15.81
BRISBANE,30/07/2017,2.3,0.0, ,24.2,7.7,94,31,1.01,15.91
BRISBANE,31/07/2017,2.3,0.0, ,25.6,11.0,97,50,1.13,15.64
Totals:,,40.5,47, ,,,,,, 
